date,gdp.log,inflation,inflation.expectations,interest.rate
1960-01-01,8.09494208341276,1.25592897544472,2.08588157739987,4.06747299009373
1960-04-01,8.08953676736539,1.52031772664458,1.93149983159351,3.82070660919636
1960-07-01,8.09441904243947,1.56448367523253,1.65973965740912,3.02592010787466
1960-10-01,8.08150194144497,1.30120593630492,1.41048407840669,2.35419481921979
1961-01-01,8.0882283139972,0.681347319225327,1.26683866435184,2.03336131493985
1961-04-01,8.10506020231707,1.32034906901915,1.21684649994548,1.77569451348814
1961-07-01,8.12407415594016,1.72810460886301,1.2577517333531,1.71911538102107
1961-10-01,8.14349531895084,0.980062417835803,1.17746585373582,2.46072625559242
1962-01-01,8.16117460345736,1.46666520332769,1.37379532476141,2.52498189171932
1962-04-01,8.17017065559684,1.53150210597846,1.42658358400124,2.67518403121088
1962-07-01,8.18238093626311,1.31238295879235,1.32265317148358,2.92753581070997
1962-10-01,8.18566455504215,0.752933864958059,1.26587103326414,3.0079838040594
1963-01-01,8.19652115166945,1.3243013232523,1.23028006324529,3.05227522128282
1963-04-01,8.20767987541701,1.50372921073387,1.22333683943414,3.05037453453276
1963-07-01,8.22942604867942,1.533990266589,1.27873866638331,3.4320210326878
1963-10-01,8.23596067578719,1.93567641274091,1.57442430332902,3.56283513083662
1964-01-01,8.25682403539565,1.67924281901483,1.66315967726965,3.573254506456
1964-04-01,8.26765253193406,1.19944792591983,1.58708935606614,3.60175887100593
1964-07-01,8.28315475579867,1.10870341883695,1.48076764412813,3.56671531056751
1964-10-01,8.28623871408942,1.00932795199298,1.24918052894115,3.69335716235266
1965-01-01,8.31014811155419,1.50559428584884,1.20576839564965,4.11393354281484
1965-04-01,8.32270196365472,1.25382344937543,1.21936227651355,4.22340672758386
1965-07-01,8.34469094699191,1.22727522457452,1.24900522794794,4.22030338822723
1965-10-01,8.36746992942753,1.32767038219055,1.32859083549734,4.31555186751478
1966-01-01,8.39152066541538,2.00066866245631,1.4523594296492,4.73015341551317
1966-04-01,8.39493086369318,3.23235370600106,1.94699199380561,5.10722738097908
1966-07-01,8.40336425300351,3.27684368459583,2.45938410881094,5.63804232682092
1966-10-01,8.41153485363603,3.46263741193996,2.99312586624829,5.79996368504172
1967-01-01,8.42035139929235,2.19116299791101,3.04074945011196,5.00526084211861
1967-04-01,8.42096418962424,2.66791736220107,2.89964036416197,4.12754487708111
1967-07-01,8.43038092187613,3.60636313091966,2.98202022574292,4.02502276010723
1967-10-01,8.43789280815175,4.03093200918347,3.1240938750538,4.32233401790263
1968-01-01,8.45808268524796,4.52326046762696,3.70711824248279,4.97792157761681
1968-04-01,8.47465263768535,4.63304171139922,4.19839932978233,6.25530345724659
1968-07-01,8.48237232074459,4.43699569768728,4.40605747147423,6.21614948129967
1968-10-01,8.48629780634569,4.63633583705105,4.55740842844113,6.18303330052348
1969-01-01,8.50182774525538,4.35478482296929,4.51528951727671,6.88229431351561
1969-04-01,8.50486308714722,4.75523400770177,4.54583759135235,8.81202109932386
1969-07-01,8.51144651083203,4.57421462393032,4.58014232291311,9.53251867643343
1969-10-01,8.50655763384886,4.68471436142362,4.59223695400625,9.48751405496477
1970-01-01,8.50507182356682,4.33845756064783,4.58815513842588,9.06526949523405
1970-04-01,8.50649011732295,4.48694614959346,4.52108317389881,8.32440992256143
1970-07-01,8.51566342191531,4.42004773986953,4.48254145288361,7.04056891550984
1970-10-01,8.50488920689207,5.59263716670421,4.70952215420376,5.80544304768018
1971-01-01,8.53168684907831,5.02865064195584,4.88207042453076,3.99227211201898
1971-04-01,8.53708346193046,4.54358282776431,4.89622959407347,4.73938644601943
1971-07-01,8.5452794536921,3.74300275677027,4.72696834829866,5.708488493316
1971-10-01,8.54763451674106,2.28942449598005,3.90116518061762,4.93164107518056
1972-01-01,8.56585706189667,3.80994808517867,3.59648954142333,3.66687508998653
1972-04-01,8.58830102479373,2.69847973923512,3.13521376929103,4.45553334357642
1972-07-01,8.59770052959384,2.98222942001241,2.94502043510156,4.92493503923246
1972-10-01,8.61430647192973,2.51645779657868,3.00177876025122,5.35730599422781
1973-01-01,8.63875326286171,2.78232728466154,2.74487356012193,6.8497951384024
1973-04-01,8.64958105546111,5.40371629049051,3.42118269793578,8.24709139442608
1973-07-01,8.64430819296019,5.26747751760253,3.99249472233331,11.2964002013152
1973-10-01,8.65375558591012,5.54233932111739,4.74896510346799,10.6649907480456
1974-01-01,8.64512068649636,6.81669889965629,5.75755800721668,9.92579760614494
1974-04-01,8.64749469857194,9.81480521021081,6.86033023714676,12.080969305548
1974-07-01,8.63799832260494,11.2344257323283,8.35206729082819,13.0478748699444
1974-10-01,8.63410936256524,9.69471273119702,9.3901606433481,9.93742234351107
1975-01-01,8.62186180776693,7.73666955328644,9.62015330675563,6.60120211370845
1975-04-01,8.62898176278495,6.04808648371085,8.67847362513064,5.64628155281957
1975-07-01,8.64595344523797,5.94527812641685,7.35618672365279,6.44320790586752
1975-10-01,8.65932883606886,6.47798394239989,6.55200452645351,5.64374614130416
1976-01-01,8.68156731896942,6.03538558500132,6.12668353438223,5.01640417773861
1976-04-01,8.688877539844,4.76469087025365,5.80583463101792,5.4108115058346
1976-07-01,8.69434959842774,6.19568177973365,5.86843554434712,5.50275414735457
1976-10-01,8.70157196402326,6.2338177606532,5.80739399891045,5.06388347611704
1977-01-01,8.71331754974965,6.66280253664351,5.964248236821,4.8370869236543
1977-04-01,8.73257211588503,6.0806343497995,6.29323410670747,5.3692501894202
1977-07-01,8.75045482188932,6.58018350082321,6.38935953697986,6.07416189465066
1977-10-01,8.75047667936968,5.78955778469438,6.27829454299015,6.82612823138349
1978-01-01,8.75366322933669,6.19790225535194,6.16206947266726,7.08907516981534
1978-04-01,8.79157799576387,6.83528084867937,6.35073109738723,7.66409670284052
1978-07-01,8.80158295014605,6.7779867000069,6.40018189718315,8.5539609316907
1978-10-01,8.81493484617877,7.14390640409475,6.73876905203324,10.2005781367464
1979-01-01,8.81673110481581,5.43983780564129,6.54925293960558,10.7519273953832
