"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1910","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","92407000","47554000","44853000","82137000","42385000","39752000","10270000","5169000","5101000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2203000","1120000","1083000","1945000","990000","955000","258000","130000","128000"
"9","1","2168000","1099000","1069000","1908000","969000","939000","260000","130000","130000"
"10","2","2135000","1080000","1055000","1872000","949000","923000","263000","131000","132000"
"11","3","2101000","1061000","1040000","1837000","930000","907000","264000","131000","133000"
"12","4","2064000","1041000","1023000","1801000","911000","890000","263000","130000","133000"
"13","5","2029000","1023000","1006000","1766000","893000","873000","263000","130000","133000"
"14","6","1993000","1005000","988000","1732000","876000","856000","261000","129000","132000"
"15","7","1959000","988000","971000","1701000","860000","841000","258000","128000","130000"
"16","8","1926000","972000","954000","1671000","845000","826000","255000","127000","128000"
"17","9","1896000","958000","938000","1644000","832000","812000","252000","126000","126000"
"18","10","1867000","944000","923000","1620000","820000","800000","247000","124000","123000"
"19","11","1839000","931000","908000","1596000","809000","787000","243000","122000","121000"
"20","12","1818000","921000","897000","1580000","801000","779000","238000","120000","118000"
"21","13","1811000","914000","897000","1577000","797000","780000","234000","117000","117000"
"22","14","1812000","911000","901000","1582000","797000","785000","230000","114000","116000"
"23","15","1812000","907000","905000","1587000","797000","790000","225000","110000","115000"
"24","16","1813000","905000","908000","1592000","798000","794000","221000","107000","114000"
"25","17","1815000","904000","911000","1598000","800000","798000","217000","104000","113000"
"26","18","1823000","910000","913000","1606000","806000","800000","217000","104000","113000"
"27","19","1832000","917000","915000","1614000","813000","801000","218000","104000","114000"
