"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1917","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","103268000","52788000","50480000","92435000","47339000","45096000","10833000","5449000","5384000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2329000","1185000","1144000","2092000","1066000","1026000","237000","119000","118000"
"9","1","2320000","1176000","1144000","2076000","1054000","1022000","244000","122000","122000"
"10","2","2308000","1167000","1141000","2058000","1043000","1015000","250000","124000","126000"
"11","3","2294000","1159000","1135000","2039000","1032000","1007000","255000","127000","128000"
"12","4","2276000","1148000","1128000","2018000","1020000","998000","258000","128000","130000"
"13","5","2257000","1138000","1119000","1995000","1008000","987000","262000","130000","132000"
"14","6","2235000","1127000","1108000","1972000","996000","976000","263000","131000","132000"
"15","7","2210000","1115000","1095000","1947000","984000","963000","263000","131000","132000"
"16","8","2185000","1103000","1082000","1922000","972000","950000","263000","131000","132000"
"17","9","2158000","1090000","1068000","1896000","959000","937000","262000","131000","131000"
"18","10","2129000","1076000","1053000","1869000","946000","923000","260000","130000","130000"
"19","11","2103000","1064000","1039000","1844000","934000","910000","259000","130000","129000"
"20","12","2071000","1048000","1023000","1816000","920000","896000","255000","128000","127000"
"21","13","2032000","1025000","1007000","1783000","901000","882000","249000","124000","125000"
"22","14","1989000","999000","990000","1747000","880000","867000","242000","119000","123000"
"23","15","1947000","974000","973000","1713000","860000","853000","234000","114000","120000"
"24","16","1904000","949000","955000","1678000","840000","838000","226000","109000","117000"
"25","17","1875000","931000","944000","1654000","826000","828000","221000","105000","116000"
"26","18","1868000","924000","944000","1648000","820000","828000","220000","104000","116000"
"27","19","1872000","923000","949000","1651000","819000","832000","221000","104000","117000"
"28","20","1876000","922000","954000","1654000","818000","836000","222000","104000","118000"
"29","21","1880000","922000","958000","1656000","817000","839000","224000","105000","119000"
"30","22","1880000","922000","958000","1658000","818000","840000","222000","104000","118000"
"31","23","1872000","921000","951000","1654000","819000","835000","218000","102000","116000"
"32","24","1862000","922000","940000","1649000","822000","827000","213000","100000","113000"
"33","25","1848000","921000","927000","1642000","824000","818000","206000","97000","109000"
"34","26","1840000","923000","917000","1639000","828000","811000","201000","95000","106000"
"35","27","1817000","917000","900000","1623000","825000","798000","194000","92000","102000"
"36","28","1774000","900000","874000","1590000","812000","778000","184000","88000","96000"
