Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.01028000,100000.00000000,1028.00000000,99108.00000000,7182381.00000000,71.82000000,,0.00000000,0.00815000,100000.00000000,815.00000000,99298.00000000,7890311.00000000,78.90000000
1.00000000,0.00077000,98972.00000000,76.00000000,98934.00000000,7083273.00000000,71.57000000,,1.00000000,0.00065000,99185.00000000,65.00000000,99153.00000000,7791013.00000000,78.55000000
2.00000000,0.00053000,98896.00000000,52.00000000,98870.00000000,6984339.00000000,70.62000000,,2.00000000,0.00038000,99120.00000000,38.00000000,99102.00000000,7691860.00000000,77.60000000
3.00000000,0.00040000,98844.00000000,39.00000000,98824.00000000,6885470.00000000,69.66000000,,3.00000000,0.00030000,99083.00000000,30.00000000,99068.00000000,7592759.00000000,76.63000000
4.00000000,0.00034000,98804.00000000,33.00000000,98788.00000000,6786646.00000000,68.69000000,,4.00000000,0.00025000,99053.00000000,25.00000000,99041.00000000,7493691.00000000,75.65000000
5.00000000,0.00030000,98771.00000000,30.00000000,98757.00000000,6687858.00000000,67.71000000,,5.00000000,0.00022000,99028.00000000,21.00000000,99018.00000000,7394650.00000000,74.67000000
6.00000000,0.00028000,98742.00000000,28.00000000,98728.00000000,6589101.00000000,66.73000000,,6.00000000,0.00020000,99007.00000000,20.00000000,98997.00000000,7295633.00000000,73.69000000
7.00000000,0.00027000,98714.00000000,26.00000000,98701.00000000,6490374.00000000,65.75000000,,7.00000000,0.00018000,98987.00000000,18.00000000,98978.00000000,7196636.00000000,72.70000000
8.00000000,0.00024000,98688.00000000,23.00000000,98676.00000000,6391673.00000000,64.77000000,,8.00000000,0.00017000,98969.00000000,17.00000000,98961.00000000,7097657.00000000,71.72000000
9.00000000,0.00020000,98664.00000000,19.00000000,98655.00000000,6292997.00000000,63.78000000,,9.00000000,0.00016000,98953.00000000,16.00000000,98945.00000000,6998696.00000000,70.73000000
10.00000000,0.00016000,98645.00000000,16.00000000,98637.00000000,6194343.00000000,62.79000000,,10.00000000,0.00015000,98937.00000000,15.00000000,98929.00000000,6899752.00000000,69.74000000
11.00000000,0.00017000,98629.00000000,16.00000000,98621.00000000,6095706.00000000,61.80000000,,11.00000000,0.00016000,98922.00000000,15.00000000,98914.00000000,6800822.00000000,68.75000000
12.00000000,0.00024000,98613.00000000,24.00000000,98601.00000000,5997085.00000000,60.81000000,,12.00000000,0.00018000,98907.00000000,18.00000000,98898.00000000,6701908.00000000,67.76000000
13.00000000,0.00040000,98589.00000000,40.00000000,98569.00000000,5898484.00000000,59.83000000,,13.00000000,0.00023000,98889.00000000,23.00000000,98878.00000000,6603010.00000000,66.77000000
