2I;482;35;3719256;1839165;1880091;1622591;1626638;168554;198586;10163;10892;37857;43975;113213;116226;1515710;1517643;164610;194114;9397;10093;36235;42015
2I;482;36;2788361;1368448;1419913;1190043;1207382;134741;163557;9318;9712;34346;39262;97918;101268;1097797;1112496;131250;159521;8612;9042;32871;37586
2I;482;37;2878740;1412493;1466247;1227604;1248213;141506;170294;9369;10103;34014;37637;96088;98921;1137102;1155554;137974;166306;8734;9450;32595;36016
2I;482;38;2857615;1401711;1455904;1232740;1256658;129136;155905;8609;9162;31226;34179;87869;93497;1149736;1169019;126051;152146;8059;8566;29996;32676
2I;482;39;3060248;1508542;1551706;1326060;1340855;141543;166846;8743;9159;32196;34846;89521;94527;1241512;1252263;138405;162909;8181;8595;30923;33412
2I;482;40;2721360;1333993;1387367;1158882;1182659;135855;162630;8571;8929;30685;33149;82846;86858;1081015;1101550;132587;158886;8037;8359;29508;31714
2I;482;41;2470490;1211046;1259444;1057004;1078757;118160;142902;7837;8036;28045;29749;78445;81348;983092;1002435;115252;139594;7333;7548;26924;28519
2I;482;42;2388937;1171679;1217258;1019688;1039874;118286;141875;7460;7946;26245;27563;77165;79987;947076;965016;115205;138444;7029;7450;25204;26361
2I;482;43;2403048;1174647;1228401;1024095;1052871;116943;140755;7422;7780;26187;26995;74127;78554;954446;979460;114021;137212;6985;7319;25068;25856
2I;482;44;2370813;1160848;1209965;1010210;1035247;118701;141804;6964;7365;24973;25549;72567;76238;941925;963834;115853;138465;6563;6941;23940;24487
2I;482;45;2215781;1082402;1133379;940312;968780;111635;133531;6606;6845;23849;24223;66930;71489;877507;901747;108844;130465;6234;6445;22887;23233
2I;482;46;2252480;1095964;1156516;960365;992299;107354;134220;6183;6696;22062;23301;67176;71466;897005;925218;104774;131093;5831;6334;21178;22405
2I;482;47;2311266;1125409;1185857;988016;1022198;109537;133707;6483;6563;21373;23389;68492;72238;923361;954160;106861;130750;6122;6167;20573;22542
2I;482;48;2039611;995726;1043885;876382;903938;95052;112882;5641;5960;18651;21105;58749;62660;820886;845011;92837;110251;5319;5609;17935;20354
2I;482;49;2191361;1065931;1125430;936127;970715;104802;125593;5782;6391;19220;22731;60370;65030;879236;909505;102385;122918;5450;6027;18490;21950
2I;482;50;2250051;1081711;1168340;951931;1009163;105788;130678;5526;6241;18466;22258;60164;64189;895057;948624;103448;128038;5225;5915;17817;21574
2I;482;51;2254537;1087108;1167429;966046;1018283;98447;122308;5254;5866;17361;20972;60053;64776;909117;957165;96244;119703;4964;5535;16730;20250
2I;482;52;2269695;1101192;1168503;979032;1019123;99982;123061;5374;5705;16804;20614;59314;63672;922713;959039;97889;120509;5052;5385;16224;19898
2I;482;53;2305017;1111052;1193965;991218;1046208;98869;121996;5107;5575;15858;20186;57399;62027;936635;987845;96881;119345;4820;5260;15317;19488
2I;482;54;2401950;1151021;1250929;1026887;1098382;103348;126961;5075;5515;15711;20071;56037;60606;973751;1041279;101269;124447;4784;5209;15180;19388
2I;482;55;2290509;1082837;1207672;962157;1059475;100514;123595;4916;5325;15250;19277;50499;57135;914457;1005792;98523;121127;4641;5021;14717;18597
2I;482;56;2278068;1076390;1201678;962546;1061563;95027;117033;4554;4921;14263;18161;49333;54624;915708;1010037;93284;114896;4303;4629;13762;17492
2I;482;57;2394793;1129929;1264864;1012977;1122695;97790;119725;4562;5188;14600;17256;49138;54746;966404;1071036;95982;117507;4291;4921;14114;16654
2I;482;58;2256831;1060078;1196753;950935;1064990;90403;110704;4468;4824;14272;16235;45506;48884;907731;1019070;88792;108578;4222;4569;13827;15652
2I;482;59;2236427;1044515;1191912;935604;1059115;90430;111734;4419;4769;14062;16294;43307;47624;894577;1014434;88792;109691;4193;4495;13646;15668
2I;482;60;2332191;1090736;1241455;980300;1105474;92580;115648;4228;4634;13628;15699;41755;45973;940738;1062287;91007;113542;4016;4420;13220;15233
2I;482;61;2190865;1025855;1165010;927614;1043083;82211;103567;3791;4153;12239;14207;37512;42809;892025;1002828;80857;101734;3591;3933;11870;13706
2I;482;62;2019848;937035;1082813;844624;966298;77187;98975;3670;3955;11554;13585;34540;39567;811951;929169;75866;97232;3492;3762;11186;13083
2I;482;63;1979700;916555;1063145;830948;953855;71957;93295;3257;3648;10393;12347;29850;35444;802722;920548;70804;91735;3108;3485;10071;11933
2I;482;64;2029183;932842;1096341;848150;987774;71505;92630;3045;3580;10142;12357;29818;35807;819957;954125;70350;91069;2891;3410;9826;11930
2I;482;65;1928852;873125;1055727;786312;943018;74090;97014;2962;3477;9761;12218;26201;32996;761810;912262;72889;95380;2797;3302;9428;11787
2I;482;66;1826828;823792;1003036;744075;897989;67833;90581;2730;3233;9154;11233;24985;31314;720528;868615;66809;89148;2600;3093;8870;10866
2I;482;67;1805798;803243;1002555;724210;897011;66903;91376;2654;3448;9476;10720;24495;31785;701175;867247;65876;89908;2559;3295;9138;10320
2I;482;68;1722261;758381;963880;686385;867423;60309;83395;2561;3166;9126;9896;23303;30643;664453;838621;59444;82075;2452;3026;8729;9515
2I;482;69;1685254;729346;955908;653133;852452;64570;90659;2584;3143;9059;9654;22154;29956;632467;824395;63595;89251;2468;3011;8662;9295
