year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1948,4026,6937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13801,13050,10624,7103,2804
1949,3712,6660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13639,13108,10636,7042,2864
1950,3703,6746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13917,13424,10966,7265,2899
1951,3767,6321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14233,13746,11421,7558,2917
1952,3719,5572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14515,14058,11687,7785,2919
1953,3720,5225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14519,14774,11969,7806,3166
1954,3475,4971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14190,14541,11976,7895,3060
1955,3642,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14481,14879,12556,8158,3185
1956,3818,5545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14407,15218,12978,8519,3314
1957,3778,5641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14253,15348,13320,8553,3179
1958,3582,5571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13675,15157,13448,8559,3045
1959,3838,5870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13709,15454,13915,8822,3023
1960,4129,6119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13630,15598,14238,8989,3073
1961,4108,6227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13429,15552,14320,9120,2987
1962,4195,6446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13311,15901,14491,9346,3013
1963,4255,6815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13318,16114,14749,9596,2915
1964,4516,7303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13449,16166,15094,9804,2973
1965,5036,7702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13704,16294,15320,10028,3005
1966,5721,7964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14017,16312,15615,10310,2961
1967,5682,8499,7595,6980,7704,8576,8288,7500,6274,4263,1790,784,445,14575,16281,15789,10536,3011
1968,5781,8762,8127,7139,7603,8617,8508,7576,6382,4361,1809,772,486,15265,16220,16083,10745,3065
1969,6117,9319,8503,7380,7570,8530,8708,7702,6568,4351,1854,796,504,15883,16100,16410,10919,3155
1970,6144,9731,8814,7503,7523,8397,8719,7753,6571,4404,1846,789,482,16318,15922,16473,10974,3118
1971,6208,10201,9096,7686,7447,8228,8663,7788,6576,4432,1791,776,473,16781,15675,16451,11009,3040
1972,6746,10999,9899,8182,7598,8223,8488,7969,6536,4508,1758,770,474,18082,15822,16457,11044,3003
1973,7271,11839,10689,8819,7867,8174,8459,8094,6540,4425,1683,751,450,19509,16041,16553,10966,2886
1974,7448,12101,11299,9311,8065,8138,8414,8217,6554,4409,1669,731,434,20610,16203,16633,10964,2835
1975,7104,11885,11607,9480,8046,7906,8222,7969,6559,4268,1644,722,437,21087,15953,16190,10827,2801
1976,7336,12570,12454,10039,8462,8005,8223,8002,6689,4223,1633,704,411,22493,16468,16224,10912,2747
1977,7688,13196,12847,11002,9007,8150,8225,7987,6893,4233,1660,711,416,23850,17157,16212,11126,2787
1978,8070,13887,13511,11770,9674,8452,8261,8077,7100,4299,1750,766,433,25281,18128,16338,11400,2946
1979,8083,14327,14030,12460,10274,8706,8224,8133,7168,4417,1791,786,421,26492,18981,16357,11585,2999
1980,7710,14087,14167,13037,10613,8910,8116,8118,7143,4443,1761,773,425,27204,19523,16234,11586,2960
1981,7225,14122,14507,13673,10992,9154,8190,8064,7126,4399,1740,754,451,28180,20145,16255,11525,2945
1982,6549,13690,14543,13606,11498,9381,8147,7777,7001,4414,1717,754,451,28149,20879,15923,11414,2923
1983,6342,13722,14915,13841,12049,9910,8201,7611,6844,4471,1683,794,450,28756,21960,15812,11315,2927
1984,6444,14207,15728,14621,13034,10564,8510,7668,6892,4502,1626,778,431,30348,23598,16178,11395,2835
1985,6434,13980,15966,15242,13602,11131,8821,7688,6913,4561,1657,762,395,31208,24732,16509,11474,2813
1986,6472,13790,16431,15770,14515,11346,9185,7764,6896,4509,1764,746,409,32201,25861,16949,11405,2919
1987,6640,13524,16713,16391,14834,12346,9602,7885,6949,4515,1850,753,438,33105,27179,17487,11465,3041
1988,6805,13244,16728,16847,15254,13015,10276,8171,6891,4541,1921,815,461,33574,28269,18447,11433,3197
1989,6759,12962,16680,17364,15697,13746,10823,8457,6854,4644,2024,849,482,34045,29443,19279,11499,3355
1990,6581,13401,16621,17314,16187,14629,11114,8411,6661,4528,2009,850,487,33935,30817,19525,11189,3346
1991,5906,12975,15891,17170,16381,15212,11367,8515,6575,4426,1949,842,509,33061,31593,19882,11001,3300
1992,5669,12872,15435,17232,16661,15262,12157,8865,6624,4374,1930,885,526,32667,31923,21022,10998,3341
1993,5805,12840,15106,17278,17076,15590,12751,9424,6738,4320,1921,891,518,32385,32666,22175,11058,3331
1994,6161,12758,14932,17354,17522,16077,13509,9838,6982,4245,2046,966,669,32286,33599,23348,11228,3681
1995,6419,12443,14997,17359,17769,16432,14165,10214,7157,4277,2033,1036,597,32356,34202,24378,11435,3666
1996,6500,12138,15121,16956,18061,16990,14927,10586,7406,4333,2039,1037,614,32077,35051,25514,11739,3690
1997,6661,12380,15163,16646,18339,17569,15089,11654,7816,4480,2080,1034,647,31809,35908,26744,12296,3761
1998,7051,12557,15061,16333,18232,18045,15477,12109,8279,4594,2042,1036,647,31394,36278,27587,12872,3725
1999,7172,12891,14836,16029,18345,18382,15904,12731,8656,4659,2065,1088,729,30865,36728,28635,13315,3882
2000,7189,13229,15149,16399,18034,18400,16485,13825,9046,4956,2249,1144,786,31549,36433,30310,14002,4179
2001,6740,13348,14568,16295,17635,18414,16791,14245,9402,5243,2282,1184,787,30863,36049,31036,14645,4253
2002,6332,13351,14204,16103,17022,18213,16944,14337,10125,5549,2379,1144,783,30306,35235,31281,15674,4306
2003,5919,13433,14339,16044,16663,18218,17325,14589,10685,5913,2515,1189,904,30383,34881,31914,16598,4608
