year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1948,4079,5527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10768,9798,8290,6441,5094
1949,3945,5406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10872,9926,8380,6568,5227
1950,3962,5270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10964,10035,8473,6665,5358
1951,3726,4451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10709,10049,8552,6737,5503
1952,3768,3789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10855,10164,8656,6798,5671
1953,3823,3482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11019,10632,8878,6798,6120
1954,3954,3510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11067,10719,9018,6886,6241
1955,4023,3709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11069,10804,9164,6961,6380
1956,4020,3971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10984,10889,9323,7032,6505
1957,4084,4166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10889,10966,9500,7110,6602
1958,4293,4339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10787,11077,9675,7179,6683
1959,4653,4489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10625,11149,9832,7260,6785
1960,4964,4679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10514,11230,10000,7373,6902
1961,5113,4845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10441,11286,10113,7483,7006
1962,5150,4926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10208,11389,10162,7610,7386
1963,5496,5241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10166,11477,10275,7741,7526
1964,5867,5520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10144,11467,10402,7873,7575
1965,6319,5701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10183,11427,10512,7991,7650
1966,6659,5664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10224,11294,10599,8099,7724
1967,6538,5977,5483,5014,5346,5816,5581,5125,4495,3724,2895,2226,2690,10496,11162,10705,8219,7810
1968,6683,6127,5840,5104,5254,5786,5671,5148,4574,3762,2954,2151,2793,10944,11040,10819,8337,7898
1969,6929,6379,6099,5211,5165,5725,5744,5191,4651,3814,3016,2140,2833,11309,10890,10936,8465,7991
1970,7146,6861,6405,5345,5154,5656,5799,5254,4715,3875,3074,2154,2866,11751,10810,11052,8591,8093
1971,7431,7511,6707,5521,5146,5576,5808,5321,4766,3947,3121,2181,2905,12228,10722,11129,8712,8209
1972,7706,8062,7083,5828,5220,5543,5707,5460,4782,4115,3165,2277,2889,12912,10763,11167,8896,8331
1973,7856,8429,7491,6152,5285,5461,5682,5519,4817,4174,3226,2313,2887,13642,10746,11202,8991,8426
1974,8013,8601,7792,6470,5389,5446,5660,5655,4877,4264,3400,2334,2908,14263,10834,11315,9141,8642
1975,8133,8951,8189,6711,5497,5377,5635,5663,4985,4300,3509,2370,2973,14899,10874,11297,9285,8853
1976,8244,9238,8600,6928,5656,5354,5589,5654,5102,4343,3593,2426,3034,15528,11010,11243,9444,9054
1977,8289,9478,8685,7424,5888,5372,5529,5615,5237,4379,3692,2525,3080,16109,11261,11144,9616,9297
1978,8309,9693,8858,7740,6231,5434,5458,5588,5337,4421,3755,2611,3142,16598,11665,11046,9758,9509
1979,8310,9873,9110,8083,6520,5526,5388,5557,5405,4502,3823,2698,3225,17193,12046,10944,9906,9746
1980,8260,10022,9377,8456,6766,5634,5324,5537,5426,4617,3856,2803,3319,17833,12400,10861,10042,9979
1981,8093,10116,9591,8837,6974,5785,5301,5496,5423,4728,3889,2876,3405,18427,12759,10797,10151,10170
1982,7879,10136,9824,8963,7412,5999,5325,5401,5391,4824,3919,2948,3504,18787,13410,10726,10215,10371
1983,7659,10140,10041,9101,7769,6299,5371,5318,5356,4905,3955,3012,3607,19143,14067,10689,10261,10573
1984,7386,10108,10251,9345,8155,6564,5483,5241,5318,4966,4000,3075,3713,19596,14719,10724,10285,10788
1985,7275,9746,10239,9626,8404,6861,5617,5227,5341,5051,4188,3118,3778,19864,15265,10844,10392,11084
1986,7275,9498,10488,10010,8923,6936,5767,5219,5308,5029,4313,3177,3858,20498,15859,10986,10336,11347
1987,7335,9195,10508,10273,9054,7422,5960,5255,5249,5018,4411,3245,3976,20781,16475,11215,10267,11632
1988,7303,8931,10449,10488,9245,7763,6274,5351,5167,5026,4462,3311,4086,20937,17008,11625,10193,11859
1989,7143,8744,10371,10706,9486,8100,6530,5454,5078,5017,4555,3377,4201,21078,17586,11984,10095,12133
1990,7347,9320,10387,10729,9796,8733,6795,5443,4918,4860,4422,3354,4273,21117,18529,12238,9778,12049
1991,7135,9367,10134,10843,10063,9150,6985,5569,4917,4863,4394,3450,4410,20977,19213,12554,9780,12254
1992,7023,9326,9887,10905,10328,9257,7486,5785,4965,4812,4414,3555,4527,20792,19586,13271,9776,12497
1993,7076,9216,9644,10925,10588,9448,7819,6125,5040,4733,4415,3646,4656,20569,20037,13944,9773,12717
1994,7203,9074,9473,10890,10772,9670,8185,6359,5155,4655,4393,3716,4809,20362,20442,14544,9811,12918
1995,7367,8835,9375,10704,10895,9906,8572,6539,5226,4630,4423,3763,4944,20079,20800,15111,9856,13130
1996,7600,8611,9344,10431,11007,10215,8951,6724,5373,4624,4454,3739,5134,19775,21222,15674,9997,13327
1997,7836,8706,9281,10197,11137,10532,9017,7259,5582,4700,4360,3737,5372,19478,21669,16276,10282,13469
1998,7968,8804,9140,9955,11083,10774,9212,7561,5879,4771,4304,3770,5539,19095,21857,16773,10649,13613
1999,8167,8899,8931,9634,11027,10943,9444,7892,6123,4885,4280,3776,5724,18565,21969,17335,11008,13779
2000,8090,9101,9221,9885,10813,10871,9760,8606,6475,5108,4366,3851,5820,19106,21683,18365,11583,14037
2001,8101,9368,9089,9967,10638,11005,10052,8935,6757,5215,4393,3807,5955,19056,21643,18987,11972,14155
2002,8146,9627,9032,10005,10471,11053,10289,9090,7201,5440,4388,3772,6073,19037,21523,19379,12641,14233
