"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1925","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","115829000","58813000","57016000","104061000","52931000","51130000","11768000","5882000","5886000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2460000","1252000","1208000","2194000","1119000","1075000","266000","133000","133000"
"9","1","2465000","1254000","1211000","2200000","1121000","1079000","265000","133000","132000"
"10","2","2467000","1254000","1213000","2202000","1121000","1081000","265000","133000","132000"
"11","3","2465000","1252000","1213000","2200000","1119000","1081000","265000","133000","132000"
"12","4","2459000","1248000","1211000","2194000","1115000","1079000","265000","133000","132000"
"13","5","2449000","1242000","1207000","2184000","1109000","1075000","265000","133000","132000"
"14","6","2436000","1233000","1203000","2171000","1101000","1070000","265000","132000","133000"
"15","7","2420000","1224000","1196000","2155000","1092000","1063000","265000","132000","133000"
"16","8","2401000","1213000","1188000","2136000","1081000","1055000","265000","132000","133000"
"17","9","2381000","1201000","1180000","2116000","1070000","1046000","265000","131000","134000"
"18","10","2358000","1188000","1170000","2093000","1057000","1036000","265000","131000","134000"
"19","11","2333000","1173000","1160000","2068000","1043000","1025000","265000","130000","135000"
"20","12","2307000","1158000","1149000","2043000","1029000","1014000","264000","129000","135000"
"21","13","2279000","1141000","1138000","2016000","1013000","1003000","263000","128000","135000"
"22","14","2250000","1124000","1126000","1989000","997000","992000","261000","127000","134000"
"23","15","2222000","1107000","1115000","1962000","981000","981000","260000","126000","134000"
"24","16","2193000","1090000","1103000","1935000","965000","970000","258000","125000","133000"
"25","17","2160000","1072000","1088000","1905000","949000","956000","255000","123000","132000"
"26","18","2124000","1054000","1070000","1873000","933000","940000","251000","121000","130000"
"27","19","2085000","1034000","1051000","1839000","916000","923000","246000","118000","128000"
