"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1921","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","108538000","55292000","53246000","97416000","49710000","47706000","11122000","5582000","5540000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2362000","1202000","1160000","2131000","1086000","1045000","231000","116000","115000"
"9","1","2375000","1206000","1169000","2135000","1086000","1049000","240000","120000","120000"
"10","2","2383000","1208000","1175000","2134000","1084000","1050000","249000","124000","125000"
"11","3","2382000","1206000","1176000","2127000","1079000","1048000","255000","127000","128000"
"12","4","2377000","1202000","1175000","2118000","1073000","1045000","259000","129000","130000"
"13","5","2366000","1195000","1171000","2104000","1065000","1039000","262000","130000","132000"
"14","6","2351000","1187000","1164000","2087000","1056000","1031000","264000","131000","133000"
"15","7","2332000","1177000","1155000","2067000","1045000","1022000","265000","132000","133000"
"16","8","2308000","1164000","1144000","2043000","1032000","1011000","265000","132000","133000"
"17","9","2279000","1149000","1130000","2016000","1018000","998000","263000","131000","132000"
"18","10","2250000","1134000","1116000","1989000","1004000","985000","261000","130000","131000"
"19","11","2220000","1118000","1102000","1961000","989000","972000","259000","129000","130000"
"20","12","2182000","1098000","1084000","1927000","971000","956000","255000","127000","128000"
"21","13","2138000","1074000","1064000","1886000","949000","937000","252000","125000","127000"
"22","14","2089000","1048000","1041000","1842000","926000","916000","247000","122000","125000"
"23","15","2042000","1022000","1020000","1799000","903000","896000","243000","119000","124000"
"24","16","1994000","996000","998000","1757000","881000","876000","237000","115000","122000"
"25","17","1954000","973000","981000","1721000","861000","860000","233000","112000","121000"
"26","18","1925000","956000","969000","1696000","846000","850000","229000","110000","119000"
"27","19","1902000","941000","961000","1677000","834000","843000","225000","107000","118000"
"28","20","1881000","928000","953000","1659000","823000","836000","222000","105000","117000"
"29","21","1855000","912000","943000","1638000","810000","828000","217000","102000","115000"
"30","22","1845000","906000","939000","1631000","806000","825000","214000","100000","114000"
"31","23","1858000","914000","944000","1645000","814000","831000","213000","100000","113000"
"32","24","1884000","929000","955000","1671000","829000","842000","213000","100000","113000"
"33","25","1909000","944000","965000","1696000","844000","852000","213000","100000","113000"
"34","26","1940000","963000","977000","1725000","862000","863000","215000","101000","114000"
"35","27","1942000","967000","975000","1730000","867000","863000","212000","100000","112000"
"36","28","1895000","946000","949000","1695000","852000","843000","200000","94000","106000"
"37","29","1819000","911000","908000","1635000","824000","811000","184000","87000","97000"
"38","30","1746000","877000","869000","1577000","797000","780000","169000","80000","89000"
"39","31","1668000","840000","828000","1515000","768000","747000","153000","72000","81000"
"40","32","1613000","817000","796000","1470000","749000","721000","143000","68000","75000"
"41","33","1600000","817000","783000","1457000","748000","709000","143000","69000","74000"
"42","34","1615000","832000","783000","1464000","758000","706000","151000","74000","77000"
"43","35","1619000","842000","777000","1463000","764000","699000","156000","78000","78000"
"44","36","1627000","854000","773000","1465000","772000","693000","162000","82000","80000"
"45","37","1616000","853000","763000","1451000","768000","683000","165000","85000","80000"
"46","38","1572000","829000","743000","1412000","747000","665000","160000","82000","78000"
"47","39","1508000","792000","716000","1357000","715000","642000","151000","77000","74000"
"48","40","1448000","756000","692000","1305000","684000","621000","143000","72000","71000"
"49","41","1389000","721000","668000","1253000","653000","600000","136000","68000","68000"
"50","42","1333000","690000","643000","1205000","626000","579000","128000","64000","64000"
"51","43","1293000","671000","622000","1169000","608000","561000","124000","63000","61000"
"52","44","1260000","659000","601000","1139000","595000","544000","121000","64000","57000"
"53","45","1223000","644000","579000","1106000","580000","526000","117000","64000","53000"
"54","46","1185000","628000","557000","1072000","564000","508000","113000","64000","49000"
"55","47","1151000","613000","538000","1042000","550000","492000","109000","63000","46000"
"56","48","1119000","598000","521000","1014000","537000","477000","105000","61000","44000"
"57","49","1091000","584000","507000","990000","525000","465000","101000","59000","42000"
"58","50","1064000","571000","493000","966000","514000","452000","98000","57000","41000"
"59","51","1039000","559000","480000","945000","504000","441000","94000","55000","39000"
"60","52","1004000","540000","464000","914000","488000","426000","90000","52000","38000"
"61","53","953000","512000","441000","870000","464000","406000","83000","48000","35000"
"62","54","892000","477000","415000","818000","434000","384000","74000","43000","31000"
"63","55","833000","443000","390000","767000","405000","362000","66000","38000","28000"
"64","56","772000","408000","364000","714000","375000","339000","58000","33000","25000"
"65","57","725000","382000","343000","673000","352000","321000","52000","30000","22000"
"66","58","698000","367000","331000","649000","339000","310000","49000","28000","21000"
"67","59","682000","359000","323000","635000","332000","303000","47000","27000","20000"
"68","60","665000","350000","315000","619000","324000","295000","46000","26000","20000"
"69","61","649000","342000","307000","605000","317000","288000","44000","25000","19000"
"70","62","628000","331000","297000","585000","307000","278000","43000","24000","19000"
"71","63","591000","311000","280000","552000","289000","263000","39000","22000","17000"
"72","64","548000","288000","260000","511000","267000","244000","37000","21000","16000"
"73","65","507000","265000","242000","473000","246000","227000","34000","19000","15000"
"74","66","469000","245000","224000","437000","227000","210000","32000","18000","14000"
"75","67","432000","225000","207000","402000","208000","194000","30000","17000","13000"
"76","68","395000","205000","190000","368000","190000","178000","27000","15000","12000"
"77","69","362000","187000","175000","337000","173000","164000","25000","14000","11000"
"78","70","331000","170000","161000","308000","157000","151000","23000","13000","10000"
"79","71","304000","155000","149000","283000","144000","139000","21000","11000","10000"
"80","72","281000","142000","139000","262000","132000","130000","19000","10000","9000"
"81","73","265000","133000","132000","247000","124000","123000","18000","9000","9000"
"82","74","253000","126000","127000","236000","118000","118000","17000","8000","9000"
"83","75+","1481000","706000","775000","1372000","653000","719000","109000","53000","56000"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"93","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
