Cohort (Total births),Diagonal Line for Calendar Year,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.5,121.9,115.1,109.6,106.9,92.3,85.3,74.8,64.1,45.4,35.3,23.9,16.9,11.4,7,4.2,1.9,1.1,0.7
1887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.9,134.6,117.3,115.9,112.1,100.3,91.7,84.8,72.5,61.2,44.9,33,22.3,17,10.7,6.6,3.8,1.8,1,0.6
1888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,166.2,144.1,129.1,118.2,118.5,105.3,99.6,90.8,81.6,68.6,59.3,41.4,30.4,22,15.8,10.2,6.1,3.5,1.7,1,0.5
1889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,170.7,164.1,136.8,130.5,120.7,111.6,104.6,98.8,88,78.4,67.7,55.6,39,30.5,21,15.6,9.8,5.9,3.6,1.6,0.9,0.4
1890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,174.6,168.9,155.2,140,133.4,114.2,111.7,104.5,95,83.8,76.1,62.4,51.6,38.8,28.6,20.2,14.8,9.5,5.7,3.3,1.5,1,0.4
1891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171.1,173.6,157.9,160.3,142.6,126.4,114,111.4,101.1,91,81.9,70.5,57.9,51.2,36.1,27.5,19.1,14.6,8.8,5.2,2.9,1.4,0.9,0.2
1892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180.8,170.2,160.9,164.3,162,133.2,125.2,113.2,106.9,95.6,87.5,74.6,64.6,57.3,47.3,34.4,25.7,18.7,13.4,8.2,4.9,2.9,1.2,0.7,0.2
1893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183.2,178.7,156.8,168.6,165.5,150.4,131.5,124.6,109,100.8,92.5,80.8,69.6,63.6,53.6,45.3,32.3,25.2,17.3,12.4,7.5,4.7,2.6,1.1,0.4,0.2
1894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,185.5,181.6,163.2,167.1,171.4,153.7,148.9,131,120,104.2,98.5,85.9,76,68.7,60.4,51.1,42,31.9,23.8,16.1,11.5,7.6,4.3,2.4,1.1,0.3,0.2
1895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,175.3,184.2,163.9,175.7,170.7,160.4,152.8,148.2,126.7,115.5,101.9,92.4,81.4,75.6,65.3,57.9,47.8,41.7,30.2,22.3,15.4,11.3,6.9,4,2.3,0.9,0.3,0.1
1896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,167.3,174.5,163.3,178.2,179.5,160.7,159.5,151.4,142.6,122.3,112.2,95.2,87,80.5,70.8,62.4,53.5,47.3,39.4,28.2,21.2,15.2,10.4,6.4,3.8,2.2,0.7,0.3,0.2
1897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.5,167.1,153,179.4,181.7,169.7,160,158.8,145.5,137.1,118,105.6,90.1,86.1,75.4,68.5,57.9,53.3,44.9,36.9,27.3,20.9,14.1,10.1,6.1,3.9,2,0.8,0.3,0.1
1898,NaN,NaN,NaN,NaN,NaN,NaN,122.6,148.2,145.4,172.2,183.4,173.2,171.9,161.1,152.6,139.8,132,111.3,100.9,90.2,81.5,72.9,63.8,58.1,51,42.4,35.8,21.1,19.9,13.9,9.7,6.9,4.2,2.1,1.1,0.3,0.2
1899,NaN,NaN,NaN,NaN,NaN,86.2,121.1,128.1,164.8,173.2,171.7,173.2,171.2,156.8,148.2,136.9,126.5,108,101.8,87.1,81.5,70.2,66,57.3,49.7,42.4,36.2,26.3,19.6,13.7,10,6.8,3.9,2.3,1,0.3,0.2
1900,NaN,NaN,NaN,NaN,54.2,84,105.2,148.2,165.4,161.7,173.2,175.1,164.2,150.2,144.1,128.9,120.6,108,96.9,84.9,76.5,71.6,64.1,55.2,49,42.3,34.6,25.9,19.5,13.5,10.5,6.9,4,2.2,1,0.3,0.1
1901,NaN,NaN,NaN,27,52.4,73.7,123.8,151.9,153.3,161.4,176.1,168.7,158,147.3,135.4,122.6,119.5,102.9,93.6,79.2,77.3,68.5,60.8,53.5,48,40.2,33.3,25.2,18.4,14.2,10.8,6.8,3.8,2.1,0.8,0.3,0.1
1902,NaN,NaN,11.5,26.5,46.7,90.5,131.9,143.1,154.6,167.5,169.3,162.5,153.5,138.1,128.5,121.8,113.3,97.5,86.1,79.4,73.1,64.6,58.7,52.4,45.8,39.2,33,25.3,20.2,15,10.9,6.6,3.6,1.7,0.7,0.2,0.1
1903,1917,3.5,11.4,23.6,57.8,98.7,122.9,143.6,158.5,162.7,164.8,158.7,146.2,132.9,128.5,117.1,108.7,91.3,87.9,76.1,70.4,63.5,58.5,50.6,45,38.8,33.9,27,20.8,15.4,10.7,6.5,3.3,1.7,0.6,0.2,0.1
1904,1918,3.6,9.8,29,61.8,90.6,122.6,146.3,153,158.9,159.6,150.8,140.5,133,123.5,113.1,102.8,94.4,85.6,74.6,70.3,63.9,57.4,50.9,45.5,40.8,36.4,27.7,21.7,14.9,10.6,5.8,3.2,1.6,0.5,0.2,0.1
1905,1919,3,12,30.5,55.6,91.1,125.8,140.1,148.5,153.4,150.8,143.8,139.8,127.4,118.9,106.3,105.6,91.6,83.2,74.6,70.7,62.7,57.4,51.3,47.2,44,37.1,28.7,21.4,15.1,9.8,5.9,3,1.4,0.5,0.2,0.1
