Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.00173000,100000.00000000,173.00000000,99848.00000000,8581970.00000000,85.82000000,,0.00000000,0.00146000,100000.00000000,146.00000000,99872.00000000,8899896.00000000,89.00000000
1.00000000,0.00016000,99827.00000000,15.00000000,99819.00000000,8482122.00000000,84.97000000,,1.00000000,0.00013000,99854.00000000,13.00000000,99847.00000000,8800024.00000000,88.13000000
2.00000000,0.00010000,99811.00000000,10.00000000,99806.00000000,8382303.00000000,83.98000000,,2.00000000,0.00009000,99841.00000000,8.00000000,99836.00000000,8700176.00000000,87.14000000
3.00000000,0.00009000,99801.00000000,8.00000000,99797.00000000,8282497.00000000,82.99000000,,3.00000000,0.00006000,99832.00000000,6.00000000,99829.00000000,8600340.00000000,86.15000000
4.00000000,0.00007000,99792.00000000,7.00000000,99789.00000000,8182701.00000000,82.00000000,,4.00000000,0.00005000,99826.00000000,5.00000000,99823.00000000,8500512.00000000,85.15000000
5.00000000,0.00006000,99786.00000000,6.00000000,99783.00000000,8082912.00000000,81.00000000,,5.00000000,0.00004000,99821.00000000,4.00000000,99819.00000000,8400688.00000000,84.16000000
6.00000000,0.00006000,99780.00000000,6.00000000,99777.00000000,7983129.00000000,80.01000000,,6.00000000,0.00004000,99817.00000000,4.00000000,99814.00000000,8300869.00000000,83.16000000
7.00000000,0.00005000,99774.00000000,5.00000000,99771.00000000,7883352.00000000,79.01000000,,7.00000000,0.00004000,99812.00000000,4.00000000,99810.00000000,8201055.00000000,82.16000000
8.00000000,0.00004000,99769.00000000,4.00000000,99767.00000000,7783581.00000000,78.02000000,,8.00000000,0.00004000,99808.00000000,4.00000000,99806.00000000,8101245.00000000,81.17000000
9.00000000,0.00003000,99764.00000000,3.00000000,99763.00000000,7683814.00000000,77.02000000,,9.00000000,0.00003000,99804.00000000,3.00000000,99803.00000000,8001439.00000000,80.17000000
10.00000000,0.00002000,99762.00000000,1.00000000,99761.00000000,7584051.00000000,76.02000000,,10.00000000,0.00003000,99801.00000000,2.00000000,99800.00000000,7901636.00000000,79.17000000
11.00000000,0.00002000,99760.00000000,1.00000000,99759.00000000,7484290.00000000,75.02000000,,11.00000000,0.00002000,99799.00000000,2.00000000,99797.00000000,7801836.00000000,78.18000000
12.00000000,0.00004000,99759.00000000,4.00000000,99756.00000000,7384531.00000000,74.02000000,,12.00000000,0.00003000,99796.00000000,3.00000000,99795.00000000,7702039.00000000,77.18000000
13.00000000,0.00010000,99754.00000000,10.00000000,99749.00000000,7284774.00000000,73.03000000,,13.00000000,0.00006000,99793.00000000,6.00000000,99790.00000000,7602244.00000000,76.18000000
14.00000000,0.00018000,99744.00000000,18.00000000,99735.00000000,7185025.00000000,72.03000000,,14.00000000,0.00010000,99787.00000000,9.00000000,99782.00000000,7502454.00000000,75.18000000
15.00000000,0.00027000,99726.00000000,27.00000000,99713.00000000,7085289.00000000,71.05000000,,15.00000000,0.00014000,99778.00000000,13.00000000,99771.00000000,7402672.00000000,74.19000000
16.00000000,0.00035000,99699.00000000,35.00000000,99682.00000000,6985576.00000000,70.07000000,,16.00000000,0.00017000,99764.00000000,17.00000000,99756.00000000,7302901.00000000,73.20000000
17.00000000,0.00042000,99665.00000000,42.00000000,99644.00000000,6885894.00000000,69.09000000,,17.00000000,0.00020000,99747.00000000,20.00000000,99737.00000000,7203145.00000000,72.21000000
18.00000000,0.00047000,99623.00000000,47.00000000,99599.00000000,6786251.00000000,68.12000000,,18.00000000,0.00021000,99727.00000000,21.00000000,99717.00000000,7103408.00000000,71.23000000
19.00000000,0.00051000,99576.00000000,51.00000000,99551.00000000,6686651.00000000,67.15000000,,19.00000000,0.00021000,99707.00000000,21.00000000,99696.00000000,7003691.00000000,70.24000000
20.00000000,0.00055000,99525.00000000,54.00000000,99498.00000000,6587101.00000000,66.19000000,,20.00000000,0.00021000,99686.00000000,20.00000000,99676.00000000,6903995.00000000,69.26000000
21.00000000,0.00058000,99471.00000000,58.00000000,99442.00000000,6487603.00000000,65.22000000,,21.00000000,0.00021000,99666.00000000,21.00000000,99655.00000000,6804319.00000000,68.27000000
22.00000000,0.00059000,99413.00000000,59.00000000,99384.00000000,6388161.00000000,64.26000000,,22.00000000,0.00021000,99645.00000000,21.00000000,99635.00000000,6704663.00000000,67.29000000
23.00000000,0.00058000,99354.00000000,58.00000000,99326.00000000,6288777.00000000,63.30000000,,23.00000000,0.00021000,99624.00000000,21.00000000,99614.00000000,6605028.00000000,66.30000000
24.00000000,0.00055000,99297.00000000,55.00000000,99269.00000000,6189451.00000000,62.33000000,,24.00000000,0.00022000,99603.00000000,21.00000000,99593.00000000,6505414.00000000,65.31000000
25.00000000,0.00052000,99242.00000000,51.00000000,99216.00000000,6090182.00000000,61.37000000,,25.00000000,0.00022000,99582.00000000,22.00000000,99571.00000000,6405821.00000000,64.33000000
26.00000000,0.00049000,99190.00000000,49.00000000,99166.00000000,5990966.00000000,60.40000000,,26.00000000,0.00023000,99560.00000000,23.00000000,99549.00000000,6306250.00000000,63.34000000
27.00000000,0.00047000,99142.00000000,47.00000000,99118.00000000,5891800.00000000,59.43000000,,27.00000000,0.00024000,99537.00000000,23.00000000,99526.00000000,6206701.00000000,62.36000000
28.00000000,0.00047000,99095.00000000,47.00000000,99072.00000000,5792682.00000000,58.46000000,,28.00000000,0.00025000,99514.00000000,25.00000000,99501.00000000,6107176.00000000,61.37000000
29.00000000,0.00048000,99048.00000000,48.00000000,99024.00000000,5693610.00000000,57.48000000,,29.00000000,0.00027000,99489.00000000,27.00000000,99476.00000000,6007674.00000000,60.39000000
30.00000000,0.00050000,99000.00000000,50.00000000,98976.00000000,5594586.00000000,56.51000000,,30.00000000,0.00029000,99462.00000000,29.00000000,99448.00000000,5908199.00000000,59.40000000
31.00000000,0.00052000,98951.00000000,51.00000000,98925.00000000,5495610.00000000,55.54000000,,31.00000000,0.00031000,99434.00000000,31.00000000,99419.00000000,5808751.00000000,58.42000000
32.00000000,0.00054000,98900.00000000,54.00000000,98873.00000000,5396685.00000000,54.57000000,,32.00000000,0.00034000,99403.00000000,33.00000000,99387.00000000,5709332.00000000,57.44000000
33.00000000,0.00058000,98846.00000000,57.00000000,98817.00000000,5297813.00000000,53.60000000,,33.00000000,0.00037000,99370.00000000,37.00000000,99352.00000000,5609946.00000000,56.46000000
34.00000000,0.00062000,98789.00000000,61.00000000,98758.00000000,5198996.00000000,52.63000000,,34.00000000,0.00040000,99333.00000000,40.00000000,99313.00000000,5510594.00000000,55.48000000
35.00000000,0.00066000,98728.00000000,65.00000000,98695.00000000,5100238.00000000,51.66000000,,35.00000000,0.00044000,99293.00000000,44.00000000,99271.00000000,5411281.00000000,54.50000000
36.00000000,0.00071000,98662.00000000,70.00000000,98627.00000000,5001543.00000000,50.69000000,,36.00000000,0.00048000,99249.00000000,48.00000000,99225.00000000,5312009.00000000,53.52000000
37.00000000,0.00077000,98592.00000000,76.00000000,98555.00000000,4902915.00000000,49.73000000,,37.00000000,0.00053000,99201.00000000,52.00000000,99175.00000000,5212784.00000000,52.55000000
38.00000000,0.00083000,98517.00000000,81.00000000,98476.00000000,4804361.00000000,48.77000000,,38.00000000,0.00057000,99149.00000000,57.00000000,99121.00000000,5113608.00000000,51.57000000
39.00000000,0.00089000,98436.00000000,88.00000000,98392.00000000,4705885.00000000,47.81000000,,39.00000000,0.00062000,99093.00000000,61.00000000,99062.00000000,5014487.00000000,50.60000000
40.00000000,0.00096000,98348.00000000,94.00000000,98301.00000000,4607493.00000000,46.85000000,,40.00000000,0.00067000,99032.00000000,66.00000000,98999.00000000,4915425.00000000,49.63000000
41.00000000,0.00103000,98253.00000000,101.00000000,98203.00000000,4509193.00000000,45.89000000,,41.00000000,0.00072000,98966.00000000,71.00000000,98930.00000000,4816426.00000000,48.67000000
42.00000000,0.00111000,98152.00000000,109.00000000,98098.00000000,4410990.00000000,44.94000000,,42.00000000,0.00076000,98895.00000000,76.00000000,98857.00000000,4717495.00000000,47.70000000
43.00000000,0.00118000,98043.00000000,116.00000000,97985.00000000,4312893.00000000,43.99000000,,43.00000000,0.00081000,98820.00000000,80.00000000,98780.00000000,4618638.00000000,46.74000000
