"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1942","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","134859553","67596729","67262824","120991519","60774953","60216566","13868034","6821776","7046258"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2325004","1191065","1133939","2049487","1051808","997679","275517","139257","136260"
"9","1","2198704","1117633","1081071","1938667","988553","950114","260037","129080","130957"
"10","2","2261296","1146367","1114929","1971333","1003447","967886","289963","142920","147043"
"11","3","2271410","1152688","1118722","1976659","1005842","970817","294751","146846","147905"
"12","4","2245082","1139681","1105401","1952704","993818","958886","292378","145863","146515"
"13","5","2149276","1087372","1061904","1866239","946875","919364","283037","140497","142540"
"14","6","2145282","1090931","1054351","1863342","949072","914270","281940","141859","140081"
"15","7","2039242","1030132","1009110","1776740","899669","877071","262502","130463","132039"
"16","8","2028925","1025182","1003743","1770297","896906","873391","258628","128276","130352"
"17","9","2049676","1039035","1010641","1792437","911356","881081","257239","127679","129560"
"18","10","2155174","1099586","1055588","1882432","963341","919091","272742","136245","136497"
"19","11","2226745","1133190","1093555","1948082","993815","954267","278663","139375","139288"
"20","12","2288680","1164216","1124464","2006428","1023240","983188","282252","140976","141276"
"21","13","2345055","1192717","1152338","2059279","1050006","1009273","285776","142711","143065"
"22","14","2395539","1213095","1182444","2106046","1068640","1037406","289493","144455","145038"
"23","15","2408479","1207976","1200503","2123879","1067464","1056415","284600","140512","144088"
"24","16","2416741","1213645","1203096","2139409","1077577","1061832","277332","136068","141264"
"25","17","2422415","1213182","1209233","2150073","1080476","1069597","272342","132706","139636"
"26","18","2438410","1218139","1220271","2169839","1088297","1081542","268571","129842","138729"
"27","19","2452135","1225883","1226252","2187453","1098717","1088736","264682","127166","137516"
"28","20","2448250","1233148","1215102","2188418","1108735","1079683","259832","124413","135419"
"29","21","2422754","1217145","1205609","2165596","1094986","1070610","257158","122159","134999"
"30","22","2396760","1200833","1195927","2141725","1080633","1061092","255035","120200","134835"
"31","23","2362383","1178722","1183661","2111411","1062000","1049411","250972","116722","134250"
"32","24","2325335","1153989","1171346","2077332","1039706","1037626","248003","114283","133720"
"33","25","2308977","1135845","1173132","2058490","1019857","1038633","250487","115988","134499"
"34","26","2296949","1127742","1169207","2049641","1012135","1037506","247308","115607","131701"
"35","27","2277664","1117267","1160397","2034569","1002977","1031592","243095","114290","128805"
"36","28","2256833","1107507","1149326","2016937","993809","1023128","239896","113698","126198"
"37","29","2232555","1096186","1136369","1997419","984173","1013246","235136","112013","123123"
"38","30","2187504","1077274","1110230","1964452","970941","993511","223052","106333","116719"
"39","31","2143157","1055596","1087561","1926560","952634","973926","216597","102962","113635"
"40","32","2103932","1037702","1066230","1892771","937220","955551","211161","100482","110679"
"41","33","2067585","1020757","1046828","1861821","922467","939354","205764","98290","107474"
"42","34","2036091","1006868","1029223","1834055","910131","923924","202036","96737","105299"
"43","35","2022690","999686","1023004","1813390","899972","913418","209300","99714","109586"
"44","36","2004612","991095","1013517","1792072","889855","902217","212540","101240","111300"
"45","37","1977025","977572","999453","1763990","876205","887785","213035","101367","111668"
"46","38","1948300","964588","983712","1735049","863099","871950","213251","101489","111762"
"47","39","1917114","950594","966520","1705724","849832","855892","211390","100762","110628"
"48","40","1877565","934874","942691","1681060","839539","841521","196505","95335","101170"
"49","41","1847385","923138","924247","1663130","832482","830648","184255","90656","93599"
"50","42","1817538","910391","907147","1641976","823159","818817","175562","87232","88330"
"51","43","1783919","894691","889228","1616186","810604","805582","167733","84087","83646"
"52","44","1753609","880916","872693","1593053","799779","793274","160556","81137","79419"
"53","45","1737691","874287","863404","1578293","794047","784246","159398","80240","79158"
"54","46","1716975","866773","850202","1560187","787942","772245","156788","78831","77957"
"55","47","1696246","859027","837219","1543473","782152","761321","152773","76875","75898"
"56","48","1675360","850908","824452","1527402","776261","751141","147958","74647","73311"
"57","49","1650057","840491","809566","1507331","768219","739112","142726","72272","70454"
"58","50","1600449","817982","782467","1464899","748632","716267","135550","69350","66200"
"59","51","1543708","790257","753451","1415177","724005","691172","128531","66252","62279"
"60","52","1497168","767802","729366","1375044","704476","670568","122124","63326","58798"
"61","53","1453105","746982","706123","1337349","686594","650755","115756","60388","55368"
"62","54","1405257","723675","681582","1295712","666187","629525","109545","57488","52057"
"63","55","1348512","693048","655464","1244107","638284","605823","104405","54764","49641"
"64","56","1291844","662268","629576","1191898","609934","581964","99946","52334","47612"
"65","57","1233745","631311","602434","1138718","581555","557163","95027","49756","45271"
"66","58","1174000","599776","574224","1084360","552797","531563","89640","46979","42661"
"67","59","1117877","569857","548020","1033456","525564","507892","84421","44293","40128"
"68","60","1084637","551984","532653","1003832","509490","494342","80805","42494","38311"
"69","61","1055074","535665","519409","977987","495046","482941","77087","40619","36468"
"70","62","1015934","513883","502051","941681","474865","466816","74253","39018","35235"
"71","63","971728","489255","482473","901450","452361","449089","70278","36894","33384"
"72","64","926946","464470","462476","861185","429948","431237","65761","34522","31239"
"73","65","883894","441009","442885","822517","408858","413659","61377","32151","29226"
"74","66","841299","418683","422616","783286","388427","394859","58013","30256","27757"
"75","67","800873","397198","403675","745604","368478","377126","55269","28720","26549"
"76","68","760154","375670","384484","707976","348589","359387","52178","27081","25097"
"77","69","717359","353469","363890","668315","328012","340303","49044","25457","23587"
"78","70","659578","325070","334508","614620","301718","312902","44958","23352","21606"
"79","71","597503","293985","303518","557551","273308","284243","39952","20677","19275"
"80","72","542508","266326","276182","506835","247967","258868","35673","18359","17314"
"81","73","493565","241871","251694","461549","225430","236119","32016","16441","15575"
"82","74","448034","219033","229001","419355","204337","215018","28679","14696","13983"
"83","75","406344","196676","209668","381400","183981","197419","24944","12695","12249"
"84","76","366171","175365","190806","344163","164232","179931","22008","11133","10875"
"85","77","318218","151331","166887","299815","142183","157632","18403","9148","9255"
"86","78","277964","131242","146722","262361","123621","138740","15603","7621","7982"
"87","79","243004","113814","129190","229660","107406","122254","13344","6408","6936"
"88","80","213710","99502","114208","201676","93787","107889","12034","5715","6319"
"89","81","188671","87210","101461","177740","82040","95700","10931","5170","5761"
"90","82","162680","74430","88250","153352","70092","83260","9328","4338","4990"
"91","83","139760","63244","76516","131726","59548","72178","8034","3696","4338"
"92","84","119949","53772","66177","112764","50456","62308","7185","3316","3869"
"93","85+","402246","172287","229959","368061","158275","209786","34185","14012","20173"
"94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"101","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"102","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"103","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"104","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"105","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"106","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"107","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"108","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"109","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
