"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1926","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","117397000","59588000","57809000","105468000","53628000","51840000","11929000","5960000","5969000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2366000","1202000","1164000","2109000","1074000","1035000","257000","128000","129000"
"9","1","2414000","1227000","1187000","2152000","1096000","1056000","262000","131000","131000"
"10","2","2451000","1246000","1205000","2184000","1112000","1072000","267000","134000","133000"
"11","3","2473000","1257000","1216000","2204000","1122000","1082000","269000","135000","134000"
"12","4","2485000","1262000","1223000","2214000","1126000","1088000","271000","136000","135000"
"13","5","2486000","1262000","1224000","2214000","1125000","1089000","272000","137000","135000"
"14","6","2479000","1257000","1222000","2207000","1121000","1086000","272000","136000","136000"
"15","7","2464000","1248000","1216000","2192000","1112000","1080000","272000","136000","136000"
"16","8","2444000","1236000","1208000","2173000","1101000","1072000","271000","135000","136000"
"17","9","2417000","1220000","1197000","2148000","1087000","1061000","269000","133000","136000"
"18","10","2386000","1203000","1183000","2119000","1071000","1048000","267000","132000","135000"
"19","11","2350000","1182000","1168000","2085000","1052000","1033000","265000","130000","135000"
"20","12","2315000","1162000","1153000","2053000","1034000","1019000","262000","128000","134000"
"21","13","2292000","1148000","1144000","2031000","1021000","1010000","261000","127000","134000"
"22","14","2273000","1136000","1137000","2012000","1009000","1003000","261000","127000","134000"
"23","15","2252000","1123000","1129000","1991000","996000","995000","261000","127000","134000"
"24","16","2229000","1109000","1120000","1969000","983000","986000","260000","126000","134000"
"25","17","2202000","1094000","1108000","1944000","969000","975000","258000","125000","133000"
"26","18","2166000","1075000","1091000","1911000","952000","959000","255000","123000","132000"
"27","19","2124000","1055000","1069000","1875000","935000","940000","249000","120000","129000"
"28","20","2085000","1035000","1050000","1841000","918000","923000","244000","117000","127000"
"29","21","2049000","1018000","1031000","1809000","903000","906000","240000","115000","125000"
"30","22","2012000","1000000","1012000","1778000","888000","890000","234000","112000","122000"
"31","23","1976000","982000","994000","1750000","874000","876000","226000","108000","118000"
"32","24","1942000","964000","978000","1724000","860000","864000","218000","104000","114000"
"33","25","1911000","948000","963000","1699000","847000","852000","212000","101000","111000"
"34","26","1873000","929000","944000","1670000","832000","838000","203000","97000","106000"
"35","27","1854000","920000","934000","1657000","826000","831000","197000","94000","103000"
"36","28","1862000","926000","936000","1665000","832000","833000","197000","94000","103000"
"37","29","1887000","941000","946000","1687000","845000","842000","200000","96000","104000"
"38","30","1909000","955000","954000","1707000","858000","849000","202000","97000","105000"
"39","31","1935000","971000","964000","1729000","872000","857000","206000","99000","107000"
"40","32","1934000","973000","961000","1730000","875000","855000","204000","98000","106000"
"41","33","1888000","952000","936000","1693000","858000","835000","195000","94000","101000"
"42","34","1814000","917000","897000","1634000","830000","804000","180000","87000","93000"
"43","35","1743000","883000","860000","1577000","803000","774000","166000","80000","86000"
"44","36","1667000","846000","821000","1515000","773000","742000","152000","73000","79000"
"45","37","1611000","821000","790000","1468000","752000","716000","143000","69000","74000"
"46","38","1588000","814000","774000","1447000","745000","702000","141000","69000","72000"
"47","39","1586000","819000","767000","1440000","746000","694000","146000","73000","73000"
"48","40","1578000","820000","758000","1429000","745000","684000","149000","75000","74000"
"49","41","1570000","822000","748000","1417000","744000","673000","153000","78000","75000"
"50","42","1548000","814000","734000","1395000","735000","660000","153000","79000","74000"
"51","43","1506000","792000","714000","1357000","715000","642000","149000","77000","72000"
"52","44","1450000","760000","690000","1309000","687000","622000","141000","73000","68000"
"53","45","1396000","730000","666000","1263000","661000","602000","133000","69000","64000"
"54","46","1343000","700000","643000","1216000","634000","582000","127000","66000","61000"
"55","47","1289000","670000","619000","1170000","608000","562000","119000","62000","57000"
"56","48","1242000","646000","596000","1129000","586000","543000","113000","60000","53000"
"57","49","1196000","624000","572000","1089000","566000","523000","107000","58000","49000"
"58","50","1149000","601000","548000","1048000","545000","503000","101000","56000","45000"
"59","51","1100000","577000","523000","1005000","523000","482000","95000","54000","41000"
"60","52","1056000","555000","501000","968000","504000","464000","88000","51000","37000"
"61","53","1021000","538000","483000","937000","489000","448000","84000","49000","35000"
"62","54","994000","525000","469000","913000","478000","435000","81000","47000","34000"
"63","55","965000","511000","454000","887000","466000","421000","78000","45000","33000"
"64","56","940000","499000","441000","865000","456000","409000","75000","43000","32000"
"65","57","905000","481000","424000","835000","441000","394000","70000","40000","30000"
"66","58","858000","455000","403000","793000","418000","375000","65000","37000","28000"
"67","59","805000","424000","381000","745000","390000","355000","60000","34000","26000"
"68","60","752000","394000","358000","699000","364000","335000","53000","30000","23000"
"69","61","700000","364000","336000","652000","337000","315000","48000","27000","21000"
"70","62","655000","338000","317000","612000","314000","298000","43000","24000","19000"
"71","63","624000","321000","303000","584000","299000","285000","40000","22000","18000"
"72","64","601000","310000","291000","563000","289000","274000","38000","21000","17000"
"73","65","576000","297000","279000","540000","277000","263000","36000","20000","16000"
"74","66","548000","282000","266000","515000","264000","251000","33000","18000","15000"
"75","67","520000","268000","252000","489000","251000","238000","31000","17000","14000"
"76","68","491000","253000","238000","462000","237000","225000","29000","16000","13000"
"77","69","461000","237000","224000","433000","222000","211000","28000","15000","13000"
"78","70","426000","219000","207000","400000","205000","195000","26000","14000","12000"
