Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.00486000,100000.00000000,486.00000000,99573.00000000,7649732.00000000,76.50000000,,0.00000000,0.00411000,100000.00000000,411.00000000,99641.00000000,8080182.00000000,80.80000000
1.00000000,0.00034000,99514.00000000,34.00000000,99497.00000000,7550159.00000000,75.87000000,,1.00000000,0.00030000,99589.00000000,30.00000000,99574.00000000,7980541.00000000,80.13000000
2.00000000,0.00023000,99480.00000000,23.00000000,99468.00000000,7450663.00000000,74.90000000,,2.00000000,0.00019000,99559.00000000,19.00000000,99550.00000000,7880967.00000000,79.16000000
3.00000000,0.00019000,99456.00000000,19.00000000,99447.00000000,7351195.00000000,73.91000000,,3.00000000,0.00015000,99540.00000000,14.00000000,99533.00000000,7781418.00000000,78.17000000
4.00000000,0.00015000,99437.00000000,15.00000000,99430.00000000,7251748.00000000,72.93000000,,4.00000000,0.00011000,99526.00000000,11.00000000,99520.00000000,7681885.00000000,77.19000000
5.00000000,0.00013000,99422.00000000,13.00000000,99416.00000000,7152318.00000000,71.94000000,,5.00000000,0.00010000,99515.00000000,10.00000000,99510.00000000,7582365.00000000,76.19000000
6.00000000,0.00013000,99409.00000000,13.00000000,99403.00000000,7052902.00000000,70.95000000,,6.00000000,0.00010000,99504.00000000,10.00000000,99499.00000000,7482855.00000000,75.20000000
7.00000000,0.00012000,99396.00000000,12.00000000,99391.00000000,6953500.00000000,69.96000000,,7.00000000,0.00010000,99494.00000000,10.00000000,99490.00000000,7383356.00000000,74.21000000
8.00000000,0.00011000,99385.00000000,11.00000000,99379.00000000,6854109.00000000,68.97000000,,8.00000000,0.00010000,99485.00000000,9.00000000,99480.00000000,7283866.00000000,73.22000000
9.00000000,0.00009000,99374.00000000,9.00000000,99370.00000000,6754730.00000000,67.97000000,,9.00000000,0.00009000,99475.00000000,9.00000000,99471.00000000,7184386.00000000,72.22000000
10.00000000,0.00007000,99366.00000000,7.00000000,99362.00000000,6655360.00000000,66.98000000,,10.00000000,0.00008000,99466.00000000,8.00000000,99462.00000000,7084916.00000000,71.23000000
11.00000000,0.00008000,99358.00000000,8.00000000,99355.00000000,6555998.00000000,65.98000000,,11.00000000,0.00008000,99458.00000000,8.00000000,99454.00000000,6985453.00000000,70.23000000
12.00000000,0.00013000,99351.00000000,12.00000000,99345.00000000,6456643.00000000,64.99000000,,12.00000000,0.00010000,99450.00000000,10.00000000,99445.00000000,6885999.00000000,69.24000000
13.00000000,0.00022000,99338.00000000,22.00000000,99327.00000000,6357299.00000000,64.00000000,,13.00000000,0.00014000,99440.00000000,14.00000000,99433.00000000,6786554.00000000,68.25000000
14.00000000,0.00036000,99316.00000000,36.00000000,99298.00000000,6257972.00000000,63.01000000,,14.00000000,0.00019000,99426.00000000,19.00000000,99416.00000000,6687121.00000000,67.26000000
15.00000000,0.00051000,99280.00000000,51.00000000,99255.00000000,6158674.00000000,62.03000000,,15.00000000,0.00025000,99407.00000000,25.00000000,99394.00000000,6587705.00000000,66.27000000
16.00000000,0.00065000,99230.00000000,64.00000000,99198.00000000,6059419.00000000,61.06000000,,16.00000000,0.00031000,99382.00000000,31.00000000,99366.00000000,6488311.00000000,65.29000000
17.00000000,0.00077000,99165.00000000,77.00000000,99127.00000000,5960221.00000000,60.10000000,,17.00000000,0.00035000,99351.00000000,35.00000000,99333.00000000,6388945.00000000,64.31000000
18.00000000,0.00088000,99089.00000000,87.00000000,99045.00000000,5861094.00000000,59.15000000,,18.00000000,0.00037000,99316.00000000,37.00000000,99298.00000000,6289611.00000000,63.33000000
19.00000000,0.00096000,99002.00000000,95.00000000,98955.00000000,5762049.00000000,58.20000000,,19.00000000,0.00037000,99279.00000000,37.00000000,99261.00000000,6190314.00000000,62.35000000
20.00000000,0.00104000,98907.00000000,103.00000000,98856.00000000,5663095.00000000,57.26000000,,20.00000000,0.00037000,99242.00000000,37.00000000,99224.00000000,6091053.00000000,61.38000000
21.00000000,0.00111000,98805.00000000,110.00000000,98750.00000000,5564239.00000000,56.32000000,,21.00000000,0.00038000,99205.00000000,38.00000000,99186.00000000,5991829.00000000,60.40000000
22.00000000,0.00115000,98695.00000000,114.00000000,98638.00000000,5465489.00000000,55.38000000,,22.00000000,0.00038000,99168.00000000,38.00000000,99149.00000000,5892642.00000000,59.42000000
23.00000000,0.00114000,98581.00000000,112.00000000,98525.00000000,5366851.00000000,54.44000000,,23.00000000,0.00039000,99130.00000000,39.00000000,99110.00000000,5793494.00000000,58.44000000
24.00000000,0.00110000,98468.00000000,108.00000000,98415.00000000,5268327.00000000,53.50000000,,24.00000000,0.00040000,99091.00000000,40.00000000,99071.00000000,5694384.00000000,57.47000000
25.00000000,0.00104000,98361.00000000,102.00000000,98310.00000000,5169912.00000000,52.56000000,,25.00000000,0.00041000,99051.00000000,41.00000000,99030.00000000,5595313.00000000,56.49000000
26.00000000,0.00099000,98259.00000000,97.00000000,98210.00000000,5071603.00000000,51.61000000,,26.00000000,0.00043000,99010.00000000,42.00000000,98989.00000000,5496282.00000000,55.51000000
27.00000000,0.00096000,98162.00000000,95.00000000,98114.00000000,4973393.00000000,50.67000000,,27.00000000,0.00045000,98968.00000000,44.00000000,98946.00000000,5397293.00000000,54.54000000
28.00000000,0.00097000,98067.00000000,95.00000000,98019.00000000,4875278.00000000,49.71000000,,28.00000000,0.00048000,98923.00000000,47.00000000,98900.00000000,5298348.00000000,53.56000000
29.00000000,0.00101000,97972.00000000,99.00000000,97922.00000000,4777259.00000000,48.76000000,,29.00000000,0.00051000,98876.00000000,51.00000000,98851.00000000,5199448.00000000,52.59000000
