"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1906","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","85450000","43841000","41609000","75583000","38890000","36693000","9867000","4951000","4916000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2050000","1040000","1010000","1793000","911000","882000","257000","129000","128000"
"9","1","2040000","1032000","1008000","1779000","902000","877000","261000","130000","131000"
"10","2","2024000","1022000","1002000","1760000","891000","869000","264000","131000","133000"
"11","3","2002000","1010000","992000","1738000","879000","859000","264000","131000","133000"
"12","4","1976000","996000","980000","1713000","866000","847000","263000","130000","133000"
"13","5","1947000","982000","965000","1685000","852000","833000","262000","130000","132000"
"14","6","1914000","965000","949000","1656000","837000","819000","258000","128000","130000"
"15","7","1881000","949000","932000","1626000","822000","804000","255000","127000","128000"
"16","8","1848000","933000","915000","1597000","808000","789000","251000","125000","126000"
"17","9","1815000","917000","898000","1569000","794000","775000","246000","123000","123000"
"18","10","1782000","901000","881000","1541000","780000","761000","241000","121000","120000"
"19","11","1748000","885000","863000","1512000","766000","746000","236000","119000","117000"
"20","12","1722000","871000","851000","1491000","755000","736000","231000","116000","115000"
"21","13","1708000","862000","846000","1482000","749000","733000","226000","113000","113000"
"22","14","1702000","855000","847000","1480000","745000","735000","222000","110000","112000"
"23","15","1696000","849000","847000","1478000","742000","736000","218000","107000","111000"
"24","16","1687000","841000","846000","1475000","738000","737000","212000","103000","109000"
"25","17","1684000","838000","846000","1475000","737000","738000","209000","101000","108000"
"26","18","1688000","839000","849000","1477000","738000","739000","211000","101000","110000"
"27","19","1695000","844000","851000","1481000","742000","739000","214000","102000","112000"
"28","20","1699000","848000","851000","1483000","745000","738000","216000","103000","113000"
"29","21","1705000","852000","853000","1486000","748000","738000","219000","104000","115000"
"30","22","1699000","851000","848000","1480000","747000","733000","219000","104000","115000"
"31","23","1675000","843000","832000","1461000","741000","720000","214000","102000","112000"
"32","24","1636000","829000","807000","1432000","731000","701000","204000","98000","106000"
"33","25","1596000","814000","782000","1402000","720000","682000","194000","94000","100000"
"34","26","1559000","801000","758000","1373000","710000","663000","186000","91000","95000"
"35","27","1515000","783000","732000","1339000","696000","643000","176000","87000","89000"
"36","28","1466000","761000","705000","1301000","679000","622000","165000","82000","83000"
"37","29","1417000","737000","680000","1261000","659000","602000","156000","78000","78000"
"38","30","1363000","711000","652000","1218000","638000","580000","145000","73000","72000"
"39","31","1308000","684000","624000","1174000","616000","558000","134000","68000","66000"
"40","32","1263000","662000","601000","1138000","598000","540000","125000","64000","61000"
"41","33","1239000","650000","589000","1116000","587000","529000","123000","63000","60000"
"42","34","1226000","644000","582000","1103000","581000","522000","123000","63000","60000"
"43","35","1210000","636000","574000","1087000","573000","514000","123000","63000","60000"
"44","36","1198000","630000","568000","1073000","566000","507000","125000","64000","61000"
"45","37","1177000","619000","558000","1054000","556000","498000","123000","63000","60000"
"46","38","1142000","602000","540000","1025000","542000","483000","117000","60000","57000"
"47","39","1096000","579000","517000","988000","524000","464000","108000","55000","53000"
"48","40","1056000","560000","496000","955000","508000","447000","101000","52000","49000"
"49","41","1013000","539000","474000","920000","491000","429000","93000","48000","45000"
"50","42","974000","519000","455000","887000","474000","413000","87000","45000","42000"
"51","43","937000","499000","438000","853000","456000","397000","84000","43000","41000"
"52","44","902000","480000","422000","820000","438000","382000","82000","42000","40000"
"53","45","867000","462000","405000","787000","420000","367000","80000","42000","38000"
"54","46","831000","442000","389000","753000","401000","352000","78000","41000","37000"
"55","47","800000","426000","374000","724000","386000","338000","76000","40000","36000"
"56","48","780000","416000","364000","705000","376000","329000","75000","40000","35000"
"57","49","765000","410000","355000","691000","370000","321000","74000","40000","34000"
"58","50","750000","403000","347000","678000","364000","314000","72000","39000","33000"
"59","51","738000","399000","339000","666000","359000","307000","72000","40000","32000"
"60","52","716000","387000","329000","646000","348000","298000","70000","39000","31000"
"61","53","677000","366000","311000","613000","330000","283000","64000","36000","28000"
"62","54","630000","338000","292000","572000","306000","266000","58000","32000","26000"
"63","55","584000","312000","272000","532000","283000","249000","52000","29000","23000"
"64","56","537000","285000","252000","492000","260000","232000","45000","25000","20000"
"65","57","499000","263000","236000","459000","241000","218000","40000","22000","18000"
"66","58","475000","249000","226000","437000","228000","209000","38000","21000","17000"
"67","59","463000","242000","221000","423000","220000","203000","40000","22000","18000"
"68","60","447000","233000","214000","407000","211000","196000","40000","22000","18000"
"69","61","433000","225000","208000","393000","203000","190000","40000","22000","18000"
"70","62","417000","216000","201000","377000","194000","183000","40000","22000","18000"
"71","63","395000","204000","191000","358000","184000","174000","37000","20000","17000"
"72","64","371000","191000","180000","338000","173000","165000","33000","18000","15000"
"73","65","349000","179000","170000","319000","163000","156000","30000","16000","14000"
"74","66","327000","168000","159000","300000","153000","147000","27000","15000","12000"
"75","67","305000","156000","149000","281000","143000","138000","24000","13000","11000"
"76","68","284000","145000","139000","262000","133000","129000","22000","12000","10000"
"77","69","263000","134000","129000","244000","124000","120000","19000","10000","9000"
"78","70","242000","123000","119000","225000","114000","111000","17000","9000","8000"
"79","71","223000","113000","110000","207000","105000","102000","16000","8000","8000"
"80","72","204000","103000","101000","188000","95000","93000","16000","8000","8000"
"81","73","185000","93000","92000","169000","85000","84000","16000","8000","8000"
"82","74","167000","83000","84000","150000","75000","75000","17000","8000","9000"
"83","75+","1046000","511000","535000","950000","465000","485000","96000","46000","50000"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"93","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
