UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,9,4125415,2107037,2018378,1563800,1489574,316004,306221,32426,31457,97412,96766,5551,5466,91844,88894,1647335,1570541,362665,351786,54560,52817,130896,128728,12549,12266,1624287,1554241,1143272,1085515,292254,283408,18235,17605,92468,92078,3911,3733,74147,71902,1210898,1151268,330859,321261,33360,32210,120611,118951,9154,8848,482750,464137,420528,404059,23750,22813,14191,13852,4944,4688,1640,1733,17697,16992,436437,419273,31806,30525,21200,20607,10285,9777,3395,3418
R,7,2010,10,4187062,2142167,2044895,1591538,1510110,325913,314681,33388,31969,95327,94736,5770,5387,90231,88012,1673722,1589877,371616,360092,55983,53880,127476,125807,12618,12102,1658615,1582288,1169916,1107441,302209,291711,18971,18058,90385,90039,4062,3780,73072,71259,1236693,1172259,340150,329418,34471,33208,117506,116085,9256,8838,483552,462607,421622,402669,23704,22970,14417,13911,4942,4697,1708,1607,17159,16753,437029,417618,31466,30674,21512,20672,9970,9722,3362,3264
R,7,2010,11,4115511,2104797,2010714,1570389,1492226,317846,307291,32271,31295,91160,89960,5629,5179,87502,84763,1649904,1569079,361841,350598,54459,53083,122303,119603,12617,11708,1638659,1562541,1163896,1101996,294880,285032,18508,17844,86298,85273,3940,3650,71137,68746,1228788,1164529,331606,321238,34035,33096,112478,109998,9251,8608,466138,448173,406493,390230,22966,22259,13763,13451,4862,4687,1689,1529,16365,16017,421116,404550,30235,29360,20424,19987,9825,9605,3366,3100
R,7,2010,12,4113279,2103649,2009630,1569182,1490232,319833,309214,32254,31369,92537,91407,5580,5226,84263,82182,1645531,1564821,361956,350791,54175,52825,122202,119976,12151,11486,1643745,1568588,1167450,1105717,297447,287403,18458,18069,87855,86752,3984,3684,68551,66963,1229782,1166727,332732,322213,33816,33267,112778,110750,9020,8452,459904,441042,401732,384515,22386,21811,13796,13300,4682,4655,1596,1542,15712,15219,415749,398094,29224,28578,20359,19558,9424,9226,3131,3034
R,7,2010,13,4119666,2104949,2014717,1573028,1496926,319263,309413,32076,30915,93787,92284,5477,5115,81318,80064,1646736,1569259,359220,349374,53947,52597,122577,120150,11903,11440,1648811,1578075,1174597,1115910,297093,288119,18322,17751,89118,87723,3873,3630,65808,64942,1234508,1174722,330275,321450,33642,33062,113243,111096,8755,8456,456138,436642,398431,381016,22170,21294,13754,13164,4669,4561,1604,1485,15510,15122,412228,394537,28945,27924,20305,19535,9334,9054,3148,2984
R,7,2010,14,4145614,2122913,2022701,1590560,1505606,319848,310546,32185,30696,95269,92937,5574,5289,79477,77627,1662495,1575709,358280,348688,54155,52332,123514,120232,11908,11555,1668846,1588610,1193147,1126286,298103,289545,18509,17670,90701,88383,3952,3726,64434,63000,1251683,1183375,330132,321278,33943,32990,114439,111307,8818,8594,454067,434091,397413,379320,21745,21001,13676,13026,4568,4554,1622,1563,15043,14627,410812,392334,28148,27410,20212,19342,9075,8925,3090,2961
R,7,2010,15,4231002,2170442,2060560,1620548,1529902,338227,325580,32906,31433,95529,92022,5618,5499,77614,76124,1690305,1598122,375267,362871,55109,53183,123131,118668,12139,11838,1711040,1623545,1218327,1148093,315869,304089,19113,18167,90767,87547,3977,3861,62987,61788,1275063,1203632,346669,335033,34960,33794,114075,109926,8990,8789,459402,437015,402221,381809,22358,21491,13793,13266,4762,4475,1641,1638,14627,14336,415242,394490,28598,27838,20149,19389,9056,8742,3149,3049
R,7,2010,16,4313252,2215032,2098220,1647069,1550872,355299,341675,33734,32335,97838,92627,5749,5665,75343,75046,1714470,1617847,390387,377627,56165,54675,124812,118914,12322,12098,1751046,1659748,1240163,1167802,332692,319943,19896,18920,93233,88104,4126,4048,60936,60931,1294771,1222294,361772,349843,35968,35076,115898,110198,9214,9027,463986,438472,406906,383070,22607,21732,13838,13415,4605,4523,1623,1617,14407,14115,419699,395553,28615,27784,20197,19599,8914,8716,3108,3071
R,7,2010,17,4376367,2252838,2123529,1671902,1567900,367864,350768,35054,33029,99476,94065,5971,5687,72571,72080,1736540,1632000,400919,384495,57304,55357,125710,119480,12395,11979,1783698,1687012,1260671,1186259,344634,329152,20603,19597,94850,89502,4235,4060,58705,58442,1313065,1238339,371913,356993,36526,35755,117088,110996,9278,8965,469140,436517,411231,381641,23230,21616,14451,13432,4626,4563,1736,1627,13866,13638,423475,393661,29006,27502,20778,19602,8622,8484,3117,3014
R,7,2010,18,4491005,2305733,2185272,1712946,1613578,373741,360734,36517,33816,105328,99583,6264,5864,70937,71697,1775768,1676912,404605,393271,59151,56114,131481,125811,12745,12414,1826285,1742064,1293022,1227077,350058,337840,21387,20255,100503,94796,4348,4189,56967,57907,1343491,1278354,375131,364457,37575,36351,122663,116964,9452,9241,479448,443208,419924,386501,23683,22894,15130,13561,4825,4787,1916,1675,13970,13790,432277,398558,29474,28814,21576,19763,8818,8847,3293,3173
