Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2e3,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,1811e3,185e4,1892e3,193e4,1969e3,201e4,205e4,2086e3,2125e3,2162e3,2203e3,2227e3,225e4,2279e3,2305e3,2317e3,2325e3,2329e3,2332e3,2299e3,2277e3,2362e3,2413e3,2433e3,2476e3,246e4,2366e3,2305e3,2251e3,2142e3,2181398,2138681,2040919,1937890,1874566,1951444,1944835,1932237,2018652,2041014,2025235,2166858,2325004,2692725,2515859,2463569,2401211,3452304,3169318,3169644,3162567,3315027,3429237,3546301,3670654,3777404,3860003,4035155,4073113,4097383,4093802,4172988,4083751,4012510,3946853,3770049,3555346,345e4,3366388,3412562,3508096,3601094,3305565,3128246,3065474,3152345,3115391,3278804,3326388,3426309,3559857,3607440,3643570,3649184,3571901,3678641,3699552,3703278,3756531,3858426,3986488,4003780,3972775,3894191,3837113,3791386,3744999,3751141,3762809,3795762,3855956,4012658,3951461,3975871,4014258,4004393,4041738,4147997,4132735,4003587,3951330,3963087,3926540,3931141,3971847,4000831,4029356,4057231,4083375,4107606,4128810,4145903,4159190,4169856,4178872,4186576,4192911,4197539,4200651,4203058,4205295,4207608,4210700,4214950,4220635,4227748,4235922,4244914,4254616,4265131,4276345,4288252,4300985,4314403,4328503,4343204,4358264,4373494,4388677,4403625,4418211,4432360,4445937,4458843,4471066,4482613,4493531,4503901,4513793,4523354,4532718
1,1835e3,1869e3,1906e3,1938e3,1971e3,2006e3,204e4,2069e3,2102e3,2134e3,2168e3,2194e3,2217e3,2249e3,2278e3,2295e3,2308e3,232e4,233e4,2308e3,2313e3,2375e3,2413e3,243e4,2465e3,2465e3,2414e3,2383e3,2345e3,2274e3,2164397,2140300,2101784,2011141,1917215,1862375,1942228,1948567,1942637,2025350,2057692,2082260,2198704,2371411,2724581,2580905,2541726,2496515,3514716,3269273,3299863,3306360,3450008,3548477,3653661,3764469,3857934,3923917,4081641,4103414,4104163,4084896,4160703,4071602,3998118,3928418,3754179,3535546,3430838,3345777,3401442,3489276,3567411,3262329,3076817,3005595,3079357,3031462,3178511,3211427,3315535,3436005,3489139,3530264,3543520,3476794,3587714,3615305,3627905,3684924,3798100,3953336,3978057,3955183,3882132,3832267,3793945,3755827,3768112,3784001,3798691,3855407,4004674,3936139,3953063,3987032,3972124,4002215,4100756,4078797,3957888,3966551,3977939,3942872,3957864,3988161,4017346,4046063,4074132,4100469,4124893,4146269,4163587,4177093,4187990,4197220,4205144,4211689,4216535,4219852,4222463,4224897,4227406,4230679,4235121,4240984,4248266,4256601,4265747,4275611,4286271,4297626,4309661,4322529,4336069,4350298,4365110,4380286,4395620,4410899,4425946,4440620,4454854,4468521,4481502,4493803,4505417,4516393,4526822,4536766,4546371
2,1846e3,1876e3,191e4,1938e3,1965e3,1995e3,2024e3,2049e3,2076e3,2104e3,2135e3,2161e3,2184e3,2217e3,225e4,227e4,2291e3,2308e3,2324e3,2312e3,2337e3,2383e3,2408e3,2426e3,2454e3,2467e3,2451e3,2441e3,2416e3,2374e3,2272951,2225565,2208897,2183375,2107742,2027696,1987308,2079031,2108385,2115730,2219308,2232740,2261296,2388589,2573419,2922095,2748274,2695485,2680284,3706727,3450042,3458209,3447304,3574323,3656495,3744444,3839092,3912759,3955569,4092616,4080463,4057693,4034016,4105855,4013585,3935365,3866725,3688418,3471495,3364853,3295270,3348331,3439449,3522332,3227239,3051605,2986220,3063419,3022264,3173548,3210169,3314474,3436728,3490553,3534437,3551533,3487636,3601784,3635067,3650190,3712522,3806523,3963541,3992724,3968620,3896142,3847031,3811084,3773397,3783695,3800144,3800096,3856114,4002836,3933735,3952632,3988119,3973479,4004146,4103002,4090862,3971565,3980095,3992720,3972081,3974109,4004585,4033932,4062816,4091055,4117546,4142090,4163657,4181156,4194843,4205907,4215323,4223412,4230129,4235134,4238612,4241383,4243979,4246629,4250052,4254635,4260634,4268043,4276512,4285791,4295781,4306554,4318020,4330172,4343151,4356791,4371119,4386026,4401301,4416713,4432074,4447194,4461933,4476247,4489982,4503025,4515377,4527040,4538071,4548549,4558521
3,1848e3,1876e3,1904e3,1927e3,1953e3,1977e3,2002e3,2023e3,2046e3,2072e3,2101e3,2125e3,2149e3,2185e3,222e4,2246e3,227e4,2294e3,2316e3,2312e3,2351e3,2382e3,2403e3,242e4,2443e3,2465e3,2473e3,248e4,2466e3,2447e3,2375736,2300649,2250398,2229269,2204350,2127788,2046505,2007264,2099909,2136944,2137535,2231007,2271410,2297887,2416020,2592601,2954919,2800738,2759307,2710023,3771883,3495214,3497803,3477405,3599983,3676466,3759958,3847648,3911814,3947785,4077609,4080156,4060410,4040638,4115310,4024448,3953247,3884351,3709110,3493737,3406502,3337236,3392093,3485898,3571284,3276743,3100598,3034854,3117040,3077017,3238099,3260929,3361224,3478505,3527196,3566160,3578320,3508776,3619632,3645954,3660016,3722775,3823718,3989373,4022773,4003956,3936378,3893717,3861808,3826501,3821118,3802710,3804336,3860727,4008220,3943215,3966022,4004011,3992320,4025675,4111920,4102470,3983157,3992734,4003272,3986357,3988434,4019069,4048550,4077589,4105953,4132527,4157230,4178958,4196606,4210440,4221656,4231219,4239445,4246301,4251447,4255071,4257968,4260685,4263453,4267001,4271700,4277812,4285334,4293912,4303288,4313384,4324265,4335831,4348082,4361141,4374872,4389282,4404268,4419616,4435090,4450521,4465708,4480504,4494875,4508664,4521751,4534167,4545884,4556954,4567464
4,1841e3,1865e3,189e4,1912e3,1933e3,1956e3,1976e3,1993e3,2015e3,2037e3,2064e3,2089e3,2115e3,2152e3,2191e3,2219e3,2248e3,2276e3,2304e3,2305e3,2353e3,2377e3,2394e3,241e4,2431e3,2459e3,2485e3,2502e3,25e5,2497e3,2377633,2374212,2301105,2250477,2226918,2201074,2122916,2041574,2006846,2099288,2138873,2136767,2245082,2265745,2293935,2419641,2597793,2960693,2795306,2751429,2725600,3758637,3487906,3491830,3476664,3603530,3686410,3774329,3864465,3933920,3985212,4126537,4129913,4110926,4090999,4165561,4078477,4004194,3935584,3758584,3554881,3468031,3396835,3452041,3545915,3635195,3335549,3155120,3090801,3174581,3127524,3273871,3297168,3398377,3517851,3568493,3609279,3623062,3556285,3668564,3699321,3721632,3789950,3897804,4066224,4102754,4085919,4020902,3978797,3945585,3902384,3827346,3812607,3816873,3876609,4030128,3970880,3998260,4041170,4033457,4077551,4122294,4112849,3994449,4001929,4015656,3998839,4000955,4031712,4061316,4090466,4118898,4145600,4170441,4192301,4210075,4224042,4235383,4245066,4253413,4260389,4265658,4269396,4272398,4275213,4278084,4281738,4286539,4292755,4300368,4309036,4318502,4328686,4339656,4351304,4363628,4376766,4390564,4405042,4420089,4435492,4451035,4466528,4481763,4496607,4511017,4524849,4537987,4550445,4562198,4573305
5,1827e3,1849e3,1873e3,1889e3,1909e3,1929e3,1947e3,1963e3,1981e3,2002e3,2029e3,2055e3,208e4,212e4,216e4,2191e3,2223e3,2257e3,2288e3,2297e3,2347e3,2366e3,2382e3,2401e3,2419e3,2449e3,2486e3,2512e3,2515e3,2526e3,2489604,2444300,2435190,2365010,2314488,2285507,2256622,2176641,2096956,2064071,2106522,2172236,2149276,2212045,2222993,2244654,2362293,2531834,2885424,2727530,2714560,2673394,3697873,3439101,3453939,3449161,3587147,3679934,3776286,3877965,3958677,3998349,4137071,4137064,4114053,4089460,4164778,4072240,3995171,3923088,3756969,3556777,3468940,3396993,3450079,3545888,3634324,3333554,3156246,3092294,3179868,3128726,3273883,3295766,3397284,3517699,3568272,3610115,3626544,3559366,3681034,3707078,3732466,3805253,3911606,4080906,4118615,4104267,4039711,3995596,3967834,3910033,3837187,3823568,3829607,3893128,4050582,3993489,4024297,4070265,4064653,4087709,4132242,4123626,4002977,4013264,4026967,4010232,4012371,4043229,4072931,4102128,4130675,4157505,4182454,4204428,4222316,4236394,4247842,4257633,4266089,4273166,4278542,4282369,4285465,4288369,4291328,4295076,4299965,4306268,4313960,4322706,4332247,4342503,4353546,4365255,4377649,4390845,4404708,4419237,4434337,4449794,4465386,4480923,4496202,4511097,4525539,4539403,4552573,4565065,4576848
6,1806e3,1826e3,1848e3,1864e3,188e4,1898e3,1914e3,193e4,1948e3,1967e3,1993e3,2019e3,2047e3,2088e3,2129e3,2163e3,2199e3,2235e3,227e4,2282e3,2332e3,2351e3,2366e3,2387e3,2404e3,2436e3,2479e3,2509e3,2518e3,2535e3,2512951,2480998,2436210,2424948,2360580,2309343,2275046,2245185,2167475,2089083,2100480,2077259,2145282,2115201,2195216,2212753,2243741,2365076,2539920,2889816,2755636,2720557,2678521,3699058,3439355,3452324,3447168,3582421,3670427,3764441,3852247,3925679,3971329,4114451,4119428,4101067,4086431,4165426,4078802,4007178,3946319,3787320,3582479,3491086,3414384,3467501,3560219,3644207,3343315,3163905,3110507,3185857,3133165,3275929,3297294,3398444,3517951,3567922,3610681,3625414,3563046,3686288,3714856,3743247,3813700,3918857,4087823,4127495,4112475,4044949,4004335,3972508,3913054,3837761,3822089,3828153,3891329,4046402,3988117,4018200,4073013,4074993,4097605,4142916,4132455,4013790,4024121,4037777,4021117,4023269,4054223,4083950,4113256,4141921,4168855,4193907,4215984,4233974,4248143,4259697,4269586,4278135,4285306,4290768,4294674,4297855,4300837,4303886,4307709,4312672,4319048,4326813,4335628,4345231,4355549,4366648,4378421,4390870,4404125,4418037,4432614,4447759,4463257,4478885,4494463,4509784,4524713,4539183,4553071,4566262,4578782
7,178e4,1799e3,1818e3,1834e3,1849e3,1867e3,1881e3,1896e3,1913e3,1933e3,1959e3,1985e3,2013e3,2055e3,2099e3,2135e3,2172e3,221e4,225e4,2263e3,2311e3,2332e3,2349e3,2372e3,2389e3,242e4,2464e3,2496e3,2509e3,2529e3,2482957,2505440,2472188,2429945,2418028,2357112,2303852,2264960,2236930,2159685,2114510,2069053,2039242,2112215,2100096,2186637,2213616,2248431,2375063,2546627,2932959,2777810,2743435,2699180,3727076,3465773,3480478,3474852,3608923,3697523,3797917,3890068,3962111,4004689,4144687,4145207,4127481,4107922,4183649,4093268,4019585,3977564,3823954,3623683,3536215,3467426,3526690,3625593,3721084,3421248,3247691,3165379,3235675,3176388,3315974,3333327,3430419,3545782,3591759,3628223,3644060,3583698,3713396,3748730,3778668,3851996,3961111,4136887,4180115,4165859,4091467,4012049,3982360,3924182,3850646,3838840,3848758,3914743,4073291,4017024,4043046,4083225,4084913,4108349,4152653,4142998,4024481,4034839,4048454,4031853,4034013,4065004,4094835,4124243,4153008,4180042,4205193,4227367,4245449,4259709,4271353,4281325,4289969,4297218,4302760,4306741,4310005,4313065,4316189,4320087,4325113,4331559,4339387,4348259,4357926,4368299,4379450,4391273,4403777,4417075,4431037,4445655,4460837,4476376,4492035,4507639,4522985,4537945,4552437,4566345,4579565
8,175e4,1768e3,1788e3,1801e3,1817e3,1832e3,1848e3,1861e3,188e4,1899e3,1926e3,1952e3,1984e3,2026e3,207e4,2106e3,2146e3,2185e3,2226e3,2242e3,2283e3,2308e3,2328e3,2352e3,2373e3,2401e3,2444e3,2474e3,249e4,2512e3,2569834,2480593,2497622,2465138,2426895,2412005,2353194,2298622,2257979,2229989,2143466,2086545,2028925,2005936,2095447,2089735,2184746,2214936,2253977,2376632,2569056,2919475,2764331,2726494,2681218,3698230,3438169,3449670,3439532,3569753,3635589,3726338,3820035,3892608,3935856,4074807,4081690,4065534,4048616,4125569,4032394,3974264,3922524,3761820,3555210,3463857,3387656,3435855,3527457,3613454,3328772,3140834,3057900,3122449,3064081,3197941,3212175,3304508,3415937,3456623,3510580,3537332,3494500,3636925,3682989,3724335,3810244,3934297,4122785,4178894,4164871,4099542,4020970,3991075,3933161,3861877,3852265,3863089,3930544,4089946,4025604,4053203,4093177,4095711,4118628,4163270,4153686,4035311,4045696,4059256,4042721,4044832,4075940,4105873,4135377,4164245,4191376,4216616,4238881,4257047,4271393,4283122,4293178,4301901,4309227,4314845,4318909,4322246,4325381,4328579,4332539,4337627,4344137,4352024,4360955,4370675,4381098,4392294,4404164,4416710,4430047,4444046,4458707,4473929,4489496,4505182,4520814,4536187,4551168,4565683,4579613
