Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.02246000,100000.00000000,2246.00000000,97962.00000000,7580148.00000000,75.80000000,,0.00000000,0.01759000,100000.00000000,1759.00000000,98414.00000000,8091340.00000000,80.91000000
1.00000000,0.00128000,97754.00000000,125.00000000,97691.00000000,7482186.00000000,76.54000000,,1.00000000,0.00109000,98241.00000000,107.00000000,98187.00000000,7992926.00000000,81.36000000
2.00000000,0.00090000,97629.00000000,88.00000000,97585.00000000,7384495.00000000,75.64000000,,2.00000000,0.00071000,98134.00000000,70.00000000,98099.00000000,7894738.00000000,80.45000000
3.00000000,0.00071000,97541.00000000,69.00000000,97506.00000000,7286910.00000000,74.71000000,,3.00000000,0.00050000,98064.00000000,49.00000000,98040.00000000,7796639.00000000,79.51000000
4.00000000,0.00056000,97472.00000000,55.00000000,97445.00000000,7189403.00000000,73.76000000,,4.00000000,0.00041000,98015.00000000,40.00000000,97995.00000000,7698599.00000000,78.54000000
5.00000000,0.00049000,97417.00000000,47.00000000,97394.00000000,7091959.00000000,72.80000000,,5.00000000,0.00036000,97975.00000000,35.00000000,97958.00000000,7600604.00000000,77.58000000
6.00000000,0.00044000,97370.00000000,43.00000000,97349.00000000,6994565.00000000,71.83000000,,6.00000000,0.00030000,97940.00000000,30.00000000,97925.00000000,7502646.00000000,76.60000000
7.00000000,0.00041000,97327.00000000,40.00000000,97307.00000000,6897217.00000000,70.87000000,,7.00000000,0.00026000,97910.00000000,25.00000000,97898.00000000,7404721.00000000,75.63000000
8.00000000,0.00035000,97287.00000000,34.00000000,97270.00000000,6799910.00000000,69.90000000,,8.00000000,0.00025000,97885.00000000,24.00000000,97873.00000000,7306824.00000000,74.65000000
9.00000000,0.00028000,97253.00000000,27.00000000,97240.00000000,6702640.00000000,68.92000000,,9.00000000,0.00020000,97860.00000000,19.00000000,97851.00000000,7208951.00000000,73.67000000
10.00000000,0.00023000,97226.00000000,22.00000000,97215.00000000,6605400.00000000,67.94000000,,10.00000000,0.00019000,97841.00000000,19.00000000,97832.00000000,7111101.00000000,72.68000000
11.00000000,0.00023000,97204.00000000,22.00000000,97193.00000000,6508185.00000000,66.95000000,,11.00000000,0.00018000,97822.00000000,17.00000000,97814.00000000,7013269.00000000,71.69000000
12.00000000,0.00027000,97182.00000000,27.00000000,97169.00000000,6410992.00000000,65.97000000,,12.00000000,0.00019000,97805.00000000,18.00000000,97796.00000000,6915456.00000000,70.71000000
13.00000000,0.00041000,97155.00000000,40.00000000,97136.00000000,6313824.00000000,64.99000000,,13.00000000,0.00022000,97787.00000000,22.00000000,97776.00000000,6817660.00000000,69.72000000
14.00000000,0.00059000,97116.00000000,57.00000000,97087.00000000,6216688.00000000,64.01000000,,14.00000000,0.00030000,97765.00000000,29.00000000,97751.00000000,6719884.00000000,68.74000000
15.00000000,0.00080000,97059.00000000,78.00000000,97020.00000000,6119601.00000000,63.05000000,,15.00000000,0.00037000,97736.00000000,36.00000000,97718.00000000,6622133.00000000,67.76000000
16.00000000,0.00109000,96981.00000000,105.00000000,96928.00000000,6022582.00000000,62.10000000,,16.00000000,0.00045000,97701.00000000,44.00000000,97678.00000000,6524415.00000000,66.78000000
17.00000000,0.00122000,96875.00000000,118.00000000,96816.00000000,5925654.00000000,61.17000000,,17.00000000,0.00050000,97656.00000000,49.00000000,97632.00000000,6426736.00000000,65.81000000
18.00000000,0.00140000,96758.00000000,135.00000000,96690.00000000,5828837.00000000,60.24000000,,18.00000000,0.00053000,97607.00000000,51.00000000,97581.00000000,6329105.00000000,64.84000000
19.00000000,0.00144000,96622.00000000,139.00000000,96553.00000000,5732147.00000000,59.33000000,,19.00000000,0.00053000,97556.00000000,51.00000000,97530.00000000,6231523.00000000,63.88000000
20.00000000,0.00156000,96483.00000000,151.00000000,96408.00000000,5635595.00000000,58.41000000,,20.00000000,0.00050000,97504.00000000,49.00000000,97480.00000000,6133993.00000000,62.91000000
21.00000000,0.00163000,96332.00000000,157.00000000,96254.00000000,5539187.00000000,57.50000000,,21.00000000,0.00051000,97456.00000000,50.00000000,97431.00000000,6036513.00000000,61.94000000
22.00000000,0.00160000,96176.00000000,153.00000000,96099.00000000,5442933.00000000,56.59000000,,22.00000000,0.00049000,97406.00000000,48.00000000,97382.00000000,5939083.00000000,60.97000000
23.00000000,0.00167000,96022.00000000,160.00000000,95942.00000000,5346834.00000000,55.68000000,,23.00000000,0.00052000,97358.00000000,50.00000000,97333.00000000,5841701.00000000,60.00000000
24.00000000,0.00165000,95862.00000000,158.00000000,95783.00000000,5250892.00000000,54.78000000,,24.00000000,0.00054000,97308.00000000,53.00000000,97282.00000000,5744368.00000000,59.03000000
25.00000000,0.00160000,95704.00000000,153.00000000,95628.00000000,5155109.00000000,53.87000000,,25.00000000,0.00056000,97255.00000000,54.00000000,97228.00000000,5647086.00000000,58.06000000
26.00000000,0.00143000,95551.00000000,137.00000000,95483.00000000,5059482.00000000,52.95000000,,26.00000000,0.00056000,97201.00000000,55.00000000,97174.00000000,5549858.00000000,57.10000000
27.00000000,0.00134000,95415.00000000,128.00000000,95351.00000000,4963999.00000000,52.03000000,,27.00000000,0.00055000,97147.00000000,53.00000000,97120.00000000,5452684.00000000,56.13000000
