UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2014,999,318907401,156955337,161952064,122183604,124460749,20171565,21995925,1997887,1960303,8283594,9114034,377490,365331,3941197,4055722,125675885,128033248,21878885,23801124,3249478,3279629,9735635,10575664,738299,732724,128943374,134568859,97479805,100364738,18882068,20654999,1158212,1191747,8008282,8837298,275773,271114,3139234,3248963,100258742,103222294,20231366,22090507,2060472,2163287,9238190,10075162,559808,561901,28011963,27383205,24703799,24096011,1289497,1340926,839675,768556,275312,276736,101717,94217,801963,806759,25417143,24810954,1647519,1710617,1189006,1116342,497445,500502,178491,170823
R,7,2014,0,3949775,2020326,1929449,1450298,1380754,308904,299871,33200,31774,99746,94055,6223,5847,121955,117148,1562602,1488568,374788,364035,57699,55157,144464,136446,14966,14088,1499568,1429873,1009227,957707,278407,270595,17124,16349,93473,88025,4106,3810,97231,93387,1099250,1044100,331798,322689,33109,31569,130512,123084,10475,9799,520758,499576,441071,423047,30497,29276,16076,15425,6273,6030,2117,2037,24724,23761,463352,444468,42990,41346,24590,23588,13952,13362,4491,4289
R,7,2014,1,3949776,2018401,1931375,1446483,1380463,305243,296795,32557,31284,106573,100794,6389,5998,121156,116041,1557961,1487140,370016,359557,56847,54617,151700,143446,15226,14302,1502628,1434345,1008669,958773,275517,268062,17073,16339,100347,94667,4263,3932,96759,92572,1098161,1044304,327985,318932,32945,31562,137899,130083,10738,9976,515773,497030,437814,421690,29726,28733,15484,14945,6226,6127,2126,2066,24397,23469,459800,442836,42031,40625,23902,23055,13801,13363,4488,4326
R,7,2014,2,3959664,2023673,1935991,1455617,1388547,305941,296602,33064,31763,103461,98951,6176,5851,119414,114277,1565468,1493623,369974,358224,57363,55021,147507,140837,14805,14094,1503789,1435653,1013623,962728,276549,268463,17092,16497,97325,93084,4079,3844,95121,91037,1101576,1046864,328311,318347,32941,31649,133912,127837,10386,9856,519884,500338,441994,425819,29392,28139,15972,15266,6136,5867,2097,2007,24293,23240,463892,446759,41663,39877,24422,23372,13595,13000,4419,4238
R,7,2014,3,4007079,2049596,1957483,1481876,1410594,307686,298450,31986,30970,102206,97785,6166,5746,119676,113938,1592016,1515364,371642,359720,56604,54553,146231,139364,14890,13952,1515878,1443506,1023512,969961,279671,270933,17363,16536,96212,92075,4104,3760,95016,90241,1111396,1053350,331296,320261,33368,31831,132637,126443,10457,9703,533718,513977,458364,440633,28015,27517,14623,14434,5994,5710,2062,1986,24660,23697,480620,462014,40346,39459,23236,22722,13594,12921,4433,4249
R,7,2014,4,4005716,2044517,1961199,1474882,1409258,306660,297728,32613,31821,104504,100563,6119,5852,119739,115977,1585212,1515894,370883,360520,57120,55848,148346,142528,14663,14045,1516518,1451973,1023537,973918,278098,270167,17151,16990,98478,94881,4114,3874,95140,92143,1111627,1059037,329993,320765,33031,32715,134786,129693,10371,9817,527999,509226,451345,435340,28562,27561,15462,14831,6026,5682,2005,1978,24599,23834,473585,456857,40890,39755,24089,23133,13560,12835,4292,4228
R,7,2014,5,4006900,2044339,1962561,1476333,1410831,309136,301219,32750,31799,103385,99984,6128,6013,116607,112715,1583405,1514483,371831,362528,56693,54545,145901,140603,14409,14033,1523240,1460447,1030897,981876,280566,273436,17368,16939,97307,94279,4106,4018,92996,89899,1116706,1064959,331517,323311,32968,31673,132635,128119,10192,9909,521099,502114,445436,428955,28570,27783,15382,14860,6078,5705,2022,1995,23611,22816,466699,449524,40314,39217,23725,22872,13266,12484,4217,4124
R,7,2014,6,4135930,2111060,2024870,1527204,1457447,319046,311239,34077,32917,107577,103952,6327,6042,116829,113273,1634379,1561364,381740,373098,57981,56078,150181,144546,14890,13993,1571924,1507682,1064523,1014479,289948,283070,18008,17573,101657,98202,4274,3994,93514,90364,1150685,1097722,341203,333487,33662,32569,137179,131942,10553,9846,539136,517188,462681,442968,29098,28169,16069,15344,5920,5750,2053,2048,23315,22909,483694,463642,40537,39611,24319,23509,13002,12604,4337,4147
R,7,2014,7,4155326,2122832,2032494,1542444,1471328,319941,309689,34660,33154,106296,102171,6248,6126,113243,110026,1646365,1572074,380464,369053,58230,56132,147612,141754,14532,14132,1583851,1514529,1079519,1026109,291258,282235,18041,17717,100283,96540,4228,4087,90522,87841,1162999,1106870,340613,330755,33508,32656,134613,129510,10328,9959,538981,517965,462925,445219,28683,27454,16619,15437,6013,5631,2020,2039,22721,22185,483366,465204,39851,38298,24722,23476,12999,12244,4204,4173
R,7,2014,8,4120903,2105618,2015285,1540665,1465786,311011,303790,33940,32710,105241,102481,6103,5913,108658,104605,1640309,1561667,368235,359426,57014,54810,145255,140563,14033,13490,1577974,1508582,1085396,1028919,283772,277256,18045,17563,99465,97144,4106,3979,87190,83721,1165669,1105966,330691,322858,33203,32011,132984,128907,9979,9537,527644,506703,455269,436867,27239,26534,15895,15147,5776,5337,1997,1934,21468,20884,474640,455701,37544,36568,23811,22799,12271,11656,4054,3953
R,7,2014,9,4108349,2097690,2010659,1540354,1466789,307458,298420,33554,32759,106203,105586,6087,5925,104034,101180,1635519,1559171,361527,351567,56262,54649,144806,142616,13678,13249,1580937,1515141,1093582,1038826,281041,272853,17995,17580,100658,100356,4136,4117,83525,81409,1170319,1113415,325361,316560,32939,31965,133070,131536,9752,9593,516753,495518,446772,427963,26417,25567,15559,15179,5545,5230,1951,1808,20509,19771,465200,445756,36166,35007,23323,22684,11736,11080,3926,3656
