UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2012,999,314102623,154521077,159581546,121058978,123444506,19716512,21542354,1946776,1908511,7745316,8521258,359926,348520,3693569,3816397,124323099,126796501,21289828,23217261,3157094,3187773,9099194,9888829,703306,699386,127644127,133384192,97310436,100358121,18502299,20274134,1138709,1171477,7482911,8257929,262840,258683,2946932,3063848,99911452,103044499,19748163,21609176,2017985,2121077,8629790,9416410,534011,537292,26876950,26197354,23748542,23086385,1214213,1268220,808067,737034,262405,263329,97086,89837,746637,752549,24411647,23752002,1541665,1608085,1139109,1066696,469404,472419,169295,162094
R,7,2012,0,3926540,2007717,1918823,1449322,1382033,304160,294665,32972,31669,96305,90972,6050,5750,118908,113734,1558757,1486664,368086,356159,57221,54878,139958,132435,14624,13939,1492549,1423176,1011478,960387,275028,266752,17114,16522,90199,85137,3977,3760,94753,90618,1099147,1044198,326780,316606,32959,31663,126399,119469,10228,9714,515168,495647,437844,421646,29132,27913,15858,15147,6106,5835,2073,1990,24155,23116,459610,442466,41306,39553,24262,23215,13559,12966,4396,4225
R,7,2012,1,3977939,2035460,1942479,1476165,1404583,305712,296533,31922,30897,96341,91279,6046,5656,119274,113531,1585973,1509018,369567,357686,56499,54448,140066,132554,14732,13826,1505644,1432736,1021260,967721,277928,269260,17364,16550,90375,85596,3991,3679,94726,89930,1108919,1050864,329535,318547,33364,31838,126505,119663,10302,9582,529816,509743,454905,436862,27784,27273,14558,14347,5966,5683,2055,1977,24548,23601,477054,458154,40032,39139,23135,22610,13561,12891,4430,4244
R,7,2012,2,3980095,2032095,1948000,1469677,1403450,304846,295915,32578,31758,99653,95476,5987,5743,119354,115658,1579684,1509824,368943,358617,57044,55747,143237,137218,14495,13905,1507750,1442876,1021618,971744,276463,268612,17152,16996,93652,89811,3983,3781,94882,91932,1109507,1056700,328333,319201,33030,32716,129706,124405,10201,9692,524345,505124,448059,431706,28383,27303,15426,14762,6001,5665,2004,1962,24472,23726,470177,453124,40610,39416,24014,23031,13531,12813,4294,4213
R,7,2012,3,3983157,2032529,1950628,1471120,1405234,307362,299364,32726,31750,99025,95962,5999,5925,116297,112393,1577941,1508611,369963,360551,56639,54453,141315,136392,14249,13916,1515247,1452612,1029170,979918,278991,271830,17371,16948,92969,90264,3975,3942,92771,89710,1114809,1062854,329922,321679,32967,31681,128072,123923,10027,9805,517282,498016,441950,425316,28371,27534,15355,14802,6056,5698,2024,1983,23526,22683,463132,445757,40041,38872,23672,22772,13243,12469,4222,4111
R,7,2012,4,4112849,2099309,2013540,1521820,1452069,317242,309318,34047,32864,103476,100375,6225,5965,116499,112949,1628726,1555717,379850,371063,57924,55990,145826,140756,14745,13884,1564212,1500521,1062855,1012833,288360,281397,18011,17575,97571,94641,4171,3924,93244,90151,1148805,1095913,339576,331785,33655,32572,132843,128173,10410,9743,535097,513019,458965,439236,28882,27921,16036,15289,5905,5734,2054,2041,23255,22798,479921,459804,40274,39278,24269,23418,12983,12583,4335,4141
R,7,2012,5,4132242,2111335,2020907,1537129,1465926,318137,307697,34610,33091,102431,98526,6174,6024,112854,109643,1640727,1566350,378538,366938,58139,56029,143477,137857,14415,13989,1576534,1507292,1077991,1024591,289692,280503,18051,17715,96421,92923,4158,3995,90221,87565,1161231,1105133,338996,328984,33504,32644,130484,125645,10214,9826,534801,513615,459138,441335,28445,27194,16559,15376,6010,5603,2016,2029,22633,22078,479496,461217,39542,37954,24635,23385,12993,12212,4201,4163
R,7,2012,6,4097605,2094468,2003137,1535598,1460191,309207,301713,33880,32641,101431,98660,6044,5785,108308,104147,1634943,1555688,366306,357186,56919,54667,141219,136463,13939,13321,1571061,1501079,1084085,1027451,282253,275440,18054,17550,95666,93350,4050,3868,86953,83420,1164168,1104260,329143,321001,33208,31975,128964,124844,9888,9384,523407,502058,451513,432740,26954,26273,15826,15091,5765,5310,1994,1917,21355,20727,470775,451428,37163,36185,23711,22692,12255,11619,4051,3937
R,7,2012,7,4084913,2086570,1998343,1535473,1461090,305589,296191,33484,32699,102268,101773,6021,5813,103735,100777,1630392,1553132,359544,349165,56155,54535,140685,138576,13582,13105,1574110,1507740,1092417,1037500,279523,270901,18003,17568,96744,96578,4080,4017,83343,81176,1169018,1111910,323824,314576,32944,31949,128976,127538,9666,9460,512460,490603,443056,423590,26066,25290,15481,15131,5524,5195,1941,1796,20392,19601,461374,441222,35720,34589,23211,22586,11709,11038,3916,3645
R,7,2012,8,4093177,2088958,2004219,1544986,1472064,303192,294428,32635,31978,102208,102671,5804,5545,100133,97533,1636616,1561299,354574,345085,54840,53628,139480,138481,13206,12716,1589690,1522604,1112025,1054996,278214,270161,17891,17313,96824,97610,4018,3813,80718,78711,1186219,1127262,320544,311989,32740,31928,128147,127708,9539,9109,499268,481615,432961,417068,24978,24267,14744,14665,5384,5061,1786,1732,19415,18822,450397,434037,34030,33096,22100,21700,11333,10773,3667,3607
