date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1988:Q4;5.49;5.64;5.56;4.67;0.90;4.19;0.41;0.59;0.59;0.32;0.65;0.66;-0.01;0.06;0.24;0.70;0.63;2.76;0.00;-2.06;0.63
1989:Q1;4.62;2.52;3.57;3.79;-0.22;4.31;0.37;0.85;0.85;0.32;-0.97;0.42;-1.39;2.39;0.23;0.86;-1.53;3.07;-0.39;-2.22;-1.14
1989:Q2;2.98;-1.89;0.54;0.97;-0.43;4.05;0.46;2.46;2.46;0.32;-3.09;-1.04;-2.05;4.92;0.23;0.68;-4.24;-7.94;1.08;8.62;-5.33
1989:Q3;2.98;1.27;2.13;1.40;0.72;3.78;0.55;-0.04;-0.04;0.32;0.00;-2.19;2.19;1.32;0.24;1.01;-0.32;-7.16;-0.64;8.16;0.33
1989:Q4;0.23;-0.24;0.00;-0.12;0.12;3.47;0.65;0.29;0.29;0.31;-1.21;-0.34;-0.87;0.90;0.23;-0.52;-1.42;-0.82;-0.20;0.30;-1.22
1990:Q1;4.67;3.95;4.31;0.62;3.70;2.91;0.74;0.37;0.37;0.31;2.73;1.76;0.97;3.06;0.23;5.07;2.01;0.33;2.20;4.75;-0.19
1990:Q2;1.12;2.10;1.61;-2.07;3.68;3.20;0.71;0.29;0.29;0.31;1.85;1.22;0.63;3.88;0.23;4.86;0.97;3.83;0.46;1.03;0.51
1990:Q3;-0.46;-1.22;-0.84;-2.53;1.69;3.28;0.68;1.85;1.85;0.31;-1.38;-1.65;0.27;2.05;0.23;0.21;-1.84;-1.03;-1.83;1.24;-0.01
1990:Q4;-5.33;-3.00;-4.16;-1.04;-3.12;3.42;0.65;0.05;0.05;0.31;-4.54;-3.90;-0.64;1.52;0.22;-3.36;-4.88;-11.09;-1.82;7.73;-3.06
1991:Q1;-3.05;-1.68;-2.37;-4.00;1.63;3.53;0.62;1.98;1.98;0.31;-2.07;-3.67;1.60;-0.35;0.22;-2.34;-1.99;-9.01;-2.16;6.67;0.16
1991:Q2;3.95;1.37;2.66;-2.43;5.09;2.73;0.71;0.08;0.08;0.31;3.43;0.94;2.49;1.87;0.22;4.89;3.02;6.18;-0.53;-1.30;3.55
1991:Q3;2.42;1.22;1.82;-0.36;2.18;2.28;0.79;-0.06;-0.06;0.31;1.40;2.04;-0.64;2.53;0.22;3.38;0.84;9.83;-0.15;-6.45;0.99
1991:Q4;1.51;1.48;1.49;-0.86;2.35;2.02;0.88;2.01;2.01;0.31;0.07;0.94;-0.86;1.55;0.22;1.29;-0.27;-1.42;1.59;2.70;-1.85
1992:Q1;6.11;8.84;7.47;-2.66;10.14;1.91;0.96;-1.44;-1.44;0.31;9.74;-0.59;10.33;1.29;0.22;10.75;9.46;-2.15;-0.16;12.91;9.62
1992:Q2;5.02;3.69;4.36;2.12;2.24;1.94;0.88;0.53;0.53;0.30;1.92;3.33;-1.41;2.12;0.22;3.58;1.46;7.73;2.10;-4.15;-0.64
1992:Q3;4.34;0.78;2.56;0.51;2.05;2.61;0.79;1.09;1.09;0.30;0.66;0.08;0.58;2.19;0.22;2.36;0.18;-1.23;0.44;3.60;-0.27
1992:Q4;4.76;4.25;4.51;2.46;2.05;2.94;0.71;1.66;1.66;0.30;0.74;1.51;-0.77;3.74;0.22;3.65;-0.08;1.08;1.63;2.57;-1.72
1993:Q1;-0.26;-3.04;-1.65;2.94;-4.59;3.32;0.63;0.41;0.41;0.30;-4.99;2.08;-7.08;3.64;0.22;-2.16;-5.80;7.62;0.50;-9.78;-6.30
1993:Q2;2.48;5.79;4.13;4.26;-0.12;3.30;0.59;0.03;0.03;0.31;0.15;2.26;-2.11;2.25;0.23;1.89;-0.36;5.12;1.43;-3.23;-1.78
1993:Q3;1.92;0.45;1.19;2.31;-1.13;3.20;0.55;1.11;1.11;0.31;-2.17;1.52;-3.69;2.06;0.23;-0.57;-2.63;2.70;1.18;-3.27;-3.81
1993:Q4;6.83;9.92;8.38;3.71;4.67;3.02;0.51;0.20;0.20;0.31;4.75;0.95;3.80;0.64;0.23;5.24;4.60;5.67;-0.46;-0.43;5.07
1994:Q1;4.65;2.44;3.55;3.72;-0.17;3.14;0.48;3.04;3.04;0.32;-2.06;1.61;-3.67;0.88;0.23;-1.38;-2.27;3.02;1.18;-4.40;-3.45
1994:Q2;6.49;7.56;7.02;6.85;0.17;3.33;0.42;0.22;0.22;0.32;1.15;1.94;-0.79;0.31;0.23;1.38;1.08;3.83;1.37;-2.45;-0.29
1994:Q3;2.37;4.19;3.28;4.42;-1.14;3.46;0.37;1.31;1.31;0.32;-1.72;-1.13;-0.60;0.87;0.23;-1.06;-1.93;-1.81;-0.92;0.76;-1.01
1994:Q4;5.68;5.95;5.82;1.78;4.04;3.41;0.32;-1.35;-1.35;0.33;4.42;1.22;3.20;2.71;0.24;6.49;3.77;3.44;0.53;3.05;3.24
1995:Q1;1.23;1.56;1.39;2.00;-0.61;3.83;0.26;0.79;0.79;0.33;-1.74;-2.66;0.92;1.03;0.24;-0.96;-1.99;-3.68;-2.34;2.72;0.35
1995:Q2;1.10;2.59;1.84;-0.19;2.03;4.12;0.33;1.35;1.35;0.33;-0.30;-4.40;4.10;1.88;0.24;1.13;-0.75;-12.66;-1.79;13.79;1.05
1995:Q3;4.26;6.28;5.27;3.94;1.33;4.11;0.40;-0.19;-0.19;0.33;1.40;0.71;0.69;2.69;0.24;3.44;0.76;-0.06;0.96;3.50;-0.20
1995:Q4;3.50;3.35;3.42;0.75;2.68;3.95;0.47;1.66;1.66;0.33;0.51;-0.43;0.94;3.68;0.24;3.30;-0.38;-0.36;-0.46;3.66;0.08
1996:Q1;3.78;5.70;4.74;0.82;3.92;4.16;0.54;0.61;0.61;0.33;2.40;-4.17;6.58;2.98;0.24;4.66;1.68;-12.26;-1.59;16.92;3.27
1996:Q2;7.82;6.73;7.28;3.40;3.88;4.20;0.47;0.40;0.40;0.33;3.34;6.31;-2.96;5.86;0.24;7.78;1.93;16.41;3.08;-8.62;-1.15
1996:Q3;4.41;4.55;4.48;2.95;1.53;4.41;0.40;-0.60;-0.60;0.34;1.44;1.54;-0.10;3.65;0.24;4.20;0.55;2.95;1.08;1.25;-0.53
1996:Q4;4.95;5.98;5.47;4.41;1.06;4.73;0.33;-0.23;-0.23;0.34;1.10;-0.60;1.70;4.24;0.24;4.31;0.07;-3.17;0.22;7.48;-0.15
1997:Q1;2.76;5.15;3.96;3.53;0.42;4.69;0.26;1.48;1.48;0.34;-0.94;1.31;-2.25;4.25;0.25;2.27;-1.99;6.23;-0.29;-3.96;-1.70
1997:Q2;8.01;6.10;7.05;1.77;5.28;4.98;0.31;0.15;0.15;0.34;4.09;0.78;3.31;5.53;0.24;8.28;2.75;0.46;0.89;7.82;1.86
1997:Q3;5.80;7.60;6.70;2.05;4.65;5.50;0.37;-0.08;-0.08;0.34;3.54;-1.06;4.60;3.86;0.25;6.44;2.59;-4.72;0.14;11.17;2.45
1997:Q4;3.67;6.22;4.94;1.43;3.52;5.78;0.43;0.93;0.93;0.33;1.44;2.13;-0.69;5.20;0.25;5.35;0.16;5.32;1.08;0.03;-0.93
1998:Q1;4.50;4.73;4.62;2.25;2.36;5.63;0.48;-0.80;-0.80;0.33;1.79;-0.01;1.80;5.09;0.25;5.61;0.52;-4.71;1.53;10.32;-1.01
1998:Q2;4.16;6.65;5.40;2.41;3.00;6.02;0.42;0.76;0.76;0.33;1.31;-3.45;4.76;4.87;0.25;4.95;0.08;-10.88;-0.95;15.82;1.03
1998:Q3;5.91;6.51;6.21;0.27;5.94;5.82;0.36;0.80;0.80;0.32;3.60;-0.59;4.19;5.10;0.25;7.41;2.31;-1.26;-0.36;8.67;2.68
1998:Q4;7.93;4.55;6.24;4.61;1.63;5.74;0.30;1.16;1.16;0.32;0.48;1.93;-1.46;3.32;0.26;2.94;-0.38;6.55;0.34;-3.60;-0.71
1999:Q1;4.55;6.48;5.51;-1.32;6.84;5.95;0.24;-0.83;-0.83;0.32;5.05;-1.21;6.25;3.88;0.26;7.93;4.05;-2.86;-0.63;10.80;4.69
1999:Q2;3.38;2.52;2.95;2.36;0.59;6.22;0.27;1.45;1.45;0.32;-1.64;-0.47;-1.17;3.70;0.26;1.08;-2.61;1.68;-1.23;-0.60;-1.38
1999:Q3;6.08;4.31;5.19;2.43;2.77;6.37;0.30;0.21;0.21;0.32;1.36;0.33;1.03;4.79;0.27;4.88;0.10;2.38;-0.41;2.50;0.50
1999:Q4;7.79;7.18;7.48;2.08;5.40;6.52;0.33;0.03;0.03;0.32;3.97;-1.76;5.73;3.47;0.26;6.53;3.07;-3.98;-0.98;10.51;4.05
2000:Q1;2.03;10.91;6.47;2.25;4.22;6.27;0.37;0.71;0.71;0.31;2.47;1.50;0.97;2.70;0.27;4.44;1.74;4.92;0.24;-0.48;1.50
2000:Q2;8.73;2.16;5.45;0.34;5.11;6.26;0.35;-0.65;-0.65;0.31;3.71;-0.29;4.00;3.12;0.26;6.01;2.89;-3.37;0.81;9.38;2.07
2000:Q3;0.09;3.54;1.82;0.28;1.54;6.68;0.33;1.69;1.69;0.31;-1.60;-2.24;0.63;4.03;0.26;1.36;-2.67;-5.29;-1.14;6.65;-1.54
2000:Q4;2.63;-1.50;0.56;-2.24;2.81;6.26;0.32;-1.78;-1.78;0.31;1.44;-3.27;4.70;3.82;0.26;4.25;0.43;-11.31;-0.40;15.56;0.83
2001:Q1;-2.07;5.61;1.77;-0.13;1.90;5.94;0.30;2.85;2.85;0.31;-1.93;-2.55;0.61;6.75;0.26;3.05;-3.71;-9.89;0.06;12.94;-3.77
2001:Q2;2.42;-1.34;0.54;-4.49;5.03;5.15;0.39;0.00;0.00;0.31;2.08;-2.09;4.17;6.18;0.25;6.70;0.51;-2.28;-2.03;8.98;2.54
2001:Q3;-2.81;-3.02;-2.91;-4.46;1.55;4.38;0.48;1.70;1.70;0.31;-2.35;-2.80;0.45;4.38;0.25;0.93;-3.46;-3.62;-2.53;4.55;-0.93
2001:Q4;1.08;-3.11;-1.01;-4.26;3.24;3.67;0.57;-0.18;-0.18;0.31;0.89;-3.42;4.31;2.67;0.26;2.87;0.20;-5.77;-2.60;8.64;2.80
2002:Q1;3.98;5.32;4.65;-3.23;7.88;3.09;0.66;-0.27;-0.27;0.32;6.06;1.18;4.88;3.35;0.25;8.57;5.22;10.40;-1.91;-1.83;7.13
2002:Q2;2.49;3.75;3.12;0.85;2.27;2.96;0.62;1.30;1.30;0.32;0.71;1.50;-0.80;3.77;0.25;3.54;-0.23;6.90;-0.28;-3.36;0.05
2002:Q3;1.94;0.20;1.07;-1.51;2.58;2.83;0.58;0.40;0.40;0.33;0.90;-0.79;1.69;4.36;0.25;4.18;-0.19;-4.04;0.30;8.22;-0.48
2002:Q4;0.42;3.22;1.82;0.64;1.18;2.76;0.54;-0.19;-0.19;0.33;0.62;0.88;-0.26;4.55;0.24;4.06;-0.50;3.29;0.09;0.76;-0.59
2003:Q1;2.08;-0.01;1.03;-2.26;3.29;2.38;0.51;-0.37;-0.37;0.33;2.01;1.15;0.85;7.58;0.24;7.77;0.18;1.74;0.97;6.02;-0.79
2003:Q2;4.17;4.15;4.16;-1.93;6.09;2.35;0.45;1.01;1.01;0.33;3.99;-0.89;4.87;4.12;0.25;7.10;2.98;-2.55;-0.35;9.65;3.32
2003:Q3;8.83;5.26;7.05;1.31;5.73;2.35;0.39;0.64;0.64;0.33;4.96;0.56;4.40;6.29;0.25;9.70;3.42;1.67;0.20;8.04;3.22
2003:Q4;5.30;3.34;4.32;2.04;2.27;2.61;0.33;0.55;0.55;0.34;1.72;3.93;-2.22;4.72;0.24;5.29;0.57;12.69;1.11;-7.40;-0.55
2004:Q1;1.53;3.27;2.40;1.26;1.14;2.75;0.27;-0.58;-0.58;0.34;1.02;1.74;-0.73;5.74;0.24;5.37;-0.37;6.55;0.22;-1.18;-0.59
2004:Q2;3.38;5.90;4.64;0.61;4.04;2.66;0.23;0.40;0.40;0.34;3.07;-0.98;4.05;3.60;0.24;5.80;2.20;-3.36;-0.22;9.16;2.42
2004:Q3;4.42;5.49;4.96;2.37;2.59;3.02;0.19;-1.22;-1.22;0.35;3.16;0.03;3.14;5.52;0.24;7.34;1.82;-2.56;0.85;9.90;0.96
2004:Q4;4.49;2.03;3.26;1.05;2.21;3.37;0.14;1.87;1.87;0.35;0.19;-2.04;2.23;3.71;0.24;2.99;-0.72;-4.31;-1.31;7.30;0.59
2005:Q1;5.05;4.30;4.68;1.24;3.43;3.68;0.10;1.16;1.16;0.35;1.82;0.34;1.48;3.31;0.24;4.33;1.02;0.05;0.44;4.29;0.58
2005:Q2;1.56;3.84;2.70;3.23;-0.53;3.74;0.15;-0.99;-0.99;0.36;-0.07;-0.35;0.28;4.04;0.24;2.98;-1.06;-4.88;1.12;7.86;-2.18
2005:Q3;4.06;3.27;3.67;0.52;3.14;3.68;0.19;-0.55;-0.55;0.36;2.35;2.01;0.34;8.47;0.24;8.75;0.28;5.84;0.78;2.92;-0.49
2005:Q4;2.93;7.91;5.42;2.14;3.28;3.79;0.23;1.18;1.18;0.37;1.93;3.39;-1.46;4.82;0.24;5.61;0.78;6.54;2.41;-0.93;-1.63
2006:Q1;6.53;8.41;7.47;3.56;3.91;3.90;0.27;0.43;0.43;0.37;3.51;0.65;2.86;3.92;0.24;6.49;2.57;0.17;0.81;6.32;1.76
2006:Q2;0.93;0.72;0.83;1.34;-0.51;3.90;0.32;0.23;0.23;0.37;-1.61;1.97;-3.58;5.33;0.24;2.45;-2.88;5.19;0.96;-2.75;-3.84
2006:Q3;0.54;2.07;1.30;2.19;-0.88;3.67;0.38;0.53;0.53;0.37;-1.77;0.63;-2.40;3.78;0.24;1.10;-2.68;-1.69;1.37;2.79;-4.05
2006:Q4;4.52;1.85;3.18;1.59;1.60;3.56;0.44;-0.61;-0.61;0.37;1.25;-0.33;1.58;1.57;0.24;2.45;0.88;-4.93;1.13;7.38;-0.26
2007:Q1;1.25;-0.30;0.48;0.24;0.24;3.29;0.50;0.29;0.29;0.36;-1.06;-0.39;-0.67;5.63;0.24;3.22;-2.42;-0.44;-0.38;3.65;-2.04
2007:Q2;2.79;1.17;1.98;0.65;1.32;3.41;0.59;1.15;1.15;0.36;-0.40;1.84;-2.25;4.17;0.24;2.77;-1.41;6.68;0.32;-3.91;-1.73
2007:Q3;2.33;-4.53;-1.10;-1.63;0.53;3.47;0.67;1.61;1.61;0.36;-2.31;-1.76;-0.56;4.46;0.24;1.08;-3.37;-1.50;-1.84;2.59;-1.54
2007:Q4;2.31;-1.40;0.46;-0.16;0.61;3.49;0.76;-0.98;-0.98;0.35;-0.03;-2.07;2.04;4.21;0.24;3.18;-1.03;-3.94;-1.49;7.13;0.46
2008:Q1;-4.11;-1.14;-2.62;-1.16;-1.46;3.60;0.85;2.70;2.70;0.35;-4.87;0.13;-5.00;2.20;0.24;-3.19;-5.39;1.79;-0.39;-4.99;-5.01
2008:Q2;1.71;-2.12;-0.21;-2.43;2.23;3.42;0.79;0.10;0.10;0.34;0.14;-0.57;0.71;3.17;0.23;2.58;-0.59;-3.59;0.35;6.17;-0.94
2008:Q3;-3.54;-2.78;-3.16;-4.67;1.50;3.11;0.74;0.33;0.33;0.35;-1.40;-3.26;1.87;2.41;0.23;0.47;-1.94;-8.37;-1.77;8.84;-0.17
2008:Q4;-12.00;-11.63;-11.81;-9.28;-2.53;2.65;0.69;0.97;0.97;0.35;-7.33;-6.37;-0.96;-2.50;0.22;-9.28;-6.79;-18.05;-3.13;8.76;-3.66
2009:Q1;-6.31;-9.27;-7.79;-10.39;2.60;1.56;0.64;1.85;1.85;0.36;-2.84;-7.30;4.46;3.22;0.21;-0.29;-3.51;-19.92;-3.94;19.63;0.43
2009:Q2;-0.88;2.25;0.68;-9.01;9.70;0.64;0.64;2.10;2.10;0.36;4.86;-5.19;10.06;0.32;0.21;5.11;4.80;-2.36;-5.94;7.48;10.74
2009:Q3;1.74;1.96;1.85;-4.61;6.46;0.43;0.65;0.50;0.50;0.37;4.29;4.47;-0.18;3.30;0.21;6.89;3.59;15.54;1.48;-8.65;2.11
2009:Q4;5.41;6.47;5.94;-0.28;6.22;0.51;0.65;0.60;0.60;0.37;5.55;3.76;1.80;2.83;0.21;7.79;4.96;15.06;0.73;-7.28;4.22
2010:Q1;1.61;2.04;1.83;0.18;1.65;0.97;0.65;0.82;0.82;0.38;0.84;4.00;-3.16;6.36;0.21;5.85;-0.51;7.79;2.97;-1.95;-3.49
2010:Q2;4.60;5.81;5.21;3.68;1.53;1.16;0.55;-1.51;-1.51;0.39;3.42;5.10;-1.67;4.25;0.21;6.76;2.51;12.31;3.13;-5.55;-0.62
2010:Q3;4.35;8.93;6.64;1.98;4.66;1.45;0.44;1.23;1.23;0.39;4.11;1.86;2.25;3.66;0.22;6.98;3.31;1.01;2.10;5.97;1.22
2010:Q4;2.81;1.55;2.18;1.68;0.49;1.87;0.34;1.08;1.08;0.39;-0.24;1.95;-2.19;3.29;0.22;2.33;-0.96;3.99;1.37;-1.67;-2.34
2011:Q1;-2.10;-0.36;-1.23;0.92;-2.15;2.01;0.23;-0.72;-0.72;0.38;-2.13;-0.02;-2.11;2.51;0.22;-0.17;-2.69;1.28;-0.39;-1.45;-2.30
2011:Q2;3.70;3.87;3.78;2.98;0.81;1.81;0.28;0.47;0.47;0.38;0.97;2.16;-1.20;2.26;0.22;2.73;0.47;-0.67;2.97;3.40;-2.50
2011:Q3;0.07;2.15;1.11;1.71;-0.60;1.92;0.33;2.39;2.39;0.38;-2.15;-1.24;-0.92;3.32;0.23;0.41;-2.90;-1.89;-1.05;2.30;-1.85
2011:Q4;5.94;4.34;5.14;3.14;2.00;2.03;0.38;-1.53;-1.53;0.39;3.37;1.86;1.51;2.35;0.23;5.19;2.84;3.66;1.33;1.52;1.51
2012:Q1;4.42;11.33;7.87;3.31;4.56;2.23;0.43;0.42;0.42;0.39;4.73;0.72;4.01;1.50;0.23;5.89;4.38;3.44;-0.08;2.45;4.47
2012:Q2;2.24;1.88;2.06;0.52;1.54;2.41;0.38;2.90;2.90;0.39;-0.96;-0.67;-0.29;3.74;0.23;1.92;-1.81;-0.24;-0.80;2.16;-1.01
2012:Q3;0.63;-3.02;-1.19;1.67;-2.87;2.64;0.33;-1.62;-1.62;0.39;-2.27;0.39;-2.66;3.71;0.23;0.60;-3.11;-2.86;1.35;3.46;-4.46
2012:Q4;0.57;5.17;2.87;1.77;1.11;2.59;0.28;1.07;1.07;0.39;0.13;1.20;-1.07;2.48;0.23;2.04;-0.44;-1.70;2.07;3.74;-2.51
2013:Q1;4.78;0.48;2.63;1.19;1.44;2.68;0.23;-0.07;-0.07;0.39;0.90;0.78;0.12;2.91;0.23;3.13;0.22;3.30;0.02;-0.17;0.20
2013:Q2;0.63;3.16;1.89;1.35;0.54;2.79;0.21;0.32;0.32;0.39;-0.22;0.55;-0.77;2.58;0.23;1.76;-0.81;0.15;0.67;1.62;-1.48
2013:Q3;4.07;0.34;2.21;2.49;-0.28;2.50;0.20;-0.77;-0.77;0.39;0.18;-0.58;0.76;3.90;0.23;3.19;-0.71;0.50;-0.90;2.68;0.19
2013:Q4;4.20;3.68;3.94;1.48;2.46;2.63;0.19;0.46;0.46;0.39;1.73;-0.31;2.04;3.59;0.23;4.51;0.91;1.76;-0.92;2.74;1.83
2014:Q1;-1.98;2.33;0.17;1.73;-1.56;2.67;0.18;2.56;2.56;0.39;-3.48;-0.51;-2.98;3.62;0.23;-0.69;-4.32;-3.07;0.26;2.37;-4.58
2014:Q2;6.81;7.42;7.12;2.90;4.22;2.55;0.18;-2.39;-2.39;0.39;5.80;2.51;3.29;4.65;0.23;9.37;4.73;7.98;0.86;1.40;3.86
2014:Q3;6.23;6.37;6.30;3.02;3.28;2.80;0.19;1.38;1.38;0.39;2.53;0.22;2.31;3.16;0.23;4.96;1.80;0.69;0.07;4.26;1.73
2014:Q4;2.75;4.20;3.47;4.86;-1.39;2.93;0.19;-0.50;-0.50;0.39;-0.32;2.10;-2.43;0.90;0.23;0.37;-0.53;3.26;1.75;-2.90;-2.29
2015:Q1;4.69;3.41;4.05;1.15;2.91;2.82;0.19;-0.15;-0.15;0.39;2.34;-0.89;3.23;-0.69;0.23;1.81;2.50;-3.83;-0.01;5.64;2.51
2015:Q2;3.24;1.58;2.41;1.54;0.88;2.91;0.21;0.04;0.04;0.39;0.32;-1.32;1.64;3.18;0.23;2.76;-0.41;-0.97;-1.43;3.73;1.02
2015:Q3;1.44;0.58;1.01;0.29;0.72;2.80;0.24;1.54;1.54;0.39;-1.19;0.38;-1.57;3.18;0.23;1.26;-1.92;-1.50;0.95;2.76;-2.87
2015:Q4;0.40;0.04;0.22;2.73;-2.51;2.72;0.26;0.83;0.83;0.39;-3.02;0.81;-3.82;2.02;0.23;-1.46;-3.48;1.57;0.58;-3.03;-4.06
2016:Q1;2.54;2.44;2.49;1.68;0.81;2.55;0.28;-2.23;-2.23;0.38;1.85;-0.18;2.03;1.97;0.23;3.37;1.39;3.29;-1.21;0.08;2.61
2016:Q2;1.24;-2.61;-0.69;1.52;-2.21;2.49;0.29;2.19;2.19;0.38;-3.93;-0.09;-3.84;5.09;0.23;0.00;-5.09;2.06;-0.73;-2.06;-4.37
2016:Q3;2.50;2.58;2.54;0.94;1.61;2.37;0.31;-1.08;-1.08;0.38;1.72;0.77;0.95;4.26;0.23;5.01;0.75;4.88;-0.45;0.13;1.19
2016:Q4;3.19;2.57;2.88;0.18;2.70;2.35;0.32;0.18;0.18;0.38;1.76;0.78;0.99;3.60;0.23;4.55;0.94;0.08;0.98;4.47;-0.04
2017:Q1;2.45;4.36;3.41;1.86;1.55;2.40;0.33;0.66;0.66;0.38;0.94;-0.86;1.80;2.10;0.23;2.56;0.46;-0.56;-0.95;3.12;1.41
2017:Q2;1.91;4.00;2.96;2.09;0.87;2.35;0.36;-0.17;-0.17;0.38;0.87;1.82;-0.94;2.56;0.23;2.85;0.29;3.25;1.39;-0.40;-1.10
2017:Q3;3.57;1.91;2.74;0.62;2.12;2.38;0.38;0.63;0.63;0.38;1.07;0.28;0.79;4.35;0.23;4.43;0.08;-0.09;0.39;4.52;-0.31
2017:Q4;4.51;3.18;3.85;3.96;-0.11;2.48;0.40;-0.47;-0.47;0.38;0.74;1.75;-1.01;3.49;0.23;3.43;-0.06;3.79;1.14;-0.36;-1.21
2018:Q1;4.39;4.16;4.28;1.55;2.73;2.56;0.43;1.25;1.25;0.38;1.57;1.47;0.10;2.66;0.23;3.62;0.96;5.85;0.16;-2.23;0.79
2018:Q2;2.99;0.48;1.73;1.27;0.46;2.78;0.40;-0.40;-0.40;0.38;0.15;1.69;-1.54;4.11;0.23;3.31;-0.80;1.45;1.76;1.86;-2.56
2018:Q3;2.25;5.38;3.82;2.10;1.71;2.76;0.38;0.86;0.86;0.37;0.93;-1.04;1.97;1.90;0.23;2.39;0.49;1.97;-1.94;0.42;2.43
2018:Q4;1.44;0.54;0.99;0.79;0.20;2.83;0.36;1.23;1.23;0.37;-1.33;-0.57;-0.76;2.78;0.23;0.80;-1.98;0.50;-0.89;0.30;-1.09
2019:Q1;3.55;2.62;3.08;-0.02;3.11;2.93;0.34;-1.28;-1.28;0.37;2.82;-0.94;3.76;-0.41;0.23;2.51;2.92;-5.34;0.39;7.85;2.53
2019:Q2;1.29;0.91;1.10;-0.90;2.00;2.92;0.25;-0.06;-0.06;0.37;0.63;-1.89;2.52;3.34;0.23;3.20;-0.15;-3.60;-1.37;6.80;1.22
2019:Q3;2.85;0.59;1.72;2.67;-0.95;2.75;0.17;0.37;0.37;0.37;-1.21;-1.30;0.08;2.55;0.23;0.75;-1.81;1.48;-2.13;-0.73;0.33
2019:Q4;2.76;3.96;3.36;1.40;1.96;2.67;0.08;1.01;1.01;0.36;0.85;-0.94;1.79;3.61;0.23;3.64;0.02;-0.14;-1.18;3.77;1.20
2020:Q1;-6.24;-2.92;-4.58;-6.21;1.63;2.53;0.11;1.29;1.29;0.36;-2.38;-0.64;-1.74;0.87;0.23;-1.70;-2.58;1.37;-1.22;-3.07;-1.35
2020:Q2;-46.55;-49.24;-47.89;-55.05;7.16;2.21;0.13;7.30;7.30;0.36;-18.34;-17.62;-0.73;-5.06;0.25;-22.16;-17.09;-65.60;-1.88;43.44;-15.22
