date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1962:Q4;0.79;4.98;2.89;-2.81;5.69;3.33;0.32;;0.32;0.32;3.49;-1.19;4.68;1.68;0.19;4.84;3.16;-1.92;-1.01;6.77;4.18
1963:Q1;4.66;3.71;4.19;3.00;1.18;3.14;0.00;;0.00;0.33;1.14;1.79;-0.65;2.14;0.20;2.86;0.72;0.44;2.12;2.42;-1.40
1963:Q2;4.59;6.19;5.39;2.51;2.87;3.26;0.03;;0.03;0.33;2.61;2.30;0.31;-0.61;0.20;2.12;2.73;1.13;2.58;0.99;0.15
1963:Q3;9.83;5.61;7.72;-0.15;7.87;3.26;0.06;;0.06;0.33;6.71;1.04;5.67;-0.50;0.20;6.31;6.81;1.49;0.93;4.82;5.88
1963:Q4;2.62;3.65;3.14;2.14;1.00;3.43;0.08;;0.08;0.33;0.52;0.81;-0.29;1.28;0.20;1.54;0.26;3.19;0.22;-1.65;0.04
1964:Q1;9.70;7.47;8.59;5.08;3.50;3.49;0.11;;0.11;0.33;3.95;-2.07;6.03;0.52;0.20;4.37;3.85;-3.35;-1.75;7.72;5.60
1964:Q2;4.23;6.23;5.23;3.54;1.69;3.58;0.05;;0.05;0.33;1.64;4.57;-2.93;1.03;0.20;2.46;1.43;8.63;3.54;-6.17;-2.11
1964:Q3;6.90;6.16;6.53;2.20;4.33;3.66;-0.02;;-0.02;0.33;3.86;0.25;3.61;2.49;0.21;5.84;3.35;2.07;-0.22;3.77;3.57
1964:Q4;0.54;3.85;2.20;2.54;-0.34;3.87;-0.08;;-0.08;0.33;-0.73;0.13;-0.86;2.60;0.20;1.34;-1.26;-5.27;1.50;6.61;-2.76
1965:Q1;11.62;10.68;11.15;4.89;6.26;3.90;-0.15;;-0.15;0.34;6.69;7.22;-0.53;1.46;0.21;7.84;6.38;18.02;4.31;-10.18;2.07
1965:Q2;5.07;5.11;5.09;5.18;-0.09;4.86;-0.13;;-0.13;0.34;0.11;-1.10;1.21;2.98;0.21;2.46;-0.52;-4.62;-0.16;7.08;-0.36
1965:Q3;9.58;5.50;7.54;-0.68;8.22;4.79;-0.12;;-0.12;0.34;6.43;-1.94;8.37;2.11;0.21;8.09;5.98;-7.13;-0.53;15.23;6.52
1965:Q4;9.95;9.36;9.65;4.15;5.50;5.02;-0.10;;-0.10;0.34;5.27;2.68;2.59;4.58;0.21;8.87;4.29;6.43;1.66;2.45;2.63
1966:Q1;11.00;9.81;10.41;3.94;6.46;5.09;-0.08;;-0.08;0.34;6.13;2.86;3.27;2.91;0.22;8.41;5.50;3.42;2.71;5.00;2.79
