"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 4 through 5.","","","","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1976","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","Age","All races","NaN","NaN","White","NaN","NaN","Black","NaN","NaN","Other races","NaN","NaN"
"3","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","All ages","218035164","106308604","111726560","189074304","92466252","96608052","25157029","11975906","13181123","3803831","1866446","1937385"
"6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","0","3115391","1592844","1522547","2587709","1326564","1261145","455155","229325","225830","72527","36955","35572"
"8","1","3079357","1574751","1504606","2559259","1312262","1246997","449768","226609","223159","70330","35880","34450"
"9","2","2986220","1528249","1457971","2464943","1265028","1199915","447756","226185","221571","73521","37036","36485"
"10","3","3100598","1582492","1518106","2553127","1306599","1246528","472800","237913","234887","74671","37980","36691"
"11","4","3335549","1702437","1633112","2758240","1412104","1346136","501655","252348","249307","75654","37985","37669"
"12","5","3634324","1858764","1775560","3022124","1550372","1471752","535342","269638","265704","76858","38754","38104"
"13","6","3560219","1814421","1745798","2983876","1525804","1458072","506812","253546","253266","69531","35071","34460"
"14","7","3526690","1799189","1727501","2954390","1512464","1441926","504999","252833","252166","67301","33892","33409"
"15","8","3387656","1729528","1658128","2836597","1453128","1383469","485345","243075","242270","65714","33325","32389"
"16","9","3562384","1814684","1747700","2972533","1518891","1453642","518881","259853","259028","70970","35940","35030"
"17","10","3756460","1919281","1837179","3122919","1599535","1523384","555146","279745","275401","78395","40001","38394"
"18","11","3900197","1987259","1912938","3253122","1661703","1591419","572831","287802","285029","74244","37754","36490"
"19","12","4055659","2072455","1983204","3405794","1744026","1661768","577950","291620","286330","71915","36809","35106"
"20","13","4132265","2109328","2022937","3477999","1779550","1698449","582539","293084","289455","71727","36694","35033"
"21","14","4243008","2162627","2080381","3583919","1831109","1752810","587312","294808","292504","71777","36710","35067"
"22","15","4340062","2215743","2124319","3664858","1875771","1789087","597161","299842","297319","78043","40130","37913"
"23","16","4259631","2167686","2091945","3592446","1833133","1759313","591746","295983","295763","75439","38570","36869"
"24","17","4275907","2172544","2103363","3607711","1837602","1770109","591969","295904","296065","76227","39038","37189"
"25","18","4265516","2164399","2101117","3619273","1841003","1778270","570363","284432","285931","75880","38964","36916"
"26","19","4393025","2228971","2164054","3729883","1898304","1831579","582503","289283","293220","80639","41384","39255"
"27","20","4243079","2153490","2089589","3606169","1836565","1769604","556478","275306","281172","80432","41619","38813"
"28","21","4093340","2075205","2018135","3497601","1781515","1716086","518973","254322","264651","76766","39368","37398"
"29","22","3970413","1995727","1974686","3405180","1723168","1682012","490063","235133","254930","75170","37426","37744"
"30","23","3852956","1929992","1922964","3320251","1674955","1645296","458076","218675","239401","74629","36362","38267"
"31","24","3826361","1916771","1909590","3304719","1669749","1634970","445955","211072","234883","75687","35950","39737"
"32","25","3721512","1862718","1858794","3199341","1615424","1583917","444665","210571","234094","77506","36723","40783"
"33","26","3545226","1768962","1776264","3052258","1538190","1514068","414189","194753","219436","78779","36019","42760"
"34","27","3585646","1783184","1802462","3094409","1553864","1540545","411177","192960","218217","80060","36360","43700"
"35","28","3490185","1737125","1753060","3047967","1530949","1517018","367942","172170","195772","74276","34006","40270"
"36","29","3931716","1960519","1971197","3487633","1753451","1734182","369527","172585","196942","74556","34483","40073"
"37","30","2912673","1451995","1460678","2532592","1275119","1257473","315474","146628","168846","64607","30248","34359"
"38","31","2860541","1418130","1442411","2491178","1247346","1243832","304684","140567","164117","64679","30217","34462"
"39","32","2914670","1438603","1476067","2535738","1263017","1272721","312818","144544","168274","66114","31042","35072"
"40","33","3043499","1501253","1542246","2657393","1322532","1334861","319838","147407","172431","66268","31314","34954"
"41","34","2753188","1356780","1396408","2402354","1194537","1207817","293614","135079","158535","57220","27164","30056"
"42","35","2562647","1264785","1297862","2230108","1111425","1118683","280702","128618","152084","51837","24742","27095"
"43","36","2396170","1177075","1219095","2082579","1033869","1048710","264247","119906","144341","49344","23300","26044"
"44","37","2363665","1156831","1206834","2052251","1015085","1037166","262726","118868","143858","48688","22878","25810"
"45","38","2308235","1129991","1178244","2018873","998453","1020420","244657","110613","134044","44705","20925","23780"
"46","39","2296776","1123915","1172861","2011203","993847","1017356","241330","109369","131961","44243","20699","23544"
"47","40","2304558","1129362","1175196","2014904","997114","1017790","246071","111840","134231","43583","20408","23175"
"48","41","2228690","1096034","1132656","1939914","963208","976706","243993","111625","132368","44783","21201","23582"
"49","42","2192835","1075874","1116961","1906426","944761","961665","240472","109363","131109","45937","21750","24187"
"50","43","2211075","1082569","1128506","1919704","948505","971199","244360","111888","132472","47011","22176","24835"
"51","44","2229200","1093594","1135606","1954793","967625","987168","229000","104675","124325","45407","21294","24113"
"52","45","2266037","1108311","1157726","1995740","984183","1011557","227935","104616","123319","42362","19512","22850"
"53","46","2378001","1159010","1218991","2092128","1027205","1064923","244942","113218","131724","40931","18587","22344"
"54","47","2315799","1126282","1189517","2056217","1007874","1048343","222220","101486","120734","37362","16922","20440"
"55","48","2320528","1122750","1197778","2056363","1001999","1054364","228618","104653","123965","35547","16098","19449"
"56","49","2371690","1141942","1229748","2112679","1024819","1087860","223568","100887","122681","35443","16236","19207"
"57","50","2335316","1122078","1213238","2084018","1008575","1075443","217407","97725","119682","33891","15778","18113"
"58","51","2440346","1168579","1271767","2171825","1045980","1125845","234363","106449","127914","34158","16150","18008"
"59","52","2403540","1147631","1255909","2151550","1033892","1117658","219343","98389","120954","32647","15350","17297"
"60","53","2390178","1140373","1249805","2132255","1023026","1109229","226302","102140","124162","31621","15207","16414"
"61","54","2400661","1149527","1251134","2163271","1040553","1122718","207443","94406","113037","29947","14568","15379"
"62","55","2303077","1102293","1200784","2073492","997331","1076161","202186","91671","110515","27399","13291","14108"
"63","56","2329991","1110195","1219796","2075705","991977","1083728","226650","104548","122102","27636","13670","13966"
"64","57","2179968","1031161","1148807","1968661","933458","1035203","187506","85975","101531","23801","11728","12073"
"65","58","2059645","970546","1089099","1860751","879335","981416","176508","80330","96178","22386","10881","11505"
"66","59","2011432","944683","1066749","1825841","860849","964992","164500","73425","91075","21091","10409","10682"
"67","60","1901134","891513","1009621","1737961","818202","919759","143572","63651","79921","19601","9660","9941"
"68","61","1970410","925398","1045012","1780918","839052","941866","168811","76046","92765","20681","10300","10381"
"69","62","1921812","895572","1026240","1737480","811443","926037","165030","74427","90603","19302","9702","9600"
"70","63","1887693","870859","1016834","1696463","784125","912338","172137","76991","95146","19093","9743","9350"
"71","64","1820831","831159","989672","1637195","748211","888984","165828","73553","92275","17808","9395","8413"
"72","65","1779323","801253","978070","1585623","715003","870620","176110","76663","99447","17590","9587","8003"
