year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1948,8449,11530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22610,20097,16771,12885,10720
1949,8215,11312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22822,20401,17002,13201,11035
1950,8143,11080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23013,20681,17240,13469,11363
1951,7865,10167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22843,20863,17464,13692,11724
1952,7922,9389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23044,21137,17716,13889,12126
1953,8014,8960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23266,21922,17991,13830,13075
1954,8224,8885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23304,22135,18305,14085,13375
1955,8364,9036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23249,22348,18643,14309,13728
1956,8434,9271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23072,22567,19012,14516,14075
1957,8612,9486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22849,22786,19424,14727,14376
1958,8986,9733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22563,23025,19832,14923,14657
1959,9618,9975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22201,23207,20203,15134,14985
1960,10187,10273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21998,23437,20601,15409,15336
1961,10513,10583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21829,23585,20893,15675,15685
1962,10652,10852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21503,23797,20916,15874,16554
1963,11370,11464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21400,23948,21144,16138,16945
1964,12111,12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21367,23940,21452,16442,17150
1965,12930,12442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21417,23832,21728,16727,17432
1966,13592,12638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21543,23579,21977,17007,17715
1967,13480,13421,11537,10523,11206,12109,11626,10631,9393,7918,6379,5153,6499,22057,23313,22256,17310,18029
1968,13698,13891,12228,10684,11014,12022,11824,10710,9582,8032,6510,5014,6815,22912,23036,22534,17614,18338
1969,14095,14488,12753,10893,10825,11884,11980,10827,9761,8170,6652,5019,6986,23645,22709,22806,17930,18657
1970,14519,15323,13304,11132,10759,11730,12080,10980,9921,8330,6793,5067,7150,24435,22489,23059,18250,19007
1971,15022,16345,13865,11474,10721,11553,12095,11149,10061,8522,6920,5142,7345,25337,22274,23244,18581,19406
1972,15510,17143,14661,12080,10882,11478,11903,11437,10107,8902,7105,5446,7473,26740,22358,23338,19007,20023
1973,15840,17692,15447,12726,10987,11301,11840,11592,10217,9066,7251,5554,7583,28172,22287,23431,19281,20389
1974,16180,17994,16065,13374,11235,11228,11745,11835,10302,9217,7710,5537,7698,29439,22461,23578,19517,20945
1975,16418,18595,16856,13854,11452,11074,11670,11865,10544,9300,7965,5624,7936,30710,22526,23535,19844,21525
1976,16614,19109,17678,14275,11765,11032,11550,11859,10792,9393,8166,5757,8160,31953,22796,23409,20185,22083
1977,16688,19582,17849,15269,12220,11076,11414,11784,11080,9477,8370,5989,8238,33117,23296,23197,20557,22597
1978,16695,20007,18187,15904,12899,11200,11263,11714,11302,9576,8504,6206,8456,34091,24099,22977,20875,23166
1979,16657,20353,18668,16593,13474,11387,11116,11636,11453,9757,8626,6429,8710,35261,24861,22752,21210,23767
1980,16543,20635,19203,17354,13964,11612,10984,11579,11512,10008,8692,6670,8988,36558,25578,22563,21520,24350
1981,16214,20820,19639,18137,14371,11920,10951,11471,11517,10239,8758,6839,9253,37777,26291,22422,21756,24850
1982,15763,20845,20114,18378,15258,12354,10996,11268,11450,10460,8820,7012,9556,38492,27611,22264,21909,25387
1983,15274,20799,20506,18640,15971,12960,11088,11079,11379,10624,8880,7165,9848,39147,28932,22167,22003,25892
1984,14735,20688,20899,19100,16749,13503,11310,10915,11288,10765,8976,7311,10146,39999,30251,22226,22052,26433
1985,14506,20097,20958,19712,17274,14105,11564,10854,11282,10858,9331,7342,10324,40670,31379,22418,22140,26997
1986,14496,19569,21382,20349,18291,14260,11885,10847,11167,10844,9522,7449,10525,41731,32550,22732,22011,27497
1987,14606,18970,21415,20882,18494,15261,12284,10899,11036,10799,9736,7565,10807,42297,33755,23183,21835,28108
1988,14527,18434,21291,21320,18856,15928,12921,11082,10838,10803,9832,7683,11096,42611,34784,24004,21641,28612
1989,14223,18025,21146,21698,19323,16654,13439,11306,10651,10755,10034,7789,11350,42845,35977,24744,21406,29173
1990,14520,18902,21183,21793,19924,17795,13874,11207,10296,10423,9883,7765,11598,42976,37719,25081,20719,29247
1991,14073,18963,20667,22020,20466,18650,14246,11463,10275,10400,9816,7980,11904,42688,39116,25709,20675,29700
1992,13840,18846,20141,22137,20999,18853,15282,11924,10333,10271,9771,8241,12167,42278,39852,27206,20604,30179
