year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
1993,13935,18642,19648,22124,21515,19217,15959,12590,10516,10058,9786,8401,12447,41771,40733,28549,20574,30634
1994,14196,18353,19264,22043,21869,19664,16709,13069,10756,9880,9732,8517,12763,41306,41534,29778,20635,31012
1995,14511,17864,19073,21725,22105,20149,17498,13476,10908,9827,9724,8601,13122,40798,42254,30974,20735,31448
1996,14934,17409,19054,21199,22357,20729,18328,13840,11183,9807,9683,8561,13507,40252,43086,32167,20990,31751
1997,15365,17442,18884,20675,22544,21339,18443,14948,11605,9900,9543,8509,13937,39559,43883,33391,21505,31989
1998,15644,17593,18622,20156,22449,21850,18804,15569,12219,10077,9387,8560,14290,38778,44299,34373,22296,32237
1999,16040,17968,18339,19637,22379,22256,19324,16263,12747,10317,9281,8540,14663,37976,44635,35587,23064,32484
2000,15912,18311,18692,20011,22087,22225,20006,17636,13446,10784,9478,8733,15255,38703,44312,37642,24230,33466
2001,15929,18877,18320,20185,21750,22444,20606,18298,14007,11004,9531,8622,15519,38505,44195,38904,25011,33672
2002,15994,19348,18188,20284,21338,22556,21073,18638,14901,11442,9492,8507,15809,38472,43894,39711,26343,33808
2003,16096,19801,18625,20396,21050,22696,21581,18941,15625,12103,9591,8456,16207,39021,43746,40522,27728,34253
2004,16222,20197,18985,19954,20573,22653,21886,19359,16327,12592,9800,8381,16429,38939,43226,41245,28919,34609
2005,16398,20276,19484,19580,20511,22494,22257,19850,17206,12958,10048,8358,16663,39064,43005,42107,30165,35068
2006,16678,20265,20068,19162,20654,22099,22547,20354,17974,13401,10293,8392,16928,39230,42753,42901,31375,35613
2007,16982,20427,20607,19144,20738,21664,22661,20882,18194,14339,10708,8461,17059,39751,42401,43544,32533,36228
2008,17075,20409,20815,19179,20537,21162,22644,21316,18444,15047,11242,8639,17281,39993,41699,43960,33491,37161
2009,17043,20524,20872,19408,20174,20746,22683,21682,18882,15789,11657,8875,17466,40280,40919,44365,34671,37998
2010,16901,21047,21100,19803,19583,20507,22354,21943,19300,16585,12070,9052,17585,40903,40090,44297,35885,38706
2011,16774,21423,21119,20245,19022,20476,21788,22054,19670,17317,12546,9309,17873,41364,39499,43842,36987,39729
2012,16984,21799,20653,20322,19025,20617,21359,22339,20574,17743,13801,9853,18216,40975,39642,43697,38318,41869
2013,16787,22052,20876,20672,19149,20464,20904,22342,20977,18045,14440,10483,18489,41548,39613,43246,39022,43412
2014,16633,22079,21230,20902,19409,20156,20521,22294,21241,18524,15130,10948,18882,42131,39565,42815,39764,44959
2015,16619,21971,21716,21055,19885,19816,20531,22106,21524,19070,15976,11329,19203,42771,39701,42637,40594,46509
2016,16714,21721,22265,21282,20394,19422,20703,21694,21804,19504,16671,11765,19599,43547,39817,42397,41308,48035
2017,16754,21396,22627,21331,20713,19239,20620,21167,21722,19969,16734,12655,20153,43958,39952,41787,41691,49542
2018,16765,21239,22948,21633,21143,19426,20504,20736,21677,20437,16961,13393,20929,44581,40569,41240,42114,51283
2019,16693,21055,22933,21943,21341,19619,20137,20308,21624,20616,17288,13990,21626,44877,40960,40445,42241,52905
