"Table 1. Central birth rates, by live-birth order, current age, and race of women in each cohort from 1911 through 1991: United States, 1960-2005",,,,,,,,,,,
,,,,,,,,,,,
"[A cohort is identified by the year in which the women were born. Because these women retain this designation throughout their childbearing years, their fertility can be followed over time. Live-birth order refers to number of children born alive to mother. Central birth rates are per 1,000 women in specified single year of age cohort group and are based on births adjusted for underregistration (1960-1979 only) and numbers of women adjusted for misstatements of age in the censuses (1960-2005). For method of computation, see Technical Appendix to the Cohort Fertility Tables]",,,,,,,,,,,
,,,,,,,,,,,
Characteristics,,,                                  Live-birth order                          ,,,,,,,,
Race of women and calendar year,Current age of women,Cohort birth year,Total,1,2,3,4,5,6,7,8 and higher
1965,18,1947,106.9,75.0,24.8,5.9,1.2,NaN,NaN,NaN,NaN
1966,19,1947,137.1,90.0,35.1,9.6,2.4,NaN,NaN,NaN,NaN
1967,20,1947,155.1,90.0,45.9,13.9,4.0,1.1,0.2,0.0,0.0
1968,21,1947,163.0,84.3,53.1,17.8,5.6,1.7,0.4,0.1,0.0
1969,22,1947,171.7,77.0,60.8,22.8,7.6,2.5,0.7,0.2,0.1
1970,23,1947,178.2,69.8,65.4,28.1,9.9,3.4,1.1,0.3,0.2
1971,24,1947,159.5,55.0,59.3,28.7,10.7,3.9,1.3,0.4,0.2
1972,25,1947,135.5,42.9,51.5,25.5,9.9,3.7,1.4,0.4,0.2
1973,26,1947,121.9,35.5,47.4,23.7,9.5,3.6,1.4,0.5,0.3
1974,27,1947,113.3,30.9,43.9,23.1,9.3,3.7,1.5,0.6,0.3
1975,28,1947,99.6,24.9,37.6,21.8,9.1,3.7,1.5,0.6,0.4
1976,29,1947,88.6,20.3,32.4,20.6,8.8,3.7,1.6,0.7,0.5
1977,30,1947,79.1,16.5,27.8,19.6,8.7,3.6,1.6,0.7,0.6
1978,31,1947,67.4,13.4,22.7,17.0,7.9,3.5,1.6,0.7,0.6
1979,32,1947,58.6,10.8,18.9,15.0,7.4,3.4,1.6,0.8,0.7
1980,33,1947,49.9,8.9,15.5,12.7,6.6,3.1,1.5,0.8,0.8
1981,34,1947,40.6,7.0,12.1,10.3,5.6,2.7,1.4,0.7,0.8
1982,35,1947,33.8,5.8,9.5,8.4,4.9,2.4,1.3,0.7,0.8
1983,36,1947,26.9,4.7,7.3,6.5,3.9,2.0,1.1,0.6,0.8
1984,37,1947,21.4,3.8,5.7,4.9,3.1,1.6,1.0,0.5,0.8
1985,38,1947,16.8,2.9,4.3,3.7,2.5,1.4,0.8,0.5,0.7
1986,39,1947,12.4,2.2,3.1,2.7,1.8,1.0,0.6,0.4,0.6
1987,40,1947,8.9,1.5,2.2,1.9,1.3,0.7,0.5,0.3,0.5
1988,41,1947,6.3,1.1,1.4,1.3,0.9,0.6,0.4,0.2,0.4
1989,42,1947,4.3,0.8,0.9,0.9,0.6,0.4,0.2,0.2,0.3
1990,43,1947,2.6,0.4,0.5,0.5,0.4,0.2,0.2,0.1,0.3
1991,44,1947,1.5,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.2
1992,45,1947,0.6,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1
1993,46,1947,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1
1994,47,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,48,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,49,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,14,1948,5.1,5.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1963,15,1948,16.9,14.9,1.8,0.2,0.0,NaN,NaN,NaN,NaN
1964,16,1948,37.5,30.9,5.8,0.7,0.1,NaN,NaN,NaN,NaN
1965,17,1948,67.2,51.8,12.8,2.3,0.3,NaN,NaN,NaN,NaN
1966,18,1948,102.8,74.8,22.2,4.9,0.9,NaN,NaN,NaN,NaN
1967,19,1948,129.6,86.0,33.3,8.4,1.9,NaN,NaN,NaN,NaN
1968,20,1948,149.2,90.2,42.7,12.1,3.2,0.8,0.1,0.1,0.0
1969,21,1948,162.1,85.0,53.1,16.9,5.0,1.5,0.4,0.1,0.1
1970,22,1948,173.5,79.0,61.7,22.7,7.1,2.1,0.6,0.2,0.1
1971,23,1948,159.9,63.1,59.8,24.7,8.4,2.8,0.8,0.2,0.1
1972,24,1948,138.5,49.5,53.5,23.1,8.3,2.9,0.9,0.2,0.1
1973,25,1948,126.6,41.5,50.1,22.4,8.2,2.9,1.0,0.3,0.2
1974,26,1948,120.9,37.4,47.8,22.6,8.4,3.0,1.1,0.4,0.2
1975,27,1948,110.1,31.2,42.6,22.4,8.6,3.3,1.2,0.5,0.3
1976,28,1948,100.3,26.2,38.0,21.8,8.7,3.4,1.3,0.6,0.3
1977,29,1948,92.4,22.0,34.1,21.6,8.9,3.4,1.4,0.6,0.4
1978,30,1948,79.2,17.7,28.2,19.2,8.2,3.4,1.4,0.6,0.5
1979,31,1948,70.3,14.6,24.1,17.5,7.9,3.4,1.5,0.7,0.6
1980,32,1948,60.3,11.9,20.0,15.2,7.3,3.2,1.4,0.7,0.6
1981,33,1948,50.3,9.4,16.2,12.7,6.4,2.8,1.4,0.7,0.7
1982,34,1948,42.3,7.8,13.0,10.6,5.6,2.6,1.3,0.7,0.7
1983,35,1948,34.4,6.4,10.2,8.4,4.6,2.3,1.2,0.6,0.7
1984,36,1948,28.1,5.2,8.1,6.6,3.8,1.9,1.1,0.6,0.8
1985,37,1948,22.6,4.1,6.3,5.3,3.2,1.6,0.9,0.5,0.7
1986,38,1948,17.4,3.2,4.7,3.9,2.4,1.3,0.8,0.4,0.7
1987,39,1948,13.2,2.4,3.5,2.9,1.8,1.0,0.6,0.4,0.6
1988,40,1948,9.7,1.7,2.4,2.1,1.4,0.8,0.5,0.3,0.5
1989,41,1948,6.9,1.3,1.6,1.5,1.0,0.6,0.3,0.2,0.4
1990,42,1948,4.7,0.8,1.0,1.0,0.7,0.4,0.3,0.2,0.3
1991,43,1948,2.8,0.5,0.6,0.5,0.4,0.2,0.2,0.1,0.3
1992,44,1948,1.6,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.2
1993,45,1948,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
1994,46,1948,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1
1995,47,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,48,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,49,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,14,1949,5.2,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1964,15,1949,17.0,15.0,1.8,0.2,0.0,NaN,NaN,NaN,NaN
1965,16,1949,36.6,30.4,5.4,0.7,0.1,NaN,NaN,NaN,NaN
1966,17,1949,65.8,51.4,12.1,2.0,0.3,NaN,NaN,NaN,NaN
1967,18,1949,98.5,71.8,21.4,4.5,0.8,NaN,NaN,NaN,NaN
1968,19,1949,125.5,85.6,30.7,7.5,1.7,NaN,NaN,NaN,NaN
1969,20,1949,147.1,89.2,42.1,11.6,3.0,0.8,0.2,0.1,0.1
1970,21,1949,160.3,84.6,52.7,16.5,4.7,1.3,0.3,0.1,0.1
1971,22,1949,155.8,70.1,56.6,20.3,6.3,1.8,0.5,0.1,0.1
1972,23,1949,137.4,54.9,52.7,20.1,6.8,2.1,0.6,0.1,0.1
1973,24,1949,127.9,46.5,50.8,20.3,7.0,2.3,0.7,0.2,0.1
1974,25,1949,124.8,42.7,49.6,21.3,7.4,2.5,0.9,0.3,0.1
1975,26,1949,116.6,37.0,45.5,21.8,7.9,2.8,1.0,0.4,0.2
1976,27,1949,109.5,32.3,42.1,22.2,8.2,3.0,1.1,0.4,0.2
1977,28,1949,103.9,27.9,39.3,22.7,8.7,3.2,1.3,0.5,0.3
1978,29,1949,91.5,23.0,33.7,20.9,8.4,3.3,1.3,0.5,0.4
1979,30,1949,82.0,19.1,29.5,19.4,8.2,3.3,1.5,0.6,0.4
1980,31,1949,71.2,15.7,24.8,17.3,7.7,3.2,1.4,0.6,0.5
1981,32,1949,61.5,12.8,20.8,15.2,7.0,3.0,1.4,0.7,0.6
1982,33,1949,52.4,10.4,17.1,13.0,6.3,2.8,1.4,0.7,0.7
1983,34,1949,43.2,8.5,13.6,10.7,5.4,2.5,1.2,0.6,0.7
1984,35,1949,36.1,7.0,11.1,8.7,4.6,2.2,1.2,0.6,0.7
1985,36,1949,29.9,5.7,8.9,7.2,3.9,1.9,1.0,0.6,0.7
1986,37,1949,23.7,4.5,6.8,5.5,3.2,1.6,0.9,0.5,0.7
1987,38,1949,18.6,3.5,5.1,4.2,2.5,1.4,0.8,0.4,0.7
1988,39,1949,14.4,2.7,3.8,3.2,2.0,1.1,0.6,0.4,0.6
1989,40,1949,10.4,2.0,2.6,2.3,1.4,0.8,0.5,0.3,0.5
1990,41,1949,7.4,1.4,1.8,1.6,1.0,0.6,0.4,0.2,0.4
1991,42,1949,5.0,0.9,1.1,1.0,0.7,0.4,0.3,0.2,0.4
1992,43,1949,2.9,0.5,0.7,0.6,0.4,0.2,0.1,0.1,0.3
1993,44,1949,1.6,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.2
1994,45,1949,0.8,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.1
1995,46,1949,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
1996,47,1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,48,1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,49,1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,14,1950,5.3,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1965,15,1950,16.8,14.9,1.7,0.2,0.0,NaN,NaN,NaN,NaN
1966,16,1950,36.0,30.3,5.1,0.6,0.0,NaN,NaN,NaN,NaN
1967,17,1950,64.1,50.4,11.6,1.9,0.2,NaN,NaN,NaN,NaN
1968,18,1950,96.4,71.9,19.8,4.0,0.7,NaN,NaN,NaN,NaN
1969,19,1950,124.1,85.1,30.3,7.2,1.5,NaN,NaN,NaN,NaN
1970,20,1950,147.8,90.2,42.3,11.4,2.9,0.7,0.1,0.1,0.1
1971,21,1950,145.6,75.8,49.1,15.1,4.1,1.2,0.2,0.0,0.1
1972,22,1950,132.9,60.3,49.3,16.4,5.1,1.4,0.3,0.1,0.0
1973,23,1950,126.4,51.1,49.7,17.8,5.6,1.7,0.4,0.1,0.0
1974,24,1950,126.0,47.2,50.2,19.4,6.3,2.0,0.6,0.2,0.1
1975,25,1950,120.1,42.1,47.0,20.5,7.0,2.3,0.8,0.3,0.1
1976,26,1950,115.4,37.9,44.6,21.6,7.4,2.6,0.9,0.3,0.1
1977,27,1950,113.6,34.4,43.2,23.1,8.3,2.9,1.1,0.4,0.2
1978,28,1950,102.4,29.0,38.4,21.8,8.3,3.0,1.2,0.4,0.3
1979,29,1950,95.0,24.9,35.0,21.1,8.5,3.2,1.4,0.5,0.4
1980,30,1950,84.1,20.8,30.3,19.4,8.1,3.2,1.3,0.6,0.4
1981,31,1950,73.1,16.9,25.7,17.3,7.5,3.1,1.4,0.7,0.5
1982,32,1950,63.5,13.8,21.8,15.4,6.9,2.9,1.4,0.7,0.6
1983,33,1950,53.4,11.3,17.7,13.0,6.2,2.7,1.3,0.6,0.6
1984,34,1950,45.3,9.2,14.8,11.0,5.3,2.5,1.2,0.6,0.7
1985,35,1950,38.1,7.6,12.0,9.3,4.7,2.1,1.1,0.6,0.7
1986,36,1950,31.2,6.2,9.5,7.4,3.9,1.9,1.0,0.6,0.7
1987,37,1950,25.4,5.0,7.4,5.9,3.3,1.7,0.9,0.5,0.7
1988,38,1950,20.2,3.8,5.7,4.6,2.7,1.4,0.8,0.5,0.7
1989,39,1950,15.3,3.0,4.2,3.4,2.0,1.1,0.6,0.4,0.6
1990,40,1950,11.4,2.2,3.0,2.5,1.5,0.9,0.5,0.3,0.5
1991,41,1950,7.8,1.5,2.0,1.6,1.0,0.6,0.4,0.3,0.4
1992,42,1950,5.2,1.0,1.3,1.0,0.7,0.4,0.2,0.2,0.4
1993,43,1950,3.1,0.6,0.7,0.6,0.4,0.2,0.2,0.1,0.3
1994,44,1950,1.8,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.2
1995,45,1950,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
1996,46,1950,0.4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
1997,47,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,48,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,49,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,14,1951,5.3,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1966,15,1951,16.7,15.0,1.6,0.1,0.0,NaN,NaN,NaN,NaN
1967,16,1951,35.9,30.2,5.1,0.6,0.0,NaN,NaN,NaN,NaN
1968,17,1951,63.4,50.8,10.7,1.7,0.2,NaN,NaN,NaN,NaN
1969,18,1951,95.9,72.1,19.4,3.8,0.6,NaN,NaN,NaN,NaN
1970,19,1951,125.9,87.0,30.6,6.9,1.4,NaN,NaN,NaN,NaN
1971,20,1951,133.3,80.5,39.3,10.4,2.4,0.6,0.1,0.0,0.0
1972,21,1951,125.3,65.6,42.8,12.4,3.4,0.9,0.2,0.0,0.0
1973,22,1951,122.3,55.7,46.3,14.7,4.2,1.1,0.2,0.1,0.0
1974,23,1951,124.3,51.4,49.0,16.9,5.1,1.4,0.4,0.1,0.0
1975,24,1951,121.1,46.5,47.5,18.7,5.8,1.8,0.5,0.2,0.1
1976,25,1951,118.2,42.5,45.8,20.3,6.5,2.1,0.7,0.2,0.1
1977,26,1951,119.0,40.1,45.5,22.3,7.4,2.5,0.8,0.3,0.1
1978,27,1951,111.3,35.2,41.9,22.1,7.9,2.7,1.0,0.3,0.2
1979,28,1951,105.8,30.9,39.6,22.1,8.3,3.0,1.2,0.4,0.3
1980,29,1951,96.5,26.7,35.6,21.0,8.2,3.0,1.2,0.5,0.3
1981,30,1951,84.6,21.9,30.7,19.0,7.8,3.0,1.2,0.6,0.4
1982,31,1951,74.6,18.1,26.7,17.3,7.3,2.9,1.3,0.6,0.4
1983,32,1951,64.4,14.8,22.4,15.2,6.8,2.8,1.3,0.6,0.5
1984,33,1951,55.6,12.1,19.2,13.2,6.1,2.6,1.2,0.6,0.6
1985,34,1951,47.6,10.0,15.9,11.4,5.5,2.4,1.2,0.6,0.6
1986,35,1951,39.7,8.2,12.7,9.5,4.7,2.2,1.1,0.6,0.7
1987,36,1951,33.0,6.8,10.1,7.9,4.1,1.9,1.0,0.5,0.7
1988,37,1951,27.2,5.4,8.1,6.4,3.5,1.7,0.9,0.5,0.7
1989,38,1951,21.7,4.4,6.2,4.9,2.8,1.4,0.8,0.5,0.7
1990,39,1951,16.7,3.3,4.7,3.7,2.2,1.2,0.6,0.4,0.6
1991,40,1951,11.8,2.4,3.2,2.5,1.5,0.9,0.5,0.3,0.5
1992,41,1951,8.2,1.6,2.1,1.7,1.1,0.6,0.4,0.2,0.5
1993,42,1951,5.3,1.0,1.3,1.1,0.7,0.4,0.3,0.1,0.4
1994,43,1951,3.3,0.7,0.8,0.6,0.4,0.3,0.2,0.1,0.2
1995,44,1951,1.9,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.2
1996,45,1951,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
1997,46,1951,0.4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
1998,47,1951,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1999,48,1951,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,49,1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,14,1952,5.4,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967,15,1952,16.7,15.0,1.6,0.1,0.0,NaN,NaN,NaN,NaN
1968,16,1952,35.7,30.6,4.6,0.5,0.0,NaN,NaN,NaN,NaN
1969,17,1952,63.9,51.6,10.5,1.6,0.2,NaN,NaN,NaN,NaN
1970,18,1952,99.0,75.2,19.6,3.6,0.6,NaN,NaN,NaN,NaN
1971,19,1952,114.9,79.0,28.5,6.2,1.2,NaN,NaN,NaN,NaN
1972,20,1952,116.3,70.8,34.5,8.6,1.9,0.4,0.1,0.0,0.0
1973,21,1952,115.3,60.4,40.1,11.2,2.8,0.7,0.1,0.0,0.0
1974,22,1952,120.2,55.8,45.7,13.9,3.7,0.9,0.2,0.0,0.0
1975,23,1952,119.2,50.3,46.5,16.2,4.6,1.2,0.3,0.1,0.0
1976,24,1952,118.6,46.4,46.1,18.3,5.5,1.6,0.5,0.1,0.1
1977,25,1952,121.8,44.8,46.8,20.8,6.5,2.0,0.6,0.2,0.1
1978,26,1952,115.7,40.3,43.6,21.2,7.2,2.3,0.8,0.2,0.1
1979,27,1952,114.1,37.0,42.9,22.3,7.9,2.6,0.9,0.3,0.2
1980,28,1952,106.9,32.7,39.8,21.8,8.1,2.8,1.1,0.4,0.2
1981,29,1952,96.5,27.8,35.6,20.4,7.9,2.9,1.1,0.5,0.3
1982,30,1952,85.5,22.9,31.3,18.9,7.5,2.9,1.2,0.5,0.3
1983,31,1952,75.4,19.0,27.1,17.1,7.2,2.9,1.2,0.5,0.4
1984,32,1952,66.5,15.7,23.8,15.4,6.6,2.7,1.2,0.6,0.5
1985,33,1952,58.0,12.9,20.3,13.7,6.2,2.6,1.2,0.6,0.5
1986,34,1952,49.0,10.6,16.5,11.7,5.5,2.4,1.1,0.6,0.6
1987,35,1952,41.7,8.9,13.5,10.0,4.8,2.2,1.1,0.6,0.6
1988,36,1952,35.0,7.3,10.9,8.4,4.3,2.0,1.0,0.5,0.6
1989,37,1952,29.0,6.0,8.7,6.8,3.6,1.8,0.9,0.5,0.7
1990,38,1952,23.0,4.7,6.7,5.2,2.9,1.5,0.8,0.5,0.7
1991,39,1952,17.1,3.5,4.9,3.7,2.2,1.2,0.6,0.4,0.6
1992,40,1952,12.3,2.5,3.4,2.6,1.6,0.9,0.5,0.3,0.5
1993,41,1952,8.3,1.7,2.2,1.7,1.1,0.6,0.4,0.2,0.4
1994,42,1952,5.6,1.1,1.5,1.1,0.7,0.4,0.3,0.2,0.3
1995,43,1952,3.4,0.7,0.8,0.6,0.4,0.3,0.2,0.1,0.3
1996,44,1952,2.1,0.4,0.5,0.4,0.2,0.2,0.1,0.1,0.2
1997,45,1952,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
1998,46,1952,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1
1999,47,1952,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2000,48,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,49,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,14,1953,5.4,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968,15,1953,17.1,15.5,1.5,0.1,0.0,NaN,NaN,NaN,NaN
1969,16,1953,36.4,31.4,4.5,0.5,0.0,NaN,NaN,NaN,NaN
1970,17,1953,67.2,54.9,10.6,1.5,0.2,NaN,NaN,NaN,NaN
1971,18,1953,92.0,69.8,18.5,3.2,0.5,NaN,NaN,NaN,NaN
1972,19,1953,103.9,72.0,25.6,5.3,1.0,NaN,NaN,NaN,NaN
1973,20,1953,107.7,65.3,32.5,7.8,1.7,0.3,0.1,0.0,0.0
1974,21,1953,113.5,59.7,40.0,10.6,2.5,0.6,0.1,0.0,0.0
1975,22,1953,115.6,54.1,43.6,13.4,3.5,0.8,0.2,0.0,0.0
1976,23,1953,116.7,49.8,45.0,15.9,4.4,1.2,0.3,0.1,0.0
1977,24,1953,121.9,48.3,47.2,18.9,5.4,1.6,0.4,0.1,0.0
1978,25,1953,118.1,44.3,44.6,20.1,6.3,1.9,0.6,0.2,0.1
1979,26,1953,118.2,41.8,44.5,21.6,7.1,2.2,0.7,0.2,0.1
1980,27,1953,114.8,38.5,42.7,21.9,7.7,2.6,0.9,0.3,0.2
1981,28,1953,105.9,33.5,39.2,21.1,7.8,2.7,1.0,0.4,0.2
1982,29,1953,97.0,28.6,35.9,20.2,7.7,2.8,1.1,0.4,0.3
1983,30,1953,85.5,23.4,31.5,18.5,7.4,2.8,1.1,0.5,0.3
1984,31,1953,77.1,19.8,28.3,17.1,7.1,2.7,1.2,0.5,0.4
1985,32,1953,68.7,16.5,24.8,15.8,6.7,2.8,1.2,0.5,0.4
1986,33,1953,59.2,13.6,20.6,13.9,6.2,2.6,1.2,0.6,0.5
1987,34,1953,51.0,11.4,17.2,12.2,5.6,2.4,1.1,0.6,0.5
1988,35,1953,43.6,9.4,14.2,10.5,5.1,2.2,1.1,0.5,0.6
1989,36,1953,37.1,7.9,11.6,8.9,4.4,2.0,1.0,0.6,0.7
1990,37,1953,30.8,6.4,9.4,7.1,3.8,1.9,1.0,0.5,0.7
1991,38,1953,23.5,4.8,6.9,5.3,3.0,1.5,0.8,0.5,0.7
1992,39,1953,17.6,3.6,5.1,3.9,2.2,1.2,0.6,0.4,0.6
1993,40,1953,12.5,2.6,3.5,2.6,1.6,0.9,0.5,0.3,0.5
1994,41,1953,8.7,1.8,2.4,1.8,1.1,0.6,0.4,0.2,0.4
1995,42,1953,5.7,1.2,1.5,1.1,0.7,0.4,0.3,0.2,0.3
1996,43,1953,3.5,0.7,0.9,0.7,0.4,0.3,0.2,0.1,0.2
1997,44,1953,2.0,0.4,0.5,0.4,0.2,0.1,0.1,0.1,0.2
1998,45,1953,1.0,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.1
1999,46,1953,0.5,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1
2000,47,1953,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2001,48,1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,49,1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,14,1954,5.7,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,15,1954,17.7,16.1,1.5,0.1,0.0,NaN,NaN,NaN,NaN
1970,16,1954,39.4,34.2,4.7,0.5,0.0,NaN,NaN,NaN,NaN
1971,17,1954,64.4,52.7,10.2,1.4,0.1,NaN,NaN,NaN,NaN
1972,18,1954,86.6,66.5,16.9,2.8,0.4,NaN,NaN,NaN,NaN
1973,19,1954,97.0,67.2,24.2,4.8,0.8,NaN,NaN,NaN,NaN
1974,20,1954,105.7,63.6,32.7,7.5,1.5,0.3,0.1,0.0,0.0
1975,21,1954,109.3,57.5,38.5,10.3,2.4,0.5,0.1,0.0,0.0
1976,22,1954,112.6,52.9,42.3,13.1,3.3,0.8,0.2,0.0,0.0
1977,23,1954,119.8,51.2,46.1,16.5,4.4,1.2,0.3,0.1,0.0
1978,24,1954,118.1,47.4,44.7,18.5,5.4,1.5,0.4,0.1,0.1
1979,25,1954,120.8,45.8,45.4,20.5,6.4,1.9,0.5,0.2,0.1
1980,26,1954,119.1,43.3,44.1,21.3,7.1,2.3,0.7,0.2,0.1
1981,27,1954,113.6,39.1,41.8,21.3,7.6,2.5,0.8,0.3,0.2
1982,28,1954,106.2,33.9,39.5,21.0,7.6,2.6,1.0,0.4,0.2
1983,29,1954,96.0,28.7,35.6,19.6,7.6,2.8,1.1,0.4,0.2
1984,30,1954,87.2,24.4,32.3,18.5,7.3,2.7,1.2,0.5,0.3
1985,31,1954,79.4,20.6,29.2,17.5,7.2,2.8,1.2,0.5,0.4
1986,32,1954,69.9,17.2,25.0,15.9,6.8,2.7,1.2,0.6,0.5
1987,33,1954,61.5,14.4,21.5,14.4,6.3,2.6,1.2,0.6,0.5
1988,34,1954,53.5,11.9,18.1,12.8,5.8,2.5,1.2,0.6,0.6
1989,35,1954,45.9,10.1,14.9,11.1,5.2,2.3,1.1,0.6,0.6
1990,36,1954,39.3,8.4,12.3,9.3,4.7,2.2,1.1,0.6,0.7
1991,37,1954,31.2,6.5,9.5,7.2,3.9,1.9,1.0,0.5,0.7
1992,38,1954,24.1,5.0,7.2,5.4,3.0,1.5,0.8,0.5,0.7
1993,39,1954,17.9,3.7,5.2,3.9,2.3,1.2,0.6,0.4,0.6
1994,40,1954,13.0,2.7,3.7,2.8,1.6,0.9,0.5,0.3,0.5
1995,41,1954,8.9,1.9,2.5,1.8,1.1,0.6,0.4,0.2,0.4
1996,42,1954,5.9,1.2,1.6,1.2,0.7,0.4,0.3,0.2,0.3
1997,43,1954,3.6,0.8,0.9,0.7,0.4,0.2,0.2,0.1,0.3
1998,44,1954,2.2,0.4,0.5,0.4,0.3,0.2,0.1,0.1,0.2
1999,45,1954,1.1,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0.1
2000,46,1954,0.7,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.1
2001,47,1954,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2002,48,1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,49,1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,14,1955,6.1,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970,15,1955,19.6,17.9,1.6,0.1,0.0,NaN,NaN,NaN,NaN
1971,16,1955,38.7,33.7,4.6,0.4,0.0,NaN,NaN,NaN,NaN
1972,17,1955,63.7,52.9,9.5,1.2,0.1,NaN,NaN,NaN,NaN
1973,18,1955,82.3,63.3,16.1,2.6,0.3,NaN,NaN,NaN,NaN
1974,19,1955,94.7,64.7,24.5,4.7,0.8,NaN,NaN,NaN,NaN
1975,20,1955,101.9,61.0,31.8,7.3,1.5,0.3,0.0,0.0,0.0
1976,21,1955,106.2,55.8,37.3,10.2,2.3,0.5,0.1,0.0,0.0
1977,22,1955,115.9,54.2,43.5,13.8,3.4,0.8,0.2,0.0,0.0
1978,23,1955,116.6,50.3,43.8,16.4,4.5,1.2,0.3,0.1,0.0
1979,24,1955,121.3,49.2,45.5,18.9,5.6,1.6,0.4,0.1,0.0
1980,25,1955,121.7,47.4,44.9,20.3,6.4,1.9,0.6,0.1,0.1
1981,26,1955,117.1,43.4,42.9,20.7,6.9,2.2,0.7,0.2,0.1
1982,27,1955,113.2,38.9,42.2,21.1,7.4,2.4,0.8,0.3,0.1
1983,28,1955,104.2,33.7,38.8,20.2,7.5,2.6,0.9,0.3,0.2
1984,29,1955,97.3,29.5,36.4,19.6,7.4,2.7,1.1,0.4,0.2
1985,30,1955,89.2,25.1,33.2,18.8,7.4,2.8,1.1,0.5,0.3
1986,31,1955,80.0,21.3,29.3,17.6,7.1,2.7,1.1,0.5,0.4
1987,32,1955,72.3,18.1,25.9,16.5,6.9,2.7,1.2,0.5,0.5
1988,33,1955,64.3,15.1,22.5,15.0,6.6,2.7,1.2,0.6,0.6
1989,34,1955,55.8,12.7,18.8,13.4,6.0,2.5,1.2,0.6,0.6
1990,35,1955,48.6,10.7,15.8,11.6,5.5,2.5,1.2,0.6,0.7
1991,36,1955,39.3,8.4,12.4,9.3,4.7,2.1,1.1,0.6,0.7
1992,37,1955,31.5,6.7,9.7,7.3,3.8,1.9,0.9,0.5,0.7
1993,38,1955,24.4,5.1,7.4,5.5,3.0,1.5,0.8,0.5,0.6
1994,39,1955,18.6,3.9,5.5,4.1,2.3,1.2,0.6,0.4,0.6
