"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1937","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","128824829","64789797","64035032","115706360","58322024","57384336","13118469","6467773","6650696"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","1932237","982918","949319","1702825","869197","833628","229412","113721","115691"
"9","1","1948567","989772","958795","1720299","875848","844451","228268","113924","114344"
"10","2","2079031","1051681","1027350","1825219","926109","899110","253812","125572","128240"
"11","3","2007264","1014946","992318","1756877","891554","865323","250387","123392","126995"
"12","4","2041574","1031459","1010115","1787024","905915","881109","254550","125544","129006"
"13","5","2176641","1104920","1071721","1898889","966216","932673","277752","138704","139048"
"14","6","2245185","1141091","1104094","1968977","1003179","965798","276208","137912","138296"
"15","7","2264960","1150536","1114424","1987638","1011915","975723","277322","138621","138701"
"16","8","2298622","1168507","1130115","2019661","1028913","990748","278961","139594","139367"
"17","9","2349413","1198837","1150576","2065248","1056489","1008759","284165","142348","141817"
"18","10","2398903","1218954","1179949","2112653","1076113","1036540","286250","142841","143409"
"19","11","2418789","1226734","1192055","2135215","1085445","1049770","283574","141289","142285"
"20","12","2450155","1238927","1211228","2168554","1099599","1068955","281601","139328","142273"
"21","13","2479212","1249694","1229518","2196313","1110685","1085628","282899","139009","143890"
"22","14","2482314","1248441","1233873","2202224","1111473","1090751","280090","136968","143122"
"23","15","2497614","1252304","1245310","2218840","1116709","1102131","278774","135595","143179"
"24","16","2462532","1231898","1230634","2191586","1100997","1090589","270946","130901","140045"
"25","17","2415265","1203756","1211509","2150988","1077045","1073943","264277","126711","137566"
"26","18","2369686","1176567","1193119","2112159","1054021","1058138","257527","122546","134981"
"27","19","2330760","1153709","1177051","2078908","1034608","1044300","251852","119101","132751"
"28","20","2307580","1140107","1167473","2058363","1022634","1035729","249217","117473","131744"
"29","21","2296809","1133915","1162894","2047893","1016640","1031253","248916","117275","131641"
"30","22","2284673","1127346","1157327","2035933","1010148","1025785","248740","117198","131542"
"31","23","2270319","1119847","1150472","2021570","1002618","1018952","248749","117229","131520"
"32","24","2251310","1110265","1141045","2003947","993591","1010356","247363","116674","130689"
"33","25","2223677","1096557","1127120","1980694","981779","998915","242983","114778","128205"
"34","26","2189057","1079505","1109552","1952787","967676","985111","236270","111829","124441"
"35","27","2153576","1062308","1091268","1924267","953485","970782","229309","108823","120486"
"36","28","2118045","1045405","1072640","1896048","939659","956389","221997","105746","116251"
"37","29","2083292","1028984","1054308","1866956","925632","941324","216336","103352","112984"
"38","30","2050939","1013703","1037236","1836676","911312","925364","214263","102391","111872"
"39","31","2020656","999436","1021220","1805712","896895","908817","214944","102541","112403"
"40","32","1990773","985504","1005269","1774939","882717","892222","215834","102787","113047"
"41","33","1961453","971975","989478","1744500","868859","875641","216953","103116","113837"
"42","34","1931357","958336","973021","1715498","855717","859781","215859","102619","113240"
"43","35","1899263","944102","955161","1689066","843701","845365","210197","100401","109796"
"44","36","1865981","929613","936368","1665101","832818","832283","200880","96795","104085"
"45","37","1832529","915175","917354","1641466","822183","819283","191063","92992","98071"
