2I,486,17,3706415,1903387,1803028,1564942,1476364,270883,264679,18003,16834,49559,45151,185846,170904,1392207,1317668,262346,256834,16189,15164,46799,42458,2I 486 17    3706415   1903387   1803028   1564942   1476364    270883    264679     18003     16834     49559     45151    185846    170904   1392207   1317668    262346    256834     16189     15164     46799     42458
2I,486,18,3606656,1837371,1769285,1505303,1441784,266834,267691,17083,15894,48151,43916,183057,166393,1335729,1288233,257984,259121,15314,14315,45287,41223,2I 486 18    3606656   1837371   1769285   1505303   1441784    266834    267691     17083     15894     48151     43916    183057    166393   1335729   1288233    257984    259121     15314     14315     45287     41223
2I,486,19,3886653,1964775,1921878,1613043,1569420,281043,287570,18204,17415,52485,47473,201009,182001,1427545,1401663,270861,278103,16187,15703,49173,44408,2I 486 19    3886653   1964775   1921878   1613043   1569420    281043    287570     18204     17415     52485     47473    201009    182001   1427545   1401663    270861    278103     16187     15703     49173     44408
2I,486,20,3976152,2014743,1961409,1656380,1602298,286383,293861,18751,17136,53229,48114,211454,186493,1461309,1430445,275547,284132,16705,15395,49728,44944,2I 486 20    3976152   2014743   1961409   1656380   1602298    286383    293861     18751     17136     53229     48114    211454    186493   1461309   1430445    275547    284132     16705     15395     49728     44944
2I,486,21,4138959,2094250,2044709,1735259,1681010,285562,296149,19340,18036,54089,49514,223372,194795,1528896,1501421,274261,286073,17181,16245,50540,46175,2I 486 21    4138959   2094250   2044709   1735259   1681010    285562    296149     19340     18036     54089     49514    223372    194795   1528896   1501421    274261    286073     17181     16245     50540     46175
2I,486,22,4174782,2112282,2062500,1766140,1707270,272638,287942,19247,18022,54257,49266,227665,196712,1555675,1525696,261471,277947,16949,16194,50522,45951,2I 486 22    4174782   2112282   2062500   1766140   1707270    272638    287942     19247     18022     54257     49266    227665    196712   1555675   1525696    261471    277947     16949     16194     50522     45951
2I,486,23,4206044,2118756,2087288,1777920,1729035,268116,288352,18758,17671,53962,52230,236494,203094,1558424,1541443,257076,278374,16564,15733,50198,48644,2I 486 23    4206044   2118756   2087288   1777920   1729035    268116    288352     18758     17671     53962     52230    236494    203094   1558424   1541443    257076    278374     16564     15733     50198     48644
2I,486,24,4370690,2201351,2169339,1857762,1802492,270392,295162,17583,17434,55614,54251,242811,203801,1632796,1614739,258603,284601,15352,15535,51789,50663,2I 486 24    4370690   2201351   2169339   1857762   1802492    270392    295162     17583     17434     55614     54251    242811    203801   1632796   1614739    258603    284601     15352     15535     51789     50663
2I,486,25,4395286,2208279,2187007,1869785,1818178,265881,294187,16773,16907,55840,57735,237564,202331,1649449,1631734,254630,283960,14616,14969,52020,54013,2I 486 25    4395286   2208279   2187007   1869785   1818178    265881    294187     16773     16907     55840     57735    237564    202331   1649449   1631734    254630    283960     14616     14969     52020     54013
2I,486,26,4361712,2186468,2175244,1852111,1807879,263186,291348,16091,16271,55080,59746,230563,197957,1638316,1625297,252161,281290,14097,14561,51331,56139,2I 486 26    4361712   2186468   2175244   1852111   1807879    263186    291348     16091     16271     55080     59746    230563    197957   1638316   1625297    252161    281290     14097     14561     51331     56139
2I,486,27,4384882,2195762,2189120,1862274,1819866,261402,292324,15327,15967,56759,60963,218642,191212,1659630,1643761,250690,282376,13488,14364,53312,57407,2I 486 27    4384882   2195762   2189120   1862274   1819866    261402    292324     15327     15967     56759     60963    218642    191212   1659630   1643761    250690    282376     13488     14364     53312     57407
2I,486,28,4204689,2102625,2102064,1787507,1753325,246035,273956,14246,14406,54837,60377,200496,180729,1601330,1586544,236772,265071,12434,12732,51593,56988,2I 486 28    4204689   2102625   2102064   1787507   1753325    246035    273956     14246     14406     54837     60377    200496    180729   1601330   1586544    236772    265071     12434     12732     51593     56988
2I,486,29,4480495,2245316,2235179,1897251,1852505,269722,299892,15734,16093,62609,66689,210202,191237,1702471,1675921,259561,290428,13846,14399,59236,63194,2I 486 29    4480495   2245316   2235179   1897251   1852505    269722    299892     15734     16093     62609     66689    210202    191237   1702471   1675921    259561    290428     13846     14399     59236     63194
2I,486,30,4320198,2153365,2166833,1824841,1798340,252009,285323,15729,16847,60786,66323,191140,179648,1647721,1632599,242915,276575,13878,15039,57711,62972,2I 486 30    4320198   2153365   2166833   1824841   1798340    252009    285323     15729     16847     60786     66323    191140    179648   1647721   1632599    242915    276575     13878     15039     57711     62972
2I,486,31,4143222,2062217,2081005,1753181,1732231,233519,267809,13540,13692,61977,67273,177409,167837,1588682,1576931,225281,260034,11936,12265,58909,63938,2I 486 31    4143222   2062217   2081005   1753181   1732231    233519    267809     13540     13692     61977     67273    177409    167837   1588682   1576931    225281    260034     11936     12265     58909     63938
2I,486,32,4047356,2009413,2037943,1711656,1701973,223328,256549,14162,14701,60267,64720,165109,159613,1558215,1554799,215969,248952,12727,13216,57393,61363,2I 486 32    4047356   2009413   2037943   1711656   1701973    223328    256549     14162     14701     60267     64720    165109    159613   1558215   1554799    215969    248952     12727     13216     57393     61363
