Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.00289000,100000.00000000,289.00000000,99746.00000000,7934858.00000000,79.35000000,,0.00000000,0.00244000,100000.00000000,244.00000000,99787.00000000,8322368.00000000,83.22000000
1.00000000,0.00023000,99711.00000000,23.00000000,99700.00000000,7835112.00000000,78.58000000,,1.00000000,0.00020000,99756.00000000,20.00000000,99746.00000000,8222581.00000000,82.43000000
2.00000000,0.00016000,99688.00000000,15.00000000,99681.00000000,7735412.00000000,77.60000000,,2.00000000,0.00013000,99736.00000000,13.00000000,99730.00000000,8122835.00000000,81.44000000
3.00000000,0.00013000,99673.00000000,13.00000000,99666.00000000,7635732.00000000,76.61000000,,3.00000000,0.00010000,99724.00000000,10.00000000,99719.00000000,8023105.00000000,80.45000000
4.00000000,0.00010000,99660.00000000,10.00000000,99655.00000000,7536065.00000000,75.62000000,,4.00000000,0.00007000,99714.00000000,7.00000000,99710.00000000,7923386.00000000,79.46000000
5.00000000,0.00009000,99650.00000000,9.00000000,99645.00000000,7436410.00000000,74.63000000,,5.00000000,0.00007000,99707.00000000,7.00000000,99703.00000000,7823675.00000000,78.47000000
6.00000000,0.00009000,99641.00000000,9.00000000,99637.00000000,7336765.00000000,73.63000000,,6.00000000,0.00007000,99700.00000000,7.00000000,99697.00000000,7723972.00000000,77.47000000
7.00000000,0.00008000,99632.00000000,8.00000000,99628.00000000,7237128.00000000,72.64000000,,7.00000000,0.00007000,99693.00000000,7.00000000,99690.00000000,7624275.00000000,76.48000000
8.00000000,0.00007000,99624.00000000,7.00000000,99621.00000000,7137500.00000000,71.64000000,,8.00000000,0.00006000,99687.00000000,6.00000000,99684.00000000,7524585.00000000,75.48000000
9.00000000,0.00005000,99617.00000000,5.00000000,99615.00000000,7037879.00000000,70.65000000,,9.00000000,0.00006000,99680.00000000,5.00000000,99678.00000000,7424902.00000000,74.49000000
10.00000000,0.00004000,99612.00000000,4.00000000,99610.00000000,6938264.00000000,69.65000000,,10.00000000,0.00005000,99675.00000000,5.00000000,99673.00000000,7325224.00000000,73.49000000
11.00000000,0.00004000,99608.00000000,4.00000000,99606.00000000,6838654.00000000,68.66000000,,11.00000000,0.00005000,99670.00000000,5.00000000,99668.00000000,7225552.00000000,72.49000000
12.00000000,0.00008000,99604.00000000,8.00000000,99600.00000000,6739048.00000000,67.66000000,,12.00000000,0.00006000,99665.00000000,6.00000000,99662.00000000,7125884.00000000,71.50000000
13.00000000,0.00016000,99596.00000000,16.00000000,99588.00000000,6639448.00000000,66.66000000,,13.00000000,0.00010000,99659.00000000,10.00000000,99654.00000000,7026222.00000000,70.50000000
14.00000000,0.00027000,99580.00000000,27.00000000,99567.00000000,6539860.00000000,65.67000000,,14.00000000,0.00014000,99650.00000000,14.00000000,99642.00000000,6926567.00000000,69.51000000
15.00000000,0.00039000,99553.00000000,39.00000000,99534.00000000,6440293.00000000,64.69000000,,15.00000000,0.00020000,99635.00000000,20.00000000,99626.00000000,6826925.00000000,68.52000000
16.00000000,0.00051000,99514.00000000,50.00000000,99489.00000000,6340759.00000000,63.72000000,,16.00000000,0.00024000,99616.00000000,24.00000000,99604.00000000,6727299.00000000,67.53000000
17.00000000,0.00061000,99464.00000000,60.00000000,99434.00000000,6241270.00000000,62.75000000,,17.00000000,0.00028000,99591.00000000,28.00000000,99578.00000000,6627696.00000000,66.55000000
18.00000000,0.00069000,99403.00000000,68.00000000,99369.00000000,6141836.00000000,61.79000000,,18.00000000,0.00030000,99564.00000000,29.00000000,99549.00000000,6528118.00000000,65.57000000
19.00000000,0.00075000,99335.00000000,75.00000000,99298.00000000,6042467.00000000,60.83000000,,19.00000000,0.00030000,99534.00000000,30.00000000,99519.00000000,6428569.00000000,64.59000000
20.00000000,0.00081000,99261.00000000,81.00000000,99220.00000000,5943169.00000000,59.87000000,,20.00000000,0.00030000,99505.00000000,30.00000000,99490.00000000,6329050.00000000,63.61000000
21.00000000,0.00087000,99180.00000000,86.00000000,99137.00000000,5843949.00000000,58.92000000,,21.00000000,0.00030000,99475.00000000,30.00000000,99460.00000000,6229560.00000000,62.62000000
22.00000000,0.00090000,99094.00000000,89.00000000,99049.00000000,5744813.00000000,57.97000000,,22.00000000,0.00030000,99445.00000000,30.00000000,99430.00000000,6130100.00000000,61.64000000
23.00000000,0.00089000,99004.00000000,88.00000000,98960.00000000,5645764.00000000,57.03000000,,23.00000000,0.00031000,99415.00000000,31.00000000,99400.00000000,6030670.00000000,60.66000000
24.00000000,0.00085000,98916.00000000,84.00000000,98874.00000000,5546803.00000000,56.08000000,,24.00000000,0.00032000,99384.00000000,32.00000000,99368.00000000,5931270.00000000,59.68000000
25.00000000,0.00081000,98832.00000000,80.00000000,98792.00000000,5447929.00000000,55.12000000,,25.00000000,0.00033000,99353.00000000,33.00000000,99336.00000000,5831902.00000000,58.70000000
26.00000000,0.00077000,98752.00000000,76.00000000,98714.00000000,5349137.00000000,54.17000000,,26.00000000,0.00034000,99320.00000000,34.00000000,99303.00000000,5732565.00000000,57.72000000
27.00000000,0.00075000,98676.00000000,74.00000000,98639.00000000,5250423.00000000,53.21000000,,27.00000000,0.00036000,99286.00000000,35.00000000,99269.00000000,5633262.00000000,56.74000000
28.00000000,0.00075000,98602.00000000,74.00000000,98565.00000000,5151784.00000000,52.25000000,,28.00000000,0.00038000,99251.00000000,38.00000000,99232.00000000,5533993.00000000,55.76000000
29.00000000,0.00078000,98528.00000000,77.00000000,98490.00000000,5053218.00000000,51.29000000,,29.00000000,0.00041000,99214.00000000,40.00000000,99193.00000000,5434761.00000000,54.78000000
30.00000000,0.00081000,98452.00000000,80.00000000,98412.00000000,4954728.00000000,50.33000000,,30.00000000,0.00044000,99173.00000000,43.00000000,99152.00000000,5335567.00000000,53.80000000
31.00000000,0.00085000,98372.00000000,84.00000000,98330.00000000,4856317.00000000,49.37000000,,31.00000000,0.00047000,99130.00000000,47.00000000,99106.00000000,5236416.00000000,52.82000000
32.00000000,0.00090000,98288.00000000,88.00000000,98244.00000000,4757987.00000000,48.41000000,,32.00000000,0.00052000,99083.00000000,51.00000000,99057.00000000,5137309.00000000,51.85000000
33.00000000,0.00096000,98199.00000000,95.00000000,98152.00000000,4659744.00000000,47.45000000,,33.00000000,0.00057000,99032.00000000,57.00000000,99003.00000000,5038252.00000000,50.88000000
34.00000000,0.00104000,98105.00000000,102.00000000,98054.00000000,4561592.00000000,46.50000000,,34.00000000,0.00063000,98975.00000000,63.00000000,98944.00000000,4939249.00000000,49.90000000
35.00000000,0.00113000,98003.00000000,110.00000000,97948.00000000,4463538.00000000,45.54000000,,35.00000000,0.00070000,98912.00000000,69.00000000,98878.00000000,4840306.00000000,48.94000000
