"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1957","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Includes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","171984130","85248426","86735704","152768656","75859479","76909177","19215474","9388947","9826527"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","4035155","2053879","1981276","3443933","1758628","1685305","591222","295251","295971"
"9","1","3923917","1997197","1926720","3363955","1716431","1647524","559962","280766","279196"
"10","2","3912759","1990517","1922242","3353999","1711429","1642570","558760","279088","279672"
"11","3","3847648","1954122","1893526","3313455","1688226","1625229","534193","265896","268297"
"12","4","3774329","1922689","1851640","3262682","1665872","1596810","511647","256817","254830"
"13","5","3679934","1873133","1806801","3187076","1627975","1559101","492858","245158","247700"
"14","6","3582421","1819059","1763362","3090062","1574016","1516046","492359","245043","247316"
"15","7","3474852","1769867","1704985","3005474","1535245","1470229","469378","234622","234756"
"16","8","3449670","1754686","1694984","2996671","1527486","1469185","452999","227200","225799"
"17","9","3437541","1751716","1685825","3007265","1535510","1471755","430276","216206","214070"
"18","10","3742297","1908105","1834192","3312894","1692463","1620431","429403","215642","213761"
"19","11","2726273","1387388","1338885","2377433","1213060","1164373","348840","174328","174512"
"20","12","2781183","1416698","1364485","2417981","1234941","1183040","363202","181757","181445"
"21","13","2798675","1422541","1376134","2446450","1245646","1200804","352225","176895","175330"
"22","14","2996847","1523677","1473170","2639602","1344037","1295565","357245","179640","177605"
"23","15","2603159","1317424","1285735","2270823","1151917","1118906","332336","165507","166829"
"24","16","2407100","1215361","1191739","2104317","1065948","1038369","302783","149413","153370"
"25","17","2296166","1157235","1138931","2000817","1012332","988485","295349","144903","150446"
"26","18","2274288","1148494","1125794","1991120","1008426","982694","283168","140068","143100"
"27","19","2217436","1116541","1100895","1943650","982157","961493","273786","134384","139402"
"28","20","2122410","1057727","1064683","1862723","934106","928617","259687","123621","136066"
"29","21","2133334","1064524","1068810","1872084","940366","931718","261250","124158","137092"
"30","22","2151036","1073606","1077430","1888578","948900","939678","262458","124706","137752"
"31","23","2087107","1044739","1042368","1824235","919330","904905","262872","125409","137463"
"32","24","2109080","1050718","1058362","1847457","926879","920578","261623","123839","137784"
"33","25","2167481","1077286","1090195","1906801","954876","951925","260680","122410","138270"
"34","26","2303937","1150705","1153232","2048391","1030935","1017456","255546","119770","135776"
"35","27","2370125","1181419","1188706","2110798","1059873","1050925","259327","121546","137781"
"36","28","2325111","1149469","1175642","2063412","1026982","1036430","261699","122487","139212"
"37","29","2373166","1169409","1203757","2109426","1046262","1063164","263740","123147","140593"
"38","30","2399249","1181828","1217421","2134780","1058629","1076151","264469","123199","141270"
"39","31","2441863","1204422","1237441","2171876","1078704","1093172","269987","125718","144269"
"40","32","2462482","1209360","1253122","2187314","1081074","1106240","275168","128286","146882"
"41","33","2507964","1230826","1277138","2228216","1099906","1128310","279748","130920","148828"
"42","34","2492400","1220591","1271809","2211319","1088185","1123134","281081","132406","148675"
"43","35","2546473","1249956","1296517","2269002","1118213","1150789","277471","131743","145728"
"44","36","2533176","1242678","1290498","2262947","1113129","1149818","270229","129549","140680"
"45","37","2476432","1217546","1258886","2214267","1090747","1123520","262165","126799","135366"
"46","38","2358489","1155848","1202641","2105006","1032478","1072528","253483","123370","130113"
"47","39","2353961","1159176","1194785","2108187","1039362","1068825","245774","119814","125960"
"48","40","2329121","1148222","1180899","2088370","1031215","1057155","240751","117007","123744"
"49","41","2291428","1130675","1160753","2053889","1016033","1037856","237539","114642","122897"
"50","42","2249872","1108645","1141227","2015594","996281","1019313","234278","112364","121914"
"51","43","2234056","1100303","1133753","2002671","989663","1013008","231385","110640","120745"
"52","44","2223462","1096366","1127096","1996195","987554","1008641","227267","108812","118455"
