"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1905","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","83822000","42965000","40857000","74059000","38072000","35987000","9763000","4893000","4870000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2010000","1019000","991000","1754000","891000","863000","256000","128000","128000"
"9","1","2006000","1014000","992000","1746000","885000","861000","260000","129000","131000"
"10","2","1995000","1007000","988000","1733000","877000","856000","262000","130000","132000"
"11","3","1977000","997000","980000","1714000","867000","847000","263000","130000","133000"
"12","4","1956000","986000","970000","1693000","856000","837000","263000","130000","133000"
"13","5","1929000","972000","957000","1668000","843000","825000","261000","129000","132000"
"14","6","1898000","957000","941000","1640000","829000","811000","258000","128000","130000"
"15","7","1867000","942000","925000","1612000","815000","797000","255000","127000","128000"
"16","8","1832000","925000","907000","1582000","800000","782000","250000","125000","125000"
"17","9","1800000","909000","891000","1554000","786000","768000","246000","123000","123000"
"18","10","1765000","892000","873000","1525000","772000","753000","240000","120000","120000"
"19","11","1730000","876000","854000","1496000","758000","738000","234000","118000","116000"
"20","12","1703000","862000","841000","1473000","746000","727000","230000","116000","114000"
"21","13","1686000","851000","835000","1461000","738000","723000","225000","113000","112000"
"22","14","1678000","843000","835000","1458000","734000","724000","220000","109000","111000"
"23","15","1668000","835000","833000","1452000","729000","723000","216000","106000","110000"
"24","16","1656000","825000","831000","1446000","723000","723000","210000","102000","108000"
"25","17","1652000","821000","831000","1444000","721000","723000","208000","100000","108000"
"26","18","1653000","821000","832000","1444000","721000","723000","209000","100000","109000"
"27","19","1660000","826000","834000","1447000","724000","723000","213000","102000","111000"
"28","20","1665000","829000","836000","1449000","726000","723000","216000","103000","113000"
"29","21","1670000","832000","838000","1451000","728000","723000","219000","104000","115000"
"30","22","1664000","831000","833000","1445000","727000","718000","219000","104000","115000"
"31","23","1638000","822000","816000","1426000","721000","705000","212000","101000","111000"
"32","24","1600000","808000","792000","1398000","711000","687000","202000","97000","105000"
"33","25","1561000","794000","767000","1369000","701000","668000","192000","93000","99000"
"34","26","1523000","780000","743000","1341000","691000","650000","182000","89000","93000"
"35","27","1481000","764000","717000","1309000","679000","630000","172000","85000","87000"
"36","28","1434000","743000","691000","1272000","662000","610000","162000","81000","81000"
"37","29","1383000","718000","665000","1231000","642000","589000","152000","76000","76000"
"38","30","1332000","694000","638000","1191000","623000","568000","141000","71000","70000"
"39","31","1277000","667000","610000","1147000","601000","546000","130000","66000","64000"
"40","32","1235000","647000","588000","1112000","584000","528000","123000","63000","60000"
"41","33","1210000","635000","575000","1091000","574000","517000","119000","61000","58000"
"42","34","1195000","628000","567000","1076000","567000","509000","119000","61000","58000"
"43","35","1181000","621000","560000","1062000","560000","502000","119000","61000","58000"
"44","36","1166000","613000","553000","1046000","552000","494000","120000","61000","59000"
"45","37","1146000","603000","543000","1027000","542000","485000","119000","61000","58000"
"46","38","1113000","587000","526000","999000","529000","470000","114000","58000","56000"
"47","39","1071000","566000","505000","965000","512000","453000","106000","54000","52000"
"48","40","1032000","547000","485000","934000","497000","437000","98000","50000","48000"
"49","41","994000","529000","465000","902000","482000","420000","92000","47000","45000"
"50","42","955000","509000","446000","869000","465000","404000","86000","44000","42000"
"51","43","919000","490000","429000","837000","448000","389000","82000","42000","40000"
"52","44","884000","471000","413000","803000","429000","374000","81000","42000","39000"
"53","45","848000","452000","396000","769000","411000","358000","79000","41000","38000"
"54","46","811000","431000","380000","734000","391000","343000","77000","40000","37000"
"55","47","779000","415000","364000","704000","375000","329000","75000","40000","35000"
"56","48","758000","404000","354000","685000","365000","320000","73000","39000","34000"
"57","49","744000","398000","346000","671000","359000","312000","73000","39000","34000"
"58","50","730000","392000","338000","658000","353000","305000","72000","39000","33000"
"59","51","716000","386000","330000","645000","347000","298000","71000","39000","32000"
"60","52","695000","375000","320000","626000","337000","289000","69000","38000","31000"
"61","53","657000","354000","303000","594000","319000","275000","63000","35000","28000"
"62","54","612000","328000","284000","555000","296000","259000","57000","32000","25000"
"63","55","570000","303000","267000","519000","275000","244000","51000","28000","23000"
"64","56","526000","278000","248000","481000","253000","228000","45000","25000","20000"
"65","57","490000","257000","233000","450000","235000","215000","40000","22000","18000"
"66","58","467000","244000","223000","429000","223000","206000","38000","21000","17000"
"67","59","451000","235000","216000","413000","214000","199000","38000","21000","17000"
"68","60","437000","227000","210000","398000","206000","192000","39000","21000","18000"
"69","61","423000","219000","204000","383000","197000","186000","40000","22000","18000"
"70","62","405000","209000","196000","366000","188000","178000","39000","21000","18000"
"71","63","386000","199000","187000","349000","179000","170000","37000","20000","17000"
"72","64","362000","186000","176000","329000","168000","161000","33000","18000","15000"
"73","65","339000","174000","165000","310000","158000","152000","29000","16000","13000"
"74","66","319000","164000","155000","292000","149000","143000","27000","15000","12000"
"75","67","297000","152000","145000","273000","139000","134000","24000","13000","11000"
"76","68","277000","142000","135000","255000","130000","125000","22000","12000","10000"
"77","69","257000","131000","126000","238000","121000","117000","19000","10000","9000"
"78","70","236000","120000","116000","219000","111000","108000","17000","9000","8000"
"79","71","217000","110000","107000","201000","102000","99000","16000","8000","8000"
"80","72","199000","101000","98000","183000","93000","90000","16000","8000","8000"
"81","73","181000","91000","90000","165000","83000","82000","16000","8000","8000"
"82","74","164000","82000","82000","147000","74000","73000","17000","8000","9000"
"83","75+","1019000","498000","521000","924000","453000","471000","95000","45000","50000"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"93","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
