"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1955","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Includes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","165931202","82363638","83567564","147652501","73419797","74232704","18278701","8943841","9334860"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","3777404","1923184","1854220","3237773","1654220","1583553","539631","268964","270667"
"9","1","3764469","1918117","1846352","3249524","1659718","1589806","514945","258399","256546"
"10","2","3744444","1903425","1841019","3228153","1645480","1582673","516291","257945","258346"
"11","3","3676466","1869138","1807328","3182149","1624022","1558127","494317","245116","249201"
"12","4","3603530","1835232","1768298","3109883","1587718","1522165","493647","247514","246133"
"13","5","3449161","1756241","1692920","2989385","1526605","1462780","459776","229636","230140"
"14","6","3452324","1755105","1697219","3001197","1529766","1471431","451127","225339","225788"
"15","7","3465773","1767723","1698050","3034443","1551715","1482728","431330","216008","215322"
"16","8","3698230","1883933","1814297","3282869","1676044","1606825","415361","207889","207472"
"17","9","2683429","1365725","1317704","2343326","1196090","1147236","340103","169635","170468"
"18","10","2769205","1412355","1356850","2408084","1231258","1176826","361121","181097","180024"
"19","11","2814443","1433664","1380779","2458963","1254510","1204453","355480","179154","176326"
"20","12","2980158","1519124","1461034","2621875","1338453","1283422","358283","180671","177612"
"21","13","2612448","1329003","1283445","2273309","1158432","1114877","339139","170571","168568"
"22","14","2461584","1249862","1211722","2139385","1088660","1050725","322199","161202","160997"
"23","15","2294550","1157562","1136988","1993097","1009623","983474","301453","147939","153514"
"24","16","2254733","1138024","1116709","1971866","998635","973231","282867","139389","143478"
"25","17","2235977","1127119","1108858","1953868","988539","965329","282109","138580","143529"
"26","18","2142406","1074316","1068090","1874444","943722","930722","267962","130594","137368"
"27","19","2111504","1060628","1050876","1848559","931065","917494","262945","129563","133382"
"28","20","2135741","1068742","1066999","1874178","942920","931258","261563","125822","135741"
"29","21","2052912","1024081","1028831","1791292","900314","890978","261620","123767","137853"
"30","22","2065719","1026589","1039130","1801663","902041","899622","264056","124548","139508"
"31","23","2186847","1092574","1094273","1922045","967219","954826","264802","125355","139447"
"32","24","2272449","1138905","1133544","2011930","1016427","995503","260519","122478","138041"
"33","25","2279892","1134813","1145079","2019420","1012910","1006510","260472","121903","138569"
"34","26","2335789","1156365","1179424","2080128","1036563","1043565","255661","119802","135859"
"35","27","2449896","1216592","1233304","2192539","1095760","1096779","257357","120832","136525"
"36","28","2381075","1175987","1205088","2119141","1052906","1066235","261934","123081","138853"
"37","29","2387915","1173737","1214178","2121442","1048608","1072834","266473","125129","141344"
"38","30","2470040","1213404","1256636","2201557","1087574","1113983","268483","125830","142653"
"39","31","2496671","1229355","1267316","2223809","1101800","1122009","272862","127555","145307"
"40","32","2417837","1182768","1235069","2142317","1053966","1088351","275520","128802","146718"
"41","33","2534395","1243312","1291083","2259966","1114323","1145643","274429","128989","145440"
"42","34","2528720","1241616","1287104","2258896","1113592","1145304","269824","128024","141800"
"43","35","2421307","1189416","1231891","2157157","1062844","1094313","264150","126572","137578"
"44","36","2385690","1170227","1215463","2127653","1045205","1082448","258037","125022","133015"
"45","37","2416193","1190530","1225663","2164015","1067332","1096683","252178","123198","128980"
"46","38","2339986","1153015","1186971","2092065","1031746","1060319","247921","121269","126652"
"47","39","2293467","1130476","1162991","2048472","1011172","1037300","244995","119304","125691"
"48","40","2281314","1124535","1156779","2039211","1007184","1032027","242103","117351","124752"
"49","41","2258974","1115921","1143053","2019912","1000563","1019349","239062","115358","123704"
"50","42","2214696","1093436","1121260","1980496","980771","999725","234200","112665","121535"
"51","43","2169826","1072270","1097556","1943567","963325","980242","226259","108945","117314"
"52","44","2130086","1052769","1077317","1913990","948242","965748","216096","104527","111569"
"53","45","2123773","1050333","1073440","1917992","950271","967721","205781","100062","105719"
"54","46","2082012","1029926","1052086","1886849","934571","952278","195163","95355","99808"
"55","47","2029956","1004095","1025861","1843229","912418","930811","186727","91677","95050"
"56","48","2000462","990532","1009930","1817993","900530","917463","182469","90002","92467"
"57","49","1923642","953537","970105","1742375","863756","878619","181267","89781","91486"
"58","50","1845729","916196","929533","1665723","826692","839031","180006","89504","90502"
"59","51","1803755","896516","907239","1625136","807330","817806","178619","89186","89433"
"60","52","1750976","871491","879485","1575556","783566","791990","175420","87925","87495"
"61","53","1667258","828280","838978","1498412","743416","754996","168846","84864","83982"
"62","54","1656852","822238","834614","1496974","741761","755213","159878","80477","79401"
"63","55","1636072","810175","825897","1484721","733915","750806","151351","76260","75091"
"64","56","1574959","778403","796556","1431332","705979","725353","143627","72424","71203"
"65","57","1531865","755117","776748","1395842","686574","709268","136023","68543","67480"
"66","58","1537925","757286","780639","1409668","692828","716840","128257","64458","63799"
"67","59","1506930","740112","766818","1386555","679875","706680","120375","60237","60138"
"68","60","1446324","708656","737668","1334223","652827","681396","112101","55829","56272"
"69","61","1413664","691057","722607","1310653","640035","670618","103011","51022","51989"
"70","62","1391249","678197","713052","1294705","630689","664016","96544","47508","49036"
"71","63","1330549","646166","684383","1235747","599817","635930","94802","46349","48453"
"72","64","1252105","605954","646151","1155758","559060","596698","96347","46894","49453"
"73","65","1223262","590322","632940","1125311","542784","582527","97951","47538","50413"
"74","66","1194738","574334","620404","1094437","525734","568703","100301","48600","51701"
"75","67","1142541","547597","594944","1042960","499370","543590","99581","48227","51354"
"76","68","1080208","515755","564453","986767","470605","516162","93441","45150","48291"
"77","69","1040011","494399","545612","956406","454180","502226","83605","40219","43386"
"78","70","973290","459542","513748","899026","424001","475025","74264","35541","38723"
"79","71","899494","422454","477040","834430","391463","442967","65064","30991","34073"
"80","72","816386","381355","435031","759389","354190","405199","56997","27165","29832"
"81","73","756238","352036","404202","705153","327481","377672","51085","24555","26530"
"82","74","681157","315824","365333","634444","293033","341411","46713","22791","23922"
"83","75","618233","285829","332404","576157","264913","311244","42076","20916","21160"
"84","76","556252","255927","300325","518986","236991","281995","37266","18936","18330"
"85","77","511619","234094","277525","478700","217111","261589","32919","16983","15936"
"86","78","462459","209473","252986","433135","194373","238762","29324","15100","14224"
"87","79","421232","189008","232224","394850","175683","219167","26382","13325","13057"
"88","80","368972","163123","205849","345257","151460","193797","23715","11663","12052"
"89","81","321134","139682","181452","299883","129581","170302","21251","10101","11150"
"90","82","271953","116074","155879","253064","107471","145593","18889","8603","10286"
"91","83","226309","94611","131698","209756","87479","122277","16553","7132","9421"
"92","84","184365","75034","109331","169869","69345","100524","14496","5689","8807"
