"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1934","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","126373773","63726196","62647577","113527128","57369149","56157979","12846645","6357047","6489598"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","1874566","953093","921473","1655616","844869","810747","218950","108224","110726"
"9","1","1917215","969990","947225","1697258","861389","835869","219957","108601","111356"
"10","2","2107742","1063573","1044169","1858959","940780","918179","248783","122793","125990"
"11","3","2204350","1115475","1088875","1945440","987391","958049","258910","128084","130826"
"12","4","2226918","1125710","1101208","1962570","994819","967751","264348","130891","133457"
"13","5","2314488","1178761","1135727","2031915","1036945","994970","282573","141816","140757"
"14","6","2360580","1212036","1148544","2070720","1066260","1004460","289860","145776","144084"
"15","7","2418028","1232465","1185563","2125019","1085836","1039183","293009","146629","146380"
"16","8","2426895","1235121","1191774","2138677","1090530","1048147","288218","144591","143627"
"17","9","2461216","1247884","1213332","2176373","1106173","1070200","284843","141711","143132"
"18","10","2488388","1256323","1232065","2200529","1114339","1086190","287859","141984","145875"
"19","11","2478235","1248932","1229303","2194560","1109442","1085118","283675","139490","144185"
"20","12","2524902","1269522","1255380","2239634","1129532","1110102","285268","139990","145278"
"21","13","2490904","1252863","1238041","2215749","1118184","1097565","275155","134679","140476"
"22","14","2438135","1223412","1214723","2170037","1092711","1077326","268098","130701","137397"
"23","15","2394491","1198826","1195665","2132926","1071697","1061229","261565","127129","134436"
"24","16","2358069","1178448","1179621","2102153","1054440","1047713","255916","124008","131908"
"25","17","2335716","1165123","1170593","2082222","1042746","1039476","253494","122377","131117"
"26","18","2324571","1157466","1167105","2070947","1035531","1035416","253624","121935","131689"
"27","19","2311912","1149189","1162723","2058005","1027611","1030394","253907","121578","132329"
"28","20","2296708","1139860","1156848","2042476","1018599","1023877","254232","121261","132971"
"29","21","2277711","1128725","1148986","2024193","1008195","1015998","253518","120530","132988"
"30","22","2252239","1114355","1137884","2001669","995484","1006185","250570","118871","131699"
"31","23","2221351","1097348","1124003","1975517","980859","994658","245834","116489","129345"
"32","24","2189700","1080202","1109498","1948818","966132","982686","240882","114070","126812"
"33","25","2158347","1063429","1094918","1922642","951819","970823","235705","111610","124095"
"34","26","2125615","1046599","1079016","1894363","937065","957298","231252","109534","121718"
"35","27","2090799","1029721","1061078","1862263","921444","940819","228536","108277","120259"
"36","28","2054477","1012933","1041544","1827411","905303","922108","227066","107630","119436"
"37","29","2018315","996511","1021804","1792677","889473","903204","225638","107038","118600"
"38","30","1983039","980745","1002294","1758521","874147","884374","224518","106598","117920"
"39","31","1948327","965396","982931","1726792","859976","866816","221535","105420","116115"
"40","32","1914096","950280","963816","1699399","847610","851789","214697","102670","112027"
"41","33","1880940","935715","945225","1676086","837026","839060","204854","98689","106165"
"42","34","1847771","921325","926446","1653250","826813","826437","194521","94512","100009"
"43","35","1812339","905970","906369","1628763","815885","812878","183576","90085","93491"
"44","36","1785632","895137","890495","1610687","808555","802132","174945","86582","88363"
"45","37","1776617","893313","883304","1605232","808193","797039","171385","85120","86265"
"46","38","1780802","898212","882590","1608986","812952","796034","171816","85260","86556"
"47","39","1786003","903576","882427","1613363","818022","795341","172640","85554","87086"
"48","40","1792212","909310","882902","1618443","823322","795121","173769","85988","87781"
"49","41","1786626","909181","877445","1613781","823654","790127","172845","85527","87318"
"50","42","1757015","897206","859809","1589564","814071","775493","167451","83135","84316"
"51","43","1707653","875406","832247","1549160","796202","752958","158493","79204","79289"
"52","44","1655208","851922","803286","1505901","776764","729137","149307","75158","74149"
"53","45","1601747","827823","773924","1461621","756726","704895","140126","71097","69029"
"54","46","1549502","803629","745873","1417253","736001","681252","132249","67628","64621"
"55","47","1502491","780800","721691","1375336","715366","659970","127155","65434","61721"
"56","48","1459762","759034","700728","1335515","694802","640713","124247","64232","60015"
"57","49","1415542","736186","679356","1294227","673188","621039","121315","62998","58317"
"58","50","1368941","711899","657042","1250853","650306","600547","118088","61593","56495"
"59","51","1322842","687734","635108","1208369","627717","580652","114473","60017","54456"
"60","52","1279010","664754","614256","1168862","606600","562262","110148","58154","51994"
"61","53","1237089","642769","594320","1131833","586721","545112","105256","56048","49208"
"62","54","1195651","620856","574795","1095151","566877","528274","100500","53979","46521"
"63","55","1154909","599111","555798","1058770","547030","511740","96139","52081","44058"
"64","56","1112756","576532","536224","1021429","526685","494744","91327","49847","41480"
"65","57","1067220","552139","515081","981790","505261","476529","85430","46878","38552"
"66","58","1019038","526355","492683","940314","483008","457306","78724","43347","35377"
"67","59","970775","500498","470277","898811","460751","438060","71964","39747","32217"
"68","60","922554","474623","447931","857428","438536","418892","65126","36087","29039"
"69","61","876093","449790","426303","816950","416961","399989","59143","32829","26314"
"70","62","833032","426970","406062","778158","396557","381601","54874","30413","24461"
"71","63","792665","405754","386911","740666","377071","363595","51999","28683","23316"
"72","64","752753","384892","367861","703372","357839","345533","49381","27053","22328"
"73","65","713921","364436","349485","666976","338940","328036","46945","25496","21449"
"74","66","674017","343445","330572","629705","319594","310111","44312","23851","20461"
"75","67","631809","321082","310727","590751","299136","291615","41058","21946","19112"
"76","68","588043","297790","290253","550718","277937","272781","37325","19853","17472"
"77","69","544668","274745","269923","510958","256908","254050","33710","17837","15873"
"78","70","501675","251946","249729","471414","236033","235381","30261","15913","14348"
"79","71","460993","230503","230490","433927","216362","217565","27066","14141","12925"
"80","72","424519","211508","213011","400247","198912","201335","24272","12596","11676"
"81","73","391695","194625","197070","369847","183370","186477","21848","11255","10593"
"82","74","360103","178425","181678","340510","168415","172095","19593","10010","9583"
"83","75+","2291095","1088954","1202141","2146101","1020749","1125352","144994","68205","76789"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"93","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
