Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.03279000,100000.00000000,3279.00000000,97115.00000000,6562871.00000000,65.63000000,,0.00000000,0.02551000,100000.00000000,2551.00000000,97793.00000000,7112836.00000000,71.13000000
1.00000000,0.00245000,96721.00000000,237.00000000,96602.00000000,6465756.00000000,66.85000000,,1.00000000,0.00204000,97449.00000000,199.00000000,97350.00000000,7015043.00000000,71.99000000
2.00000000,0.00141000,96484.00000000,136.00000000,96416.00000000,6369153.00000000,66.01000000,,2.00000000,0.00117000,97250.00000000,114.00000000,97193.00000000,6917694.00000000,71.13000000
3.00000000,0.00115000,96348.00000000,111.00000000,96293.00000000,6272737.00000000,65.10000000,,3.00000000,0.00099000,97136.00000000,96.00000000,97088.00000000,6820501.00000000,70.22000000
4.00000000,0.00086000,96238.00000000,83.00000000,96196.00000000,6176444.00000000,64.18000000,,4.00000000,0.00074000,97041.00000000,72.00000000,97005.00000000,6723412.00000000,69.28000000
5.00000000,0.00079000,96155.00000000,76.00000000,96117.00000000,6080248.00000000,63.23000000,,5.00000000,0.00064000,96969.00000000,62.00000000,96938.00000000,6626408.00000000,68.34000000
6.00000000,0.00074000,96079.00000000,71.00000000,96043.00000000,5984132.00000000,62.28000000,,6.00000000,0.00056000,96907.00000000,54.00000000,96880.00000000,6529470.00000000,67.38000000
7.00000000,0.00070000,96008.00000000,67.00000000,95974.00000000,5888088.00000000,61.33000000,,7.00000000,0.00050000,96853.00000000,48.00000000,96829.00000000,6432590.00000000,66.42000000
8.00000000,0.00066000,95941.00000000,63.00000000,95910.00000000,5792114.00000000,60.37000000,,8.00000000,0.00045000,96804.00000000,44.00000000,96782.00000000,6335761.00000000,65.45000000
9.00000000,0.00062000,95878.00000000,59.00000000,95848.00000000,5696204.00000000,59.41000000,,9.00000000,0.00042000,96760.00000000,41.00000000,96740.00000000,6238979.00000000,64.48000000
10.00000000,0.00060000,95819.00000000,57.00000000,95790.00000000,5600356.00000000,58.45000000,,10.00000000,0.00040000,96720.00000000,39.00000000,96700.00000000,6142239.00000000,63.51000000
11.00000000,0.00060000,95762.00000000,57.00000000,95733.00000000,5504566.00000000,57.48000000,,11.00000000,0.00040000,96681.00000000,39.00000000,96661.00000000,6045539.00000000,62.53000000
12.00000000,0.00065000,95704.00000000,63.00000000,95673.00000000,5408833.00000000,56.52000000,,12.00000000,0.00043000,96642.00000000,41.00000000,96621.00000000,5948877.00000000,61.56000000
13.00000000,0.00077000,95642.00000000,74.00000000,95605.00000000,5313160.00000000,55.55000000,,13.00000000,0.00048000,96601.00000000,46.00000000,96578.00000000,5852256.00000000,60.58000000
14.00000000,0.00093000,95568.00000000,89.00000000,95524.00000000,5217555.00000000,54.60000000,,14.00000000,0.00055000,96555.00000000,53.00000000,96529.00000000,5755678.00000000,59.61000000
15.00000000,0.00111000,95479.00000000,106.00000000,95426.00000000,5122031.00000000,53.65000000,,15.00000000,0.00063000,96502.00000000,61.00000000,96472.00000000,5659149.00000000,58.64000000
16.00000000,0.00128000,95374.00000000,122.00000000,95313.00000000,5026605.00000000,52.70000000,,16.00000000,0.00071000,96442.00000000,69.00000000,96407.00000000,5562677.00000000,57.68000000
17.00000000,0.00144000,95252.00000000,137.00000000,95183.00000000,4931292.00000000,51.77000000,,17.00000000,0.00079000,96373.00000000,76.00000000,96335.00000000,5466269.00000000,56.72000000
18.00000000,0.00157000,95115.00000000,150.00000000,95040.00000000,4836109.00000000,50.84000000,,18.00000000,0.00084000,96297.00000000,81.00000000,96257.00000000,5369934.00000000,55.76000000
19.00000000,0.00168000,94965.00000000,160.00000000,94885.00000000,4741069.00000000,49.92000000,,19.00000000,0.00088000,96216.00000000,85.00000000,96174.00000000,5273678.00000000,54.81000000
20.00000000,0.00180000,94805.00000000,171.00000000,94720.00000000,4646184.00000000,49.01000000,,20.00000000,0.00092000,96132.00000000,88.00000000,96087.00000000,5177504.00000000,53.86000000
21.00000000,0.00192000,94635.00000000,181.00000000,94544.00000000,4551464.00000000,48.10000000,,21.00000000,0.00097000,96043.00000000,93.00000000,95997.00000000,5081416.00000000,52.91000000
22.00000000,0.00199000,94453.00000000,188.00000000,94360.00000000,4456920.00000000,47.19000000,,22.00000000,0.00101000,95950.00000000,97.00000000,95902.00000000,4985420.00000000,51.96000000
23.00000000,0.00201000,94266.00000000,189.00000000,94171.00000000,4362560.00000000,46.28000000,,23.00000000,0.00105000,95854.00000000,101.00000000,95803.00000000,4889518.00000000,51.01000000
24.00000000,0.00199000,94077.00000000,187.00000000,93983.00000000,4268389.00000000,45.37000000,,24.00000000,0.00109000,95753.00000000,104.00000000,95701.00000000,4793714.00000000,50.06000000
25.00000000,0.00196000,93890.00000000,184.00000000,93798.00000000,4174406.00000000,44.46000000,,25.00000000,0.00113000,95649.00000000,108.00000000,95595.00000000,4698013.00000000,49.12000000
26.00000000,0.00194000,93706.00000000,182.00000000,93615.00000000,4080608.00000000,43.55000000,,26.00000000,0.00118000,95541.00000000,112.00000000,95485.00000000,4602418.00000000,48.17000000
