UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2011,999,311718857,153291772,158427085,120456674,122926870,19485312,21319601,1920693,1882122,7503205,8257216,352185,340675,3573703,3700601,123610250,126172106,20993493,22931702,3110730,3141404,8810016,9579590,687158,683473,126957494,132807656,97164304,100333541,18306886,20085832,1128160,1160776,7247082,8000289,257376,252975,2853686,2974243,99678920,102936979,19502307,21372313,1995935,2099290,8354254,9120724,522395,525654,26334278,25619429,23292370,22593329,1178426,1233769,792533,721346,256123,256927,94809,87700,720017,726358,23931330,23235127,1491186,1559389,1114795,1042114,455762,458866,164763,157819
R,7,2011,0,3963087,2028427,1934660,1473476,1401679,305108,295768,31891,30864,92940,87466,5978,5610,119034,113273,1583091,1505902,368926,356867,56445,54388,136464,128543,14635,13753,1500919,1427161,1020616,966802,277438,268599,17389,16572,86986,81798,3942,3643,94548,89747,1108141,1049805,329054,317890,33391,31857,122914,115669,10223,9522,527508,507499,452860,434877,27670,27169,14502,14292,5954,5668,2036,1967,24486,23526,474950,456097,39872,38977,23054,22531,13550,12874,4412,4231
R,7,2011,1,3966551,2025522,1941029,1467070,1400784,303996,295062,32544,31724,96794,92295,5941,5706,119177,115458,1576932,1506993,368054,357712,56995,55695,140237,133884,14432,13848,1503021,1437843,1020644,970821,275726,267853,17153,17005,90805,86640,3942,3748,94751,91776,1108430,1055656,327587,318424,33031,32720,126723,121081,10142,9639,522501,503186,446426,429963,28270,27209,15391,14719,5989,5655,1999,1958,24426,23682,468502,451337,40467,39288,23964,22975,13514,12803,4290,4209
R,7,2011,2,3971565,2026973,1944592,1468868,1402698,306581,298578,32711,31719,96750,93450,5941,5881,116122,112266,1575543,1505972,369130,359728,56602,54412,138919,133784,14175,13861,1511282,1448448,1028335,979039,278291,271165,17374,16955,90707,87765,3918,3904,92657,89620,1113884,1061908,329214,321008,32973,31692,125692,121326,9955,9753,515691,496144,440533,423659,28290,27413,15337,14764,6043,5685,2023,1977,23465,22646,461659,444064,39916,38720,23629,22720,13227,12458,4220,4108
R,7,2011,3,4102470,2094296,2008174,1519694,1449594,316510,308540,34033,32840,101540,98466,6167,5917,116352,112817,1626480,1553134,379073,370237,57893,55944,143792,138771,14671,13823,1560792,1496962,1062168,1011961,287706,280731,18013,17578,95644,92736,4111,3882,93150,90074,1148050,1094984,338919,331113,33655,32571,130817,126196,10333,9688,533504,511212,457526,437633,28804,27809,16020,15262,5896,5730,2056,2035,23202,22743,478430,458150,40154,39124,24238,23373,12975,12575,4338,4135
R,7,2011,4,4122294,2106323,2015971,1534875,1463544,317369,306879,34605,33069,100605,96973,6121,5996,112748,109510,1638391,1563854,377742,366062,58132,55990,141558,136228,14351,13950,1573203,1504214,1077294,1023876,289015,279788,18053,17718,94604,91370,4104,3969,90133,87493,1160470,1104362,338312,328259,33505,32651,128572,124019,10150,9789,533120,511757,457581,439668,28354,27091,16552,15351,6001,5603,2017,2027,22615,22017,477921,459492,39430,37803,24627,23339,12986,12209,4201,4161
R,7,2011,5,4087709,2089449,1998260,1533294,1457887,308429,300859,33865,32614,99704,97151,6008,5751,108149,103998,1632511,1553263,365480,356284,56888,54623,139379,134854,13883,13272,1567844,1498108,1083425,1026845,281576,274705,18056,17550,93946,91853,4014,3835,86827,83320,1163410,1103579,328447,320257,33202,31973,127132,123250,9833,9335,521605,500152,449869,431042,26853,26154,15809,15064,5758,5298,1994,1916,21322,20678,469101,449684,37033,36027,23686,22650,12247,11604,4050,3937
R,7,2011,6,4074993,2081827,1993166,1533328,1458678,304823,295311,33466,32670,100653,100155,5994,5755,103563,100597,1628098,1550573,358719,348223,56119,54484,138957,136837,13538,13029,1571153,1504565,1091869,1036884,278868,270131,18010,17565,95126,94973,4055,3967,83225,81045,1168374,1111193,323154,313785,32950,31938,127247,125815,9624,9392,510674,488601,441459,421794,25955,25180,15456,15105,5527,5182,1939,1788,20338,19552,459724,439380,35565,34438,23169,22546,11710,11022,3914,3637
R,7,2011,7,4083225,2084352,1998873,1543016,1469590,302403,293510,32610,31946,100545,101002,5781,5491,99997,97334,1634532,1558652,353729,344084,54797,53566,137736,136703,13171,12646,1586860,1519417,1111590,1054432,277573,269361,17897,17307,95168,95953,3997,3766,80635,78598,1185719,1126606,319892,311173,32744,31922,126414,125945,9506,9046,497492,479456,431426,415158,24830,24149,14713,14639,5377,5049,1784,1725,19362,18736,448813,432046,33837,32911,22053,21644,11322,10758,3665,3600
R,7,2011,8,4053203,2067969,1985234,1534363,1462847,300401,292145,32345,31305,99873,100543,5733,5479,95254,92915,1621262,1547775,349082,339688,54160,52705,135035,134731,12971,12272,1580258,1514128,1110848,1053908,276126,268898,17638,17003,94681,95508,3952,3788,77013,75023,1181394,1122792,316392,308195,32338,31467,124290,124204,9351,8915,487711,471106,423515,408939,24275,23247,14707,14302,5192,5035,1781,1691,18241,17892,439868,424983,32690,31493,21822,21238,10745,10527,3620,3357
