"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 4 through 5.","","","","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1965","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","Age","All races","NaN","NaN","White","NaN","NaN","Black","NaN","NaN","Other races","NaN","NaN"
"3","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"65","58","1849577","889021","960556","1677948","806109","871839","157045","74225","82820","14584","8687","5897"
"66","59","1752428","839804","912624","1593291","762988","830303","144986","68407","76579","14151","8409","5742"
"67","60","1658851","792523","866328","1510937","721123","789814","134186","63257","70929","13728","8143","5585"
"68","61","1564762","745047","819715","1429019","679444","749575","122537","57760","64777","13206","7843","5363"
"69","62","1489103","705705","783398","1361024","643885","717139","115364","54283","61081","12715","7537","5178"
"70","63","1442985","679114","763871","1316138","618270","697868","114579","53639","60940","12268","7205","5063"
"71","64","1416172","660692","755480","1286854","599341","687513","117574","54558","63016","11744","6793","4951"
"72","65","1387207","641224","745983","1256125","579702","676423","119998","55223","64775","11084","6299","4785"
"73","66","1353251","618587","734664","1221173","557534","663639","121828","55347","66481","10250","5706","4544"
"74","67","1314860","594958","719902","1185673","535928","649745","119961","53961","66000","9226","5069","4157"
"75","68","1270969","570736","700233","1150155","515812","634343","112681","50486","62195","8133","4438","3695"
"76","69","1224004","546687","677317","1114113","496723","617390","102687","46056","56631","7204","3908","3296"
"77","70","1176625","522526","654099","1077113","477377","599736","93128","41720","51408","6384","3429","2955"
"78","71","1134421","501476","632945","1043037","459841","583196","85753","38652","47101","5631","2983","2648"
"79","72","1082762","476634","606128","998872","438234","560638","78793","35742","43051","5097","2658","2439"
"80","73","1012772","443685","569087","936129","408625","527504","71863","32571","39292","4780","2489","2291"
"81","74","930126","405039","525087","860842","373466","487376","64670","29119","35551","4614","2454","2160"
"82","75","849660","367599","482061","787443","339368","448075","57729","25786","31943","4488","2445","2043"
"83","76","771665","331906","439759","716501","306879","409622","50765","22535","28230","4399","2492","1907"
"84","77","697251","297846","399405","648494","275737","372757","44505","19607","24898","4252","2502","1750"
"85","78","628482","266124","362358","585020","246448","338572","39505","17305","22200","3957","2371","1586"
"86","79","564733","236548","328185","525545","218851","306694","35649","15575","20074","3539","2122","1417"
"87","80","505885","209365","296520","470555","193416","277139","32268","14106","18162","3062","1843","1219"
"88","81","446842","182426","264416","415355","168253","247102","28830","12568","16262","2657","1605","1052"
"89","82","390716","157038","233678","362870","144563","218307","25575","11100","14475","2271","1375","896"
"90","83","338150","133691","204459","313767","122843","190924","22496","9706","12790","1887","1142","745"
"91","84","289252","112518","176734","268226","103213","165013","19497","8374","11123","1529","931","598"
"92","85+","1081760","397502","684258","998348","363049","635299","76153","30191","45962","7259","4262","2997"
"93","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"100","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"101","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"102","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"103","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"104","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"105","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"106","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"107","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"108","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
