"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1913","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","97225000","49957000","47268000","86705000","44663000","42042000","10520000","5294000","5226000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2279000","1160000","1119000","2027000","1033000","994000","252000","127000","125000"
"9","1","2249000","1141000","1108000","1993000","1013000","980000","256000","128000","128000"
"10","2","2217000","1122000","1095000","1958000","993000","965000","259000","129000","130000"
"11","3","2185000","1103000","1082000","1924000","974000","950000","261000","129000","132000"
"12","4","2152000","1086000","1066000","1890000","956000","934000","262000","130000","132000"
"13","5","2120000","1069000","1051000","1857000","939000","918000","263000","130000","133000"
"14","6","2088000","1053000","1035000","1826000","923000","903000","262000","130000","132000"
"15","7","2055000","1036000","1019000","1795000","907000","888000","260000","129000","131000"
"16","8","2026000","1022000","1004000","1767000","893000","874000","259000","129000","130000"
"17","9","1996000","1008000","988000","1740000","880000","860000","256000","128000","128000"
"18","10","1968000","995000","973000","1715000","868000","847000","253000","127000","126000"
"19","11","1943000","984000","959000","1693000","858000","835000","250000","126000","124000"
"20","12","1919000","971000","948000","1674000","848000","826000","245000","123000","122000"
"21","13","1901000","960000","941000","1661000","840000","821000","240000","120000","120000"
"22","14","1888000","949000","939000","1653000","833000","820000","235000","116000","119000"
"23","15","1875000","939000","936000","1646000","827000","819000","229000","112000","117000"
"24","16","1860000","928000","932000","1637000","820000","817000","223000","108000","115000"
"25","17","1854000","923000","931000","1635000","818000","817000","219000","105000","114000"
"26","18","1859000","925000","934000","1640000","821000","819000","219000","104000","115000"
"27","19","1868000","931000","937000","1648000","827000","821000","220000","104000","116000"
"28","20","1875000","937000","938000","1655000","833000","822000","220000","104000","116000"
"29","21","1883000","942000","941000","1662000","838000","824000","221000","104000","117000"
"30","22","1880000","944000","936000","1660000","840000","820000","220000","104000","116000"
"31","23","1862000","939000","923000","1646000","837000","809000","216000","102000","114000"
"32","24","1833000","930000","903000","1623000","830000","793000","210000","100000","110000"
"33","25","1804000","920000","884000","1599000","822000","777000","205000","98000","107000"
