"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1922","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","110049000","55886000","54163000","98768000","50228000","48540000","11281000","5658000","5623000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2413000","1232000","1181000","2171000","1109000","1062000","242000","123000","119000"
"9","1","2413000","1228000","1185000","2165000","1103000","1062000","248000","125000","123000"
"10","2","2408000","1222000","1186000","2156000","1096000","1060000","252000","126000","126000"
"11","3","2403000","1217000","1186000","2146000","1089000","1057000","257000","128000","129000"
"12","4","2394000","1210000","1184000","2134000","1081000","1053000","260000","129000","131000"
"13","5","2382000","1203000","1179000","2120000","1073000","1047000","262000","130000","132000"
"14","6","2366000","1194000","1172000","2102000","1063000","1039000","264000","131000","133000"
"15","7","2349000","1184000","1165000","2084000","1053000","1031000","265000","131000","134000"
"16","8","2328000","1173000","1155000","2062000","1041000","1021000","266000","132000","134000"
"17","9","2303000","1160000","1143000","2039000","1029000","1010000","264000","131000","133000"
"18","10","2278000","1147000","1131000","2014000","1016000","998000","264000","131000","133000"
"19","11","2252000","1133000","1119000","1990000","1003000","987000","262000","130000","132000"
"20","12","2220000","1116000","1104000","1960000","987000","973000","260000","129000","131000"
"21","13","2178000","1094000","1084000","1922000","967000","955000","256000","127000","129000"
"22","14","2132000","1068000","1064000","1880000","944000","936000","252000","124000","128000"
"23","15","2086000","1043000","1043000","1839000","922000","917000","247000","121000","126000"
"24","16","2041000","1018000","1023000","1799000","900000","899000","242000","118000","124000"
"25","17","2001000","995000","1006000","1763000","880000","883000","238000","115000","123000"
"26","18","1966000","975000","991000","1733000","863000","870000","233000","112000","121000"
"27","19","1935000","956000","979000","1707000","847000","860000","228000","109000","119000"
"28","20","1904000","938000","966000","1681000","832000","849000","223000","106000","117000"
"29","21","1870000","918000","952000","1652000","815000","837000","218000","103000","115000"
"30","22","1853000","909000","944000","1639000","808000","831000","214000","101000","113000"
"31","23","1861000","913000","948000","1648000","813000","835000","213000","100000","113000"
"32","24","1885000","927000","958000","1671000","826000","845000","214000","101000","113000"
"33","25","1906000","940000","966000","1692000","839000","853000","214000","101000","113000"
"34","26","1933000","956000","977000","1717000","854000","863000","216000","102000","114000"
"35","27","1934000","959000","975000","1721000","858000","863000","213000","101000","112000"
"36","28","1896000","942000","954000","1693000","846000","847000","203000","96000","107000"
"37","29","1833000","912000","921000","1644000","823000","821000","189000","89000","100000"
"38","30","1773000","884000","889000","1597000","801000","796000","176000","83000","93000"
"39","31","1710000","854000","856000","1547000","777000","770000","163000","77000","86000"
"40","32","1662000","834000","828000","1508000","761000","747000","154000","73000","81000"
"41","33","1641000","829000","812000","1489000","756000","733000","152000","73000","79000"
"42","34","1636000","834000","802000","1482000","759000","723000","154000","75000","79000"
"43","35","1626000","836000","790000","1470000","759000","711000","156000","77000","79000"
"44","36","1616000","839000","777000","1458000","759000","699000","158000","80000","78000"
"45","37","1596000","834000","762000","1438000","753000","685000","158000","81000","77000"
"46","38","1561000","816000","745000","1406000","737000","669000","155000","79000","76000"
"47","39","1515000","790000","725000","1365000","714000","651000","150000","76000","74000"
"48","40","1471000","766000","705000","1326000","693000","633000","145000","73000","72000"
"49","41","1426000","741000","685000","1286000","671000","615000","140000","70000","70000"
"50","42","1382000","717000","665000","1246000","649000","597000","136000","68000","68000"
"51","43","1338000","695000","643000","1207000","628000","579000","131000","67000","64000"
"52","44","1292000","673000","619000","1166000","607000","559000","126000","66000","60000"
"53","45","1245000","650000","595000","1126000","586000","540000","119000","64000","55000"
"54","46","1197000","626000","571000","1083000","563000","520000","114000","63000","51000"
"55","47","1156000","606000","550000","1048000","545000","503000","108000","61000","47000"
"56","48","1127000","594000","533000","1022000","534000","488000","105000","60000","45000"
"57","49","1104000","586000","518000","1003000","528000","475000","101000","58000","43000"
"58","50","1081000","578000","503000","983000","521000","462000","98000","57000","41000"
"59","51","1060000","570000","490000","965000","515000","450000","95000","55000","40000"
"60","52","1029000","556000","473000","938000","503000","435000","91000","53000","38000"
"61","53","979000","528000","451000","895000","479000","416000","84000","49000","35000"
"62","54","921000","494000","427000","844000","449000","395000","77000","45000","32000"
"63","55","864000","461000","403000","795000","421000","374000","69000","40000","29000"
"64","56","807000","427000","380000","744000","391000","353000","63000","36000","27000"
"65","57","759000","399000","360000","703000","367000","336000","56000","32000","24000"
"66","58","726000","380000","346000","673000","350000","323000","53000","30000","23000"
"67","59","701000","367000","334000","652000","339000","313000","49000","28000","21000"
"68","60","676000","353000","323000","629000","326000","303000","47000","27000","20000"
"69","61","651000","339000","312000","607000","314000","293000","44000","25000","19000"
"70","62","623000","324000","299000","582000","301000","281000","41000","23000","18000"
"71","63","591000","307000","284000","552000","285000","267000","39000","22000","17000"
