Male,,,,,,,,Female,,,,,,
x,qx,Ix,dx,Lx,Tx,eox,,x,qx,Ix,dx,Lx,Tx,eox
0.00000000,0.00205000,100000.00000000,205.00000000,99820.00000000,8523738.00000000,85.24000000,,0.00000000,0.00173000,100000.00000000,173.00000000,99849.00000000,8851000.00000000,88.51000000
1.00000000,0.00018000,99795.00000000,17.00000000,99786.00000000,8423918.00000000,84.41000000,,1.00000000,0.00015000,99827.00000000,15.00000000,99819.00000000,8751150.00000000,87.66000000
2.00000000,0.00012000,99777.00000000,12.00000000,99771.00000000,8324132.00000000,83.43000000,,2.00000000,0.00010000,99812.00000000,10.00000000,99807.00000000,8651332.00000000,86.68000000
3.00000000,0.00010000,99765.00000000,10.00000000,99761.00000000,8224361.00000000,82.44000000,,3.00000000,0.00007000,99802.00000000,7.00000000,99799.00000000,8551524.00000000,85.68000000
4.00000000,0.00007000,99756.00000000,7.00000000,99752.00000000,8124600.00000000,81.44000000,,4.00000000,0.00005000,99795.00000000,5.00000000,99792.00000000,8451726.00000000,84.69000000
5.00000000,0.00007000,99749.00000000,7.00000000,99745.00000000,8024848.00000000,80.45000000,,5.00000000,0.00005000,99790.00000000,5.00000000,99787.00000000,8351933.00000000,83.70000000
6.00000000,0.00006000,99742.00000000,6.00000000,99739.00000000,7925103.00000000,79.46000000,,6.00000000,0.00005000,99785.00000000,5.00000000,99782.00000000,8252146.00000000,82.70000000
7.00000000,0.00006000,99735.00000000,6.00000000,99732.00000000,7825365.00000000,78.46000000,,7.00000000,0.00005000,99780.00000000,5.00000000,99777.00000000,8152364.00000000,81.70000000
8.00000000,0.00005000,99729.00000000,5.00000000,99727.00000000,7725632.00000000,77.47000000,,8.00000000,0.00004000,99775.00000000,4.00000000,99773.00000000,8052586.00000000,80.71000000
9.00000000,0.00003000,99724.00000000,3.00000000,99723.00000000,7625905.00000000,76.47000000,,9.00000000,0.00004000,99771.00000000,4.00000000,99769.00000000,7952813.00000000,79.71000000
10.00000000,0.00002000,99721.00000000,2.00000000,99720.00000000,7526182.00000000,75.47000000,,10.00000000,0.00003000,99767.00000000,3.00000000,99766.00000000,7853044.00000000,78.71000000
11.00000000,0.00002000,99719.00000000,2.00000000,99718.00000000,7426462.00000000,74.47000000,,11.00000000,0.00003000,99764.00000000,3.00000000,99763.00000000,7753279.00000000,77.72000000
12.00000000,0.00005000,99717.00000000,5.00000000,99715.00000000,7326744.00000000,73.48000000,,12.00000000,0.00004000,99761.00000000,4.00000000,99759.00000000,7653516.00000000,76.72000000
13.00000000,0.00011000,99712.00000000,11.00000000,99707.00000000,7227029.00000000,72.48000000,,13.00000000,0.00007000,99758.00000000,7.00000000,99754.00000000,7553756.00000000,75.72000000
14.00000000,0.00020000,99701.00000000,20.00000000,99691.00000000,7127322.00000000,71.49000000,,14.00000000,0.00010000,99751.00000000,10.00000000,99746.00000000,7454002.00000000,74.73000000
15.00000000,0.00029000,99682.00000000,29.00000000,99667.00000000,7027631.00000000,70.50000000,,15.00000000,0.00015000,99741.00000000,15.00000000,99733.00000000,7354256.00000000,73.73000000
16.00000000,0.00038000,99652.00000000,38.00000000,99633.00000000,6927964.00000000,69.52000000,,16.00000000,0.00018000,99726.00000000,18.00000000,99717.00000000,7254523.00000000,72.74000000
17.00000000,0.00045000,99614.00000000,45.00000000,99592.00000000,6828330.00000000,68.55000000,,17.00000000,0.00021000,99708.00000000,21.00000000,99697.00000000,7154807.00000000,71.76000000
18.00000000,0.00051000,99569.00000000,51.00000000,99544.00000000,6728738.00000000,67.58000000,,18.00000000,0.00022000,99686.00000000,22.00000000,99675.00000000,7055110.00000000,70.77000000
19.00000000,0.00055000,99519.00000000,55.00000000,99491.00000000,6629194.00000000,66.61000000,,19.00000000,0.00022000,99664.00000000,22.00000000,99653.00000000,6955434.00000000,69.79000000
20.00000000,0.00059000,99464.00000000,59.00000000,99434.00000000,6529703.00000000,65.65000000,,20.00000000,0.00022000,99642.00000000,22.00000000,99631.00000000,6855781.00000000,68.80000000
21.00000000,0.00063000,99405.00000000,62.00000000,99374.00000000,6430269.00000000,64.69000000,,21.00000000,0.00022000,99620.00000000,22.00000000,99609.00000000,6756150.00000000,67.82000000
22.00000000,0.00064000,99343.00000000,64.00000000,99311.00000000,6330895.00000000,63.73000000,,22.00000000,0.00022000,99598.00000000,22.00000000,99587.00000000,6656541.00000000,66.83000000
23.00000000,0.00063000,99279.00000000,63.00000000,99248.00000000,6231584.00000000,62.77000000,,23.00000000,0.00023000,99576.00000000,23.00000000,99564.00000000,6556955.00000000,65.85000000
24.00000000,0.00060000,99216.00000000,59.00000000,99187.00000000,6132336.00000000,61.81000000,,24.00000000,0.00023000,99553.00000000,23.00000000,99542.00000000,6457390.00000000,64.86000000
25.00000000,0.00056000,99157.00000000,56.00000000,99129.00000000,6033150.00000000,60.84000000,,25.00000000,0.00024000,99530.00000000,23.00000000,99518.00000000,6357849.00000000,63.88000000
26.00000000,0.00053000,99101.00000000,53.00000000,99075.00000000,5934021.00000000,59.88000000,,26.00000000,0.00024000,99507.00000000,24.00000000,99495.00000000,6258330.00000000,62.89000000
27.00000000,0.00051000,99049.00000000,51.00000000,99023.00000000,5834946.00000000,58.91000000,,27.00000000,0.00025000,99483.00000000,25.00000000,99470.00000000,6158836.00000000,61.91000000
28.00000000,0.00051000,98998.00000000,50.00000000,98973.00000000,5735922.00000000,57.94000000,,28.00000000,0.00027000,99457.00000000,27.00000000,99444.00000000,6059366.00000000,60.92000000
29.00000000,0.00052000,98948.00000000,52.00000000,98922.00000000,5636949.00000000,56.97000000,,29.00000000,0.00029000,99431.00000000,28.00000000,99416.00000000,5959922.00000000,59.94000000
30.00000000,0.00054000,98896.00000000,54.00000000,98869.00000000,5538027.00000000,56.00000000,,30.00000000,0.00031000,99402.00000000,31.00000000,99387.00000000,5860505.00000000,58.96000000
31.00000000,0.00056000,98842.00000000,56.00000000,98815.00000000,5439158.00000000,55.03000000,,31.00000000,0.00033000,99372.00000000,33.00000000,99355.00000000,5761118.00000000,57.98000000
32.00000000,0.00059000,98787.00000000,58.00000000,98758.00000000,5340344.00000000,54.06000000,,32.00000000,0.00036000,99339.00000000,36.00000000,99321.00000000,5661763.00000000,56.99000000
33.00000000,0.00062000,98729.00000000,62.00000000,98698.00000000,5241586.00000000,53.09000000,,33.00000000,0.00039000,99303.00000000,39.00000000,99284.00000000,5562442.00000000,56.01000000
34.00000000,0.00067000,98667.00000000,66.00000000,98634.00000000,5142888.00000000,52.12000000,,34.00000000,0.00043000,99264.00000000,43.00000000,99243.00000000,5463159.00000000,55.04000000
35.00000000,0.00072000,98601.00000000,71.00000000,98566.00000000,5044254.00000000,51.16000000,,35.00000000,0.00047000,99221.00000000,47.00000000,99198.00000000,5363916.00000000,54.06000000
36.00000000,0.00077000,98531.00000000,76.00000000,98493.00000000,4945688.00000000,50.19000000,,36.00000000,0.00052000,99174.00000000,51.00000000,99149.00000000,5264718.00000000,53.09000000
37.00000000,0.00083000,98455.00000000,82.00000000,98414.00000000,4847195.00000000,49.23000000,,37.00000000,0.00056000,99123.00000000,56.00000000,99095.00000000,5165569.00000000,52.11000000
38.00000000,0.00089000,98373.00000000,88.00000000,98329.00000000,4748781.00000000,48.27000000,,38.00000000,0.00061000,99067.00000000,60.00000000,99037.00000000,5066474.00000000,51.14000000
39.00000000,0.00096000,98286.00000000,95.00000000,98238.00000000,4650451.00000000,47.32000000,,39.00000000,0.00066000,99007.00000000,65.00000000,98975.00000000,4967436.00000000,50.17000000
40.00000000,0.00104000,98191.00000000,102.00000000,98140.00000000,4552213.00000000,46.36000000,,40.00000000,0.00071000,98942.00000000,70.00000000,98907.00000000,4868462.00000000,49.21000000
41.00000000,0.00112000,98089.00000000,109.00000000,98034.00000000,4454073.00000000,45.41000000,,41.00000000,0.00076000,98872.00000000,75.00000000,98834.00000000,4769555.00000000,48.24000000
42.00000000,0.00120000,97979.00000000,117.00000000,97921.00000000,4356039.00000000,44.46000000,,42.00000000,0.00081000,98797.00000000,80.00000000,98756.00000000,4670721.00000000,47.28000000
43.00000000,0.00128000,97862.00000000,125.00000000,97800.00000000,4258118.00000000,43.51000000,,43.00000000,0.00086000,98716.00000000,85.00000000,98674.00000000,4571964.00000000,46.31000000
44.00000000,0.00136000,97737.00000000,133.00000000,97671.00000000,4160318.00000000,42.57000000,,44.00000000,0.00090000,98631.00000000,89.00000000,98587.00000000,4473291.00000000,45.35000000
45.00000000,0.00146000,97604.00000000,143.00000000,97533.00000000,4062648.00000000,41.62000000,,45.00000000,0.00095000,98542.00000000,94.00000000,98495.00000000,4374704.00000000,44.39000000
46.00000000,0.00156000,97462.00000000,152.00000000,97385.00000000,3965115.00000000,40.68000000,,46.00000000,0.00101000,98448.00000000,99.00000000,98399.00000000,4276209.00000000,43.44000000
47.00000000,0.00165000,97309.00000000,161.00000000,97229.00000000,3867729.00000000,39.75000000,,47.00000000,0.00107000,98349.00000000,105.00000000,98297.00000000,4177810.00000000,42.48000000
48.00000000,0.00172000,97149.00000000,167.00000000,97065.00000000,3770500.00000000,38.81000000,,48.00000000,0.00113000,98244.00000000,111.00000000,98188.00000000,4079513.00000000,41.52000000
49.00000000,0.00179000,96982.00000000,174.00000000,96895.00000000,3673435.00000000,37.88000000,,49.00000000,0.00121000,98133.00000000,118.00000000,98073.00000000,3981325.00000000,40.57000000
50.00000000,0.00187000,96808.00000000,181.00000000,96717.00000000,3576540.00000000,36.94000000,,50.00000000,0.00129000,98014.00000000,126.00000000,97951.00000000,3883252.00000000,39.62000000
51.00000000,0.00197000,96627.00000000,190.00000000,96532.00000000,3479823.00000000,36.01000000,,51.00000000,0.00139000,97888.00000000,136.00000000,97820.00000000,3785301.00000000,38.67000000
52.00000000,0.00210000,96437.00000000,203.00000000,96335.00000000,3383291.00000000,35.08000000,,52.00000000,0.00151000,97752.00000000,147.00000000,97679.00000000,3687480.00000000,37.72000000
53.00000000,0.00227000,96234.00000000,218.00000000,96125.00000000,3286956.00000000,34.16000000,,53.00000000,0.00165000,97605.00000000,161.00000000,97525.00000000,3589802.00000000,36.78000000
