"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1936","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","128053180","64459383","63593797","115022229","58026634","56995595","13030951","6432749","6598202"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","1944835","992701","952134","1713452","876851","836601","231383","115850","115533"
"9","1","1942228","983259","958969","1718054","872426","845628","224174","110833","113341"
"10","2","1987308","1004007","983301","1746833","885688","861145","240475","118319","122156"
"11","3","2046505","1034438","1012067","1793321","909327","883994","253184","125111","128073"
"12","4","2122916","1072338","1050578","1861680","943335","918345","261236","129003","132233"
"13","5","2256622","1147475","1109147","1978480","1008444","970036","278142","139031","139111"
"14","6","2275046","1156088","1118958","1995738","1016319","979419","279308","139769","139539"
"15","7","2303852","1171901","1131951","2023708","1031576","992132","280144","140325","139819"
"16","8","2353194","1203261","1149933","2067133","1059771","1007362","286061","143490","142571"
"17","9","2405393","1223511","1181882","2116867","1079394","1037473","288526","144117","144409"
"18","10","2421680","1229632","1192048","2136525","1087223","1049302","285155","142409","142746"
"19","11","2454135","1242056","1212079","2171393","1101906","1069487","282742","140150","142592"
"20","12","2482768","1252162","1230606","2198100","1112112","1085988","284668","140050","144618"
"21","13","2481706","1248987","1232719","2200237","1111102","1089135","281469","137885","143584"
"22","14","2507599","1258487","1249112","2226436","1121337","1105099","281163","137150","144013"
"23","15","2472922","1239365","1233557","2200341","1107108","1093233","272581","132257","140324"
"24","16","2423825","1210780","1213045","2158044","1082642","1075402","265781","128138","137643"
"25","17","2378845","1184419","1194426","2119753","1060252","1059501","259092","124167","134925"
"26","18","2340668","1162337","1178331","2087271","1041511","1045760","253397","120826","132571"
"27","19","2317717","1148801","1168916","2066900","1029608","1037292","250817","119193","131624"
"28","20","2306833","1142124","1164709","2056173","1023211","1032962","250660","118913","131747"
"29","21","2294488","1134966","1159522","2043864","1016226","1027638","250624","118740","131884"
"30","22","2279746","1126810","1152936","2029044","1008171","1020873","250702","118639","132063"
"31","23","2260608","1116642","1143966","2011109","998641","1012468","249499","118001","131498"
"32","24","2233621","1102669","1130952","1988050","986499","1001551","245571","116170","129401"
"33","25","2200215","1085628","1114587","1960716","972221","988495","239499","113407","126092"
"34","26","2166000","1068458","1097542","1932810","957865","974945","233190","110593","122597"
"35","27","2131860","1051612","1080248","1905290","943900","961390","226570","107712","118858"
"36","28","2097780","1035069","1062711","1876479","929650","946829","221301","105419","115882"
"37","29","2064625","1019274","1045351","1845608","914913","930695","219017","104361","114656"
"38","30","2032364","1004190","1028174","1813370","899940","913430","218994","104250","114744"
"39","31","2000430","989452","1010978","1781293","885223","896070","219137","104229","114908"
"40","32","1969238","975236","994002","1749671","870907","878764","219567","104329","115238"
"41","33","1937761","961099","976662","1719857","857468","862389","217904","103631","114273"
"42","34","1905006","946595","958411","1693126","845347","847779","211880","101248","110632"
"43","35","1871791","932100","939691","1669397","834576","834821","202394","97524","104870"
"44","36","1838425","917682","920743","1646029","824090","821939","192396","93592","98804"
"45","37","1803236","902460","900776","1621287","812984","808303","181949","89476","92473"
"46","38","1775230","890948","884282","1601879","804888","796991","173351","86060","87291"
"47","39","1761848","886842","875006","1592960","802617","790343","168888","84225","84663"
"48","40","1759353","888239","871114","1591659","804604","787055","167694","83635","84059"
"49","41","1757429","889865","867564","1590692","806738","783954","166737","83127","83610"
"50","42","1755769","891485","864284","1589887","808822","781065","165882","82663","83219"
"51","43","1744757","888463","856294","1581185","806892","774293","163572","81571","82001"
"52","44","1715040","876292","838748","1556889","797128","759761","158151","79164","78987"
"53","45","1669796","856414","813382","1519530","780694","738836","150266","75720","74546"
"54","46","1621905","835060","786845","1479652","762862","716790","142253","72198","70055"
"55","47","1573305","813238","760067","1439016","744568","694448","134289","68670","65619"
"56","48","1523814","790208","733606","1396659","724711","671948","127155","65497","61658"
"57","49","1474928","766159","708769","1353169","703069","650100","121759","63090","58669"
"58","50","1426659","741285","685374","1308925","680008","628917","117734","61277","56457"
"59","51","1376748","715254","661494","1263057","655821","607236","113691","59433","54258"
"60","52","1324738","687944","636794","1215285","630469","584816","109453","57475","51978"
"61","53","1274342","661259","613083","1169202","605797","563405","105140","55462","49678"
"62","54","1228457","636803","591654","1127763","583436","544327","100694","53367","47327"
"63","55","1186424","614254","572170","1090257","563043","527214","96167","51211","44956"
"64","56","1145057","591880","553177","1053220","542757","510463","91837","49123","42714"
"65","57","1104037","569517","534520","1016217","522357","493860","87820","47160","40660"
"66","58","1062488","546867","515621","978967","501855","477112","83521","45012","38509"
"67","59","1019238","523447","495791","940777","481017","459760","78461","42430","36031"
"68","60","974602","499441","475161","901780","459928","441852","72822","39513","33309"
"69","61","930119","475532","454587","862941","438961","423980","67178","36571","30607"
"70","62","886084","451828","434256","824538","418207","406331","61546","33621","27925"
"71","63","842248","428426","413822","785796","397531","388265","56452","30895","25557"
"72","64","798451","405402","393049","746068","376789","369279","52383","28613","23770"
"73","65","754639","382656","371983","705480","355960","349520","49159","26696","22463"
"74","66","710859","360107","350752","664739","335259","329480","46120","24848","21272"
"75","67","668168","337927","330241","624939","314860","310079","43229","23067","20162"
"76","68","624947","315516","309431","584681","294244","290437","40266","21272","18994"
"77","69","580975","292483","288492","543958","273077","270881","37017","19406","17611"
"78","70","536807","269166","267641","503236","251654","251582","33571","17512","16059"
"79","71","493200","246180","247020","462957","230484","232473","30243","15696","14547"
"80","72","449999","223471","226528","422932","209506","213426","27067","13965","13102"
"81","73","409244","202168","207076","385131","189806","195325","24113","12362","11751"
"82","74","372712","183276","189436","351240","172346","178894","21472","10930","10542"
"83","75+","2424973","1146010","1278963","2271527","1074105","1197422","153446","71905","81541"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
