"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 4 through 5.","","","","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","Age","All races","NaN","NaN","White","NaN","NaN","Black","NaN","NaN","Other races","NaN","NaN"
"3","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"5","All ages","225055487","109583961","115471526","194097556","94817729","99279827","26417364","12546873","13870491","4540567","2219359","2321208"
"6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","0","3426309","1752964","1673345","2825299","1449782","1375517","515241","259703","255538","85769","43479","42290"
"8","1","3211427","1642762","1568665","2657609","1363190","1294419","474768","239411","235357","79050","40161","38889"
"9","2","3173548","1624899","1548649","2613543","1341983","1271560","478730","241827","236903","81275","41089","40186"
"10","3","3077017","1571224","1505793","2534737","1298353","1236384","460136","231278","228858","82144","41593","40551"
"11","4","3174581","1623880","1550701","2619804","1343747","1276057","473514","238725","234789","81263","41408","39855"
"12","5","3092294","1581859","1510435","2540060","1303218","1236842","469433","237138","232295","82801","41503","41298"
"13","6","3163905","1615247","1548658","2602546","1332293","1270253","480521","241567","238954","80838","41387","39451"
"14","7","3421248","1748870","1672378","2829892","1450752","1379140","506720","255436","251284","84636","42682","41954"
"15","8","3613454","1850438","1763016","2998486","1539896","1458590","530915","267661","263254","84053","42881","41172"
"16","9","3655724","1864343","1791381","3029428","1549911","1479517","541018","271256","269762","85278","43176","42102"
"17","10","3634230","1857389","1776841","3014641","1544864","1469777","533463","268649","264814","86126","43876","42250"
"18","11","3541822","1808792","1733030","2929441","1500726","1428715","529390","265802","263588","82991","42264","40727"
"19","12","3593400","1832769","1760631","2988093","1527663","1460430","524869","263986","260883","80438","41120","39318"
"20","13","3715376","1898472","1816904","3080760","1578237","1502523","551792","277765","274027","82824","42470","40354"
"21","14","3960321","2016268","1944053","3310559","1689520","1621039","569324","285564","283760","80438","41184","39254"
"22","15","4159794","2127010","2032784","3479236","1783010","1696226","593131","298866","294265","87427","45134","42293"
"23","16","4214501","2146324","2068177","3523030","1797844","1725186","603259","303000","300259","88212","45480","42732"
