"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1901","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","77584000","39649000","37935000","68267000","34971000","33296000","9317000","4678000","4639000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","1850000","938000","912000","1604000","815000","789000","246000","123000","123000"
"9","1","1869000","945000","924000","1618000","820000","798000","251000","125000","126000"
"10","2","1876000","947000","929000","1622000","821000","801000","254000","126000","128000"
"11","3","1876000","946000","930000","1620000","819000","801000","256000","127000","129000"
"12","4","1865000","940000","925000","1609000","813000","796000","256000","127000","129000"
"13","5","1849000","932000","917000","1593000","805000","788000","256000","127000","129000"
"14","6","1826000","921000","905000","1573000","795000","778000","253000","126000","127000"
"15","7","1799000","908000","891000","1549000","783000","766000","250000","125000","125000"
"16","8","1768000","893000","875000","1522000","770000","752000","246000","123000","123000"
"17","9","1735000","877000","858000","1494000","756000","738000","241000","121000","120000"
"18","10","1699000","860000","839000","1463000","741000","722000","236000","119000","117000"
"19","11","1661000","841000","820000","1431000","725000","706000","230000","116000","114000"
"20","12","1630000","825000","805000","1404000","711000","693000","226000","114000","112000"
"21","13","1605000","810000","795000","1385000","700000","685000","220000","110000","110000"
"22","14","1586000","797000","789000","1371000","690000","681000","215000","107000","108000"
"23","15","1567000","784000","783000","1357000","680000","677000","210000","104000","106000"
"24","16","1544000","769000","775000","1340000","669000","671000","204000","100000","104000"
"25","17","1531000","759000","772000","1330000","662000","668000","201000","97000","104000"
"26","18","1527000","755000","772000","1325000","658000","667000","202000","97000","105000"
"27","19","1529000","756000","773000","1323000","657000","666000","206000","99000","107000"
"28","20","1530000","756000","774000","1321000","656000","665000","209000","100000","109000"
"29","21","1532000","756000","776000","1320000","655000","665000","212000","101000","111000"
"30","22","1524000","753000","771000","1312000","652000","660000","212000","101000","111000"
"31","23","1498000","744000","754000","1294000","646000","648000","204000","98000","106000"
"32","24","1460000","730000","730000","1268000","637000","631000","192000","93000","99000"
"33","25","1424000","717000","707000","1243000","629000","614000","181000","88000","93000"
"34","26","1387000","704000","683000","1218000","621000","597000","169000","83000","86000"
"35","27","1349000","689000","660000","1190000","610000","580000","159000","79000","80000"
"36","28","1306000","671000","635000","1158000","597000","561000","148000","74000","74000"
"37","29","1263000","652000","611000","1124000","582000","542000","139000","70000","69000"
