"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1909","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","90490000","46545000","43945000","80339000","41438000","38901000","10151000","5107000","5044000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2162000","1099000","1063000","1904000","969000","935000","258000","130000","128000"
"9","1","2134000","1081000","1053000","1873000","951000","922000","261000","130000","131000"
"10","2","2104000","1064000","1040000","1841000","933000","908000","263000","131000","132000"
"11","3","2072000","1046000","1026000","1808000","915000","893000","264000","131000","133000"
"12","4","2037000","1027000","1010000","1774000","897000","877000","263000","130000","133000"
"13","5","2002000","1010000","992000","1740000","880000","860000","262000","130000","132000"
"14","6","1967000","992000","975000","1707000","863000","844000","260000","129000","131000"
"15","7","1933000","975000","958000","1676000","847000","829000","257000","128000","129000"
"16","8","1899000","958000","941000","1646000","832000","814000","253000","126000","127000"
"17","9","1869000","944000","925000","1619000","819000","800000","250000","125000","125000"
"18","10","1839000","930000","909000","1594000","807000","787000","245000","123000","122000"
"19","11","1809000","916000","893000","1569000","795000","774000","240000","121000","119000"
"20","12","1789000","906000","883000","1553000","787000","766000","236000","119000","117000"
"21","13","1781000","899000","882000","1549000","783000","766000","232000","116000","116000"
"22","14","1782000","896000","886000","1554000","783000","771000","228000","113000","115000"
"23","15","1780000","891000","889000","1557000","782000","775000","223000","109000","114000"
"24","16","1779000","888000","891000","1561000","782000","779000","218000","106000","112000"
"25","17","1782000","887000","895000","1567000","784000","783000","215000","103000","112000"
"26","18","1789000","892000","897000","1574000","789000","785000","215000","103000","112000"
"27","19","1798000","900000","898000","1581000","796000","785000","217000","104000","113000"
"28","20","1804000","905000","899000","1586000","801000","785000","218000","104000","114000"
"29","21","1811000","911000","900000","1592000","807000","785000","219000","104000","115000"
"30","22","1806000","912000","894000","1587000","808000","779000","219000","104000","115000"
"31","23","1781000","904000","877000","1567000","802000","765000","214000","102000","112000"
"32","24","1741000","889000","852000","1535000","790000","745000","206000","99000","107000"
"33","25","1702000","874000","828000","1503000","778000","725000","199000","96000","103000"
"34","26","1663000","860000","803000","1470000","766000","704000","193000","94000","99000"
"35","27","1618000","841000","777000","1433000","750000","683000","185000","91000","94000"
"36","28","1567000","818000","749000","1392000","731000","661000","175000","87000","88000"
"37","29","1513000","791000","722000","1349000","709000","640000","164000","82000","82000"
"38","30","1458000","763000","695000","1305000","686000","619000","153000","77000","76000"
"39","31","1399000","733000","666000","1257000","661000","596000","142000","72000","70000"
"40","32","1354000","711000","643000","1219000","642000","577000","135000","69000","66000"
"41","33","1330000","699000","631000","1198000","631000","567000","132000","68000","64000"
"42","34","1319000","694000","625000","1185000","625000","560000","134000","69000","65000"
"43","35","1305000","687000","618000","1171000","618000","553000","134000","69000","65000"
"44","36","1295000","681000","614000","1159000","611000","548000","136000","70000","66000"
"45","37","1273000","671000","602000","1138000","601000","537000","135000","70000","65000"
"46","38","1231000","649000","582000","1103000","583000","520000","128000","66000","62000"
"47","39","1177000","622000","555000","1059000","561000","498000","118000","61000","57000"
"48","40","1127000","596000","531000","1018000","540000","478000","109000","56000","53000"
"49","41","1075000","570000","505000","976000","519000","457000","99000","51000","48000"
"50","42","1030000","547000","483000","937000","499000","438000","93000","48000","45000"
"51","43","994000","528000","466000","905000","482000","423000","89000","46000","43000"
"52","44","964000","512000","452000","877000","467000","410000","87000","45000","42000"
"53","45","930000","494000","436000","846000","450000","396000","84000","44000","40000"
"54","46","897000","476000","421000","815000","433000","382000","82000","43000","39000"
"55","47","870000","463000","407000","789000","420000","369000","81000","43000","38000"
"56","48","850000","453000","397000","771000","411000","360000","79000","42000","37000"
"57","49","834000","447000","387000","757000","405000","352000","77000","42000","35000"
"58","50","818000","440000","378000","743000","399000","344000","75000","41000","34000"
"59","51","805000","436000","369000","732000","395000","337000","73000","41000","32000"
"60","52","781000","424000","357000","710000","384000","326000","71000","40000","31000"
"61","53","737000","400000","337000","672000","363000","309000","65000","37000","28000"
"62","54","682000","368000","314000","623000","335000","288000","59000","33000","26000"
"63","55","630000","339000","291000","577000","309000","268000","53000","30000","23000"
"64","56","575000","308000","267000","529000","282000","247000","46000","26000","20000"
"65","57","533000","284000","249000","492000","261000","231000","41000","23000","18000"
"66","58","508000","269000","239000","468000","247000","221000","40000","22000","18000"
"67","59","495000","262000","233000","454000","239000","215000","41000","23000","18000"
"68","60","480000","253000","227000","439000","230000","209000","41000","23000","18000"
"69","61","466000","244000","222000","424000","221000","203000","42000","23000","19000"
"70","62","450000","235000","215000","408000","212000","196000","42000","23000","19000"
"71","63","426000","222000","204000","388000","201000","187000","38000","21000","17000"
"72","64","401000","208000","193000","366000","189000","177000","35000","19000","16000"
"73","65","376000","194000","182000","345000","177000","168000","31000","17000","14000"
"74","66","353000","182000","171000","324000","166000","158000","29000","16000","13000"
"75","67","329000","169000","160000","304000","155000","149000","25000","14000","11000"
"76","68","307000","158000","149000","284000","145000","139000","23000","13000","10000"
"77","69","284000","145000","139000","264000","134000","130000","20000","11000","9000"
"78","70","261000","133000","128000","243000","123000","120000","18000","10000","8000"
"79","71","239000","121000","118000","222000","112000","110000","17000","9000","8000"
"80","72","218000","110000","108000","202000","102000","100000","16000","8000","8000"
"81","73","198000","99000","99000","182000","91000","91000","16000","8000","8000"
"82","74","179000","89000","90000","162000","81000","81000","17000","8000","9000"
"83","75+","1134000","551000","583000","1036000","504000","532000","98000","47000","51000"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
