"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1953","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Includes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","160184192","79614310","80569882","142772988","71083397","71689591","17411204","8530913","8880291"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","3546301","1804555","1741746","3063820","1563963","1499857","482481","240592","241889"
"9","1","3548477","1811834","1736643","3083027","1578400","1504627","465450","233434","232016"
"10","2","3574323","1814632","1759691","3073131","1565114","1508017","501192","249518","251674"
"11","3","3477405","1768222","1709183","3008774","1534749","1474025","468631","233473","235158"
"12","4","3491830","1781037","1710793","3034606","1550353","1484253","457224","230684","226540"
"13","5","3439101","1751606","1687495","3015477","1539669","1475808","423624","211937","211687"
"14","6","3699058","1883949","1815109","3286067","1677876","1608191","412991","206073","206918"
"15","7","2699180","1376699","1322481","2360455","1208226","1152229","338725","168473","170252"
"16","8","2726494","1388107","1338387","2378196","1214482","1163714","348298","173625","174673"
"17","9","2768580","1409078","1359502","2423106","1235766","1187340","345474","173312","172162"
"18","10","2974006","1517918","1456088","2618206","1338160","1280046","355800","179758","176042"
"19","11","2623543","1337257","1286286","2282364","1165145","1117219","341179","172112","169067"
"20","12","2451326","1247516","1203810","2128776","1085732","1043044","322550","161784","160766"
"21","13","2320100","1179063","1141037","2011276","1024947","986329","308824","154116","154708"
"22","14","2302026","1170784","1131242","1999532","1018680","980852","302494","152104","150390"
"23","15","2223638","1121264","1102374","1935469","979841","955628","288169","141423","146746"
"24","16","2131213","1068939","1062274","1868130","941449","926681","263083","127490","135593"
"25","17","2134566","1075931","1058635","1868216","945025","923191","266350","130906","135444"
"26","18","2159585","1088845","1070740","1890526","956106","934420","269059","132739","136320"
"27","19","2034765","1021444","1013321","1771671","891892","879779","263094","129552","133542"
"28","20","2059911","1026919","1032992","1796452","900982","895470","263459","125937","137522"
"29","21","2160664","1078197","1082467","1895458","953197","942261","265206","125000","140206"
"30","22","2223594","1111858","1111736","1958773","987885","970888","264821","123973","140848"
"31","23","2304737","1150886","1153851","2038685","1026098","1012587","266052","124788","141264"
"32","24","2313239","1147713","1165526","2051670","1025307","1026363","261569","122406","139163"
"33","25","2358201","1168708","1189493","2097858","1046916","1050942","260343","121792","138551"
"34","26","2414901","1193850","1221051","2154861","1071539","1083322","260040","122311","137729"
"35","27","2477356","1224554","1252802","2213315","1099732","1113583","264041","124822","139219"
"36","28","2432040","1195255","1236785","2163672","1068310","1095362","268368","126945","141423"
"37","29","2449315","1201610","1247705","2177498","1073460","1104038","271817","128150","143667"
"38","30","2447966","1197829","1250137","2176603","1070305","1106298","271363","127524","143839"
"39","31","2531563","1245759","1285804","2264095","1120422","1143673","267468","125337","142131"
"40","32","2448242","1199492","1248750","2186724","1076811","1109913","261518","122681","138837"
"41","33","2402883","1178450","1224433","2145620","1056906","1088714","257263","121544","135719"
"42","34","2377540","1166139","1211401","2123902","1044914","1078988","253638","121225","132413"
"43","35","2371899","1167009","1204890","2121434","1046176","1075258","250465","120833","129632"
"44","36","2356096","1160910","1195186","2106044","1039656","1066388","250052","121254","128798"
"45","37","2335651","1150159","1185492","2085144","1028581","1056563","250507","121578","128929"
"46","38","2314771","1139401","1175370","2065786","1018725","1047061","248985","120676","128309"
"47","39","2285831","1127315","1158516","2039673","1008344","1031329","246158","118971","127187"
"48","40","2240392","1105114","1135278","1998484","988295","1010189","241908","116819","125089"
"49","41","2188562","1083476","1105086","1954241","969992","984249","234321","113484","120837"
"50","42","2132547","1055886","1076661","1908707","946996","961711","223840","108890","114950"
"51","43","2124780","1053969","1070811","1911801","950005","961796","212979","103964","109015"
"52","44","2095250","1039591","1055659","1893398","940815","952583","201852","98776","103076"
"53","45","2050027","1015948","1034079","1857495","921460","936035","192532","94488","98044"
"54","46","1986586","984149","1002437","1799747","892240","907507","186839","91909","94930"
"55","47","1950647","966950","983697","1766111","875904","890207","184536","91046","93490"
"56","48","1916269","953290","962979","1733212","862578","870634","183057","90712","92345"
"57","49","1831607","912864","918743","1649807","822293","827514","181800","90571","91229"
"58","50","1774906","885314","889592","1595761","795669","800092","179145","89645","89500"
"59","51","1719360","855625","863735","1545250","768202","777048","174110","87423","86687"
"60","52","1721237","856353","864884","1554745","772535","782210","166492","83818","82674"
"61","53","1672117","831596","840521","1514286","751942","762344","157831","79654","78177"
"62","54","1604742","797806","806936","1455850","722495","733355","148892","75311","73581"
"63","55","1565919","777087","788832","1425359","705839","719520","140560","71248","69312"
"64","56","1540543","763929","776614","1407588","696384","711204","132955","67545","65410"
"65","57","1513668","750295","763373","1388088","686446","701642","125580","63849","61731"
"66","58","1500969","743941","757028","1383008","684082","698926","117961","59859","58102"
"67","59","1479280","731988","747292","1369044","676308","692736","110236","55680","54556"
"68","60","1424970","704209","720761","1322457","652632","669825","102513","51577","50936"
"69","61","1360993","672286","688707","1266460","624798","641662","94533","47488","47045"
"70","62","1294512","638275","656237","1204942","593394","611548","89570","44881","44689"
"71","63","1262015","620253","641762","1172865","575843","597022","89150","44410","44740"
"72","64","1223318","599409","623909","1131725","554061","577664","91593","45348","46245"
"73","65","1172152","572211","599941","1078396","526089","552307","93756","46122","47634"
"74","66","1127640","546711","580929","1031235","499746","531489","96405","46965","49440"
"75","67","1099179","528945","570234","1003620","482842","520778","95559","46103","49456"
"76","68","1046629","500185","546444","957391","457430","499961","89238","42755","46483"
"77","69","991651","472252","519399","912217","434381","477836","79434","37871","41563"
"78","70","906930","429225","477705","836711","395796","440915","70219","33429","36790"
"79","71","835573","394352","441221","774874","365247","409627","60699","29105","31594"
"80","72","754659","355837","398822","702468","330409","372059","52191","25428","26763"
"81","73","691543","325378","366165","645467","302533","342934","46076","22845","23231"
"82","74","621918","291324","330594","580316","270328","309988","41602","20996","20606"
"83","75","576873","268812","308061","539801","249792","290009","37072","19020","18052"
"84","76","526573","243876","282697","493596","226820","266776","32977","17056","15921"
"85","77","483490","222875","260615","453892","207620","246272","29598","15255","14343"
"86","78","433207","197803","235404","406586","184226","222360","26621","13577","13044"
"87","79","384086","173378","210708","360127","161368","198759","23959","12010","11949"
"88","80","338508","150762","187746","316886","140184","176702","21622","10578","11044"
"89","81","294477","129240","165237","274883","119967","154916","19594","9273","10321"
"90","82","247375","106571","140804","229576","98494","131082","17799","8077","9722"
"91","83","209833","88845","120988","193610","81879","111731","16223","6966","9257"
"92","84","174145","72070","102075","159050","66139","92911","15095","5931","9164"
"93","85+","700618","293362","407256","647763","271058","376705","52855","22304","30551"
"94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"101","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"102","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"103","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"104","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"105","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"106","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"107","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"108","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"109","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
