year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
1959,14.6,8.5, , , , , , , , , , , 
1960,14.7,8.7, , , , , , , , , , , 
1961,16.8,10.4, , , , , , , , , , , 
1962,14.7,9, , , , , , , , , , , 
1963,17.2,8.8, , , , , , , , , , , 
1964,16.2,8.3, , , , , , , , , , , 
1965,14.8,6.7, , , , , , , , , , , 
1966,12.8,5.3, , , , , , , , , , , 
1967,12.9,5.7,3.4,2.9,2.5,2.5,2.4,2.3,2.3,2.5,3.2,2.6,1.5
1968,12.7,5.8,2.9,2.7,2.4,2.1,1.8,2,2,2,3.6,2,1.2
1969,12.2,5.7,3.1,2.4,2.3,2.2,1.9,1.9,2.1,1.8,2.6,1.8,1.6
1970,15.3,8.2,4.6,3.7,3.2,3.1,2.9,2.7,2.9,2.5,3.9,2.5,1.8
1971,16.9,10,5.9,4.6,4,3.7,3.4,3.3,3.3,3.4,4.4,2,1.9
1972,16.2,9.3,5.2,3.9,3.7,3.3,3.1,2.8,3.1,3.4,4.3,3,1.9
1973,14.5,7.8,4.9,3.5,2.9,2.6,2.7,2.4,2.5,2.7,3.4,2.4,2.4
1974,16,9.1,5.4,4.1,3.6,3,3.1,2.7,2.8,2.9,3.9,2.7,2.5
1975,19.9,13.6,8.6,6.7,6,5.2,5.2,5.2,4.5,4.8,6.5,4,3.1
1976,19,12,7.8,6.2,5.1,4.7,4.5,4.4,4.4,4.6,5.9,4.4,2.9
1977,17.8,11,7.4,5.3,4.4,4.3,3.9,4,3.7,4.2,5.9,4.5,2.4
1978,16.4,9.6,6,4.5,3.8,3.5,3.3,3.3,2.9,3,4.5,3.9,2.3
1979,16.1,9.1,5.9,4.4,3.8,3.3,3.1,3.3,2.9,2.9,3.9,2.5,2.4
1980,17.8,11.5,8,5.7,4.9,4.2,4.3,3.7,3.3,3.3,3.6,2.6,1.9
1981,19.6,12.3,8.2,6.3,5.2,4.8,4.5,3.9,3.8,3.6,3.5,2.6,2.8
1982,23.2,14.9,11,8.4,7.2,6.5,5.7,5.7,5.7,4.9,3.9,3.1,3
1983,22.4,14.5,10.7,8.5,7.5,6.4,6.2,6.1,5.8,5.5,4.3,3.1,3
1984,18.9,11.5,8,6.4,5.8,4.9,5.2,4.5,4.8,4.6,3.6,3.3,1.8
1985,18.6,11.1,7.5,6.4,5.4,4.9,4.8,4.5,4.5,4,3.6,2.7,2.7
1986,18.3,10.7,7.4,6.3,5.3,4.7,4.4,4.5,4.3,3.9,3.4,2.9,1.9
1987,16.9,9.7,6.4,5.6,4.7,4.2,4,4,3.5,3.4,2.6,2.3,2.4
1988,15.3,8.7,5.9,5,4.2,3.7,3.6,3.3,3.2,3.1,2.9,2.4,2.1
1989,15,8.6,5.7,4.7,4.1,3.5,3.3,3.1,3.3,3,3,2.4,1.4
1990,15.5,8.8,6,5.1,4.4,3.9,3.8,3.2,3.5,3.1,3.2,2.9,2.3
1991,18.7,10.8,7.4,6.4,5.6,4.7,4.6,4.5,4.3,3.8,3.6,3.2,2.4
1992,20.1,11.4,8.2,7.2,6.3,5.3,5,5.3,5,5.3,4.2,3.5,2.9
1993,19,10.5,7.5,6.4,5.9,5,4.7,4.9,4.7,4.6,3.3,2.5,3.7
1994,17.6,9.7,6.6,5.5,4.9,4.3,3.9,4.1,4.1,4.2,4.2,3.9,3.7
1995,17.3,9.1,5.8,5.1,4.6,4,3.4,3.2,3.6,3.6,4.3,4,3.2
1996,16.7,9.3,5.8,4.7,4.4,3.8,3.3,3.4,3.3,3.4,4,3.1,3.3
1997,16,8.5,5.3,4.2,4,3.6,2.9,3.1,2.9,2.9,3.3,3.4,3
1998,14.6,7.9,4.7,4,3.5,3.2,2.8,2.7,2.5,2.7,3.3,2.9,3.2
1999,13.9,7.5,4.4,3.6,3.1,3,2.6,2.5,2.7,2.7,3.4,2.6,3
2000,13.1,7.2,4.1,3.3,3.1,2.9,2.5,2.4,2.4,2.6,3.2,3.3,2.5
2001,14.7,8.3,4.9,4.3,3.8,3.4,3.2,3,3,3.1,3.1,2.8,2.8
2002,16.5,9.7,6.4,5.4,4.8,4.3,4.1,4,3.8,4,3.8,4,2.6
2003,17.5,10,6.6,5.5,5.2,4.7,4.2,4,4.1,4.2,4.2,3.5,3.1
2004,17,9.4,6.1,5,4.7,4.1,4,3.7,3.8,3.8,3.5,3.6,3.6
2005,16.6,8.8,5.8,4.5,4.1,3.7,3.6,3.3,3.4,3.2,3.4,3.7,3.3
2006,15.4,8.2,5.1,4.2,3.6,3.5,3.3,2.9,3,2.8,3,3,2.5
2007,15.7,8.2,5.2,4.1,3.6,3.3,3.3,3.1,3.1,3,3.3,3.4,3
2008,18.7,10.2,6.5,5.2,4.7,4.5,4,4.1,3.8,3.6,4.2,4.7,3.8
2009,24.3,14.7,10.6,9,8.2,7.7,7.2,7.2,6.6,6.6,6.8,6.1,5.7
2010,25.9,15.5,10.9,9.2,8.1,8.1,7.8,7.6,7,7.3,7.6,5.6,5.6
2011,24.4,14.6,10.3,8.6,7.5,7.2,7.3,6.8,6.5,6.8,6.9,6.5,5.6
2012,24,13.3,8.9,7.6,7,6.2,6.2,6.2,6,5.9,6.7,6.4,4.6
2013,22.9,12.8,8.1,6.7,6.2,5.6,5.7,5.6,5.3,5.3,5.7,5.3,4.4
2014,19.6,11.2,7.2,5.9,4.9,4.5,4.5,4.3,4.3,4.4,4.8,4.7,4
2015,16.9,9.7,6,4.9,4.4,3.9,3.7,3.7,3.7,3.8,3.9,3.9,3.5
2016,15.7,8.4,5.6,4.5,4,3.7,3.6,3.4,3.6,3.6,3.7,3.9,4.1
2017,14,7.4,4.9,4.2,3.5,3.4,3.1,3.2,3.1,3.1,3.5,4,3.3
2018,12.9,6.9,4.3,3.5,3.1,2.8,2.7,2.9,2.9,2.9,3.1,3.4,3.4
2019,12.7,6.7,4.1,3.3,2.8,2.7,2.7,2.7,2.6,2.5,2.8,3.1,3.1
