UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2015,999,321418820,158229297,163189523,122781942,125002667,20406091,22226439,2024209,1986676,8561145,9421050,386299,373891,4069611,4178800,126392562,128688575,22183262,24098818,3297446,3326495,10063502,10930872,756105,749805,129625896,135200131,97579955,100390857,19077682,20848267,1167974,1201860,8279205,9137509,282217,277465,3238863,3344173,100451096,103336469,20480848,22335539,2082351,2184600,9551613,10416095,572828,574528,28603401,27989392,25201987,24611810,1328409,1378172,856235,784816,281940,283541,104082,96426,830748,834627,25941466,25352106,1702414,1763279,1215095,1141895,511889,514777,183277,175277
R,7,2015,0,3978038,2035134,1942904,1459117,1390641,310413,298943,33550,32074,101196,96141,6289,5944,124569,119161,1573879,1500377,378025,364073,58325,55724,146782,139443,15197,14374,1511738,1442207,1016047,966889,279917,269725,17259,16495,94854,90041,4153,3896,99508,95161,1108224,1054994,334838,322663,33430,31913,132654,125913,10634,10015,523396,500697,443070,423752,30496,29218,16291,15579,6342,6100,2136,2048,25061,24000,465655,445383,43187,41410,24895,23811,14128,13530,4563,4359
R,7,2015,1,3968564,2029295,1939269,1453840,1384477,309773,300905,33253,31831,103857,98663,6302,5905,122270,117488,1566403,1492572,375716,365155,57781,55247,148825,141310,15083,14179,1505714,1437019,1010281,959064,279133,271505,17106,16334,97563,92615,4163,3857,97468,93644,1100489,1045658,332528,323619,33094,31561,134848,127932,10573,9881,523581,502250,443559,425413,30640,29400,16147,15497,6294,6048,2139,2048,24802,23844,465914,446914,43188,41536,24687,23686,13977,13378,4510,4298
R,7,2015,2,3966583,2026604,1939979,1449815,1383797,306331,297872,32604,31324,110022,104644,6444,6043,121388,116299,1561483,1490680,371161,360699,56920,54682,155323,147492,15303,14375,1508570,1440641,1010004,960040,276471,269020,17071,16332,103785,98502,4314,3971,96925,92776,1099622,1045726,328949,319913,32947,31561,141510,134115,10814,10047,518034,499338,439811,423757,29860,28852,15533,14992,6237,6142,2130,2072,24463,23523,461861,444954,42212,40786,23973,23121,13813,13377,4489,4328
R,7,2015,3,3974061,2030644,1943417,1458506,1391679,306959,297579,33089,31804,106218,101992,6244,5905,119628,114458,1568534,1496905,371057,359253,57411,55079,150415,144005,14893,14167,1508781,1440864,1014755,963909,277458,269298,17092,16492,100062,96114,4145,3892,95269,91159,1102821,1048142,329237,319192,32943,31641,136797,130989,10475,9920,521863,502553,443751,427770,29501,28281,15997,15312,6156,5878,2099,2013,24359,23299,465713,448763,41820,40061,24468,23438,13618,13016,4418,4247
R,7,2015,4,4020035,2055924,1964111,1484637,1413672,308616,299412,32002,30995,104566,100122,6237,5803,119866,114107,1594939,1518584,372635,360739,56641,54606,148716,141802,14978,14028,1520232,1447975,1024479,971137,280508,271760,17364,16530,98560,94403,4177,3807,95144,90338,1112467,1054601,332146,321093,33371,31823,135106,128865,10544,9766,535692,516136,460158,442535,28108,27652,14638,14465,6006,5719,2060,1996,24722,23769,482472,463983,40489,39646,23270,22783,13610,12937,4434,4262
R,7,2015,5,4018158,2050848,1967310,1477797,1412197,307627,298742,32625,31849,106728,102480,6184,5890,119887,116152,1588243,1518984,371885,361608,57143,55904,150685,144542,14746,14094,1520708,1455865,1024479,974889,278948,271049,17150,16988,100695,96795,4180,3906,95256,92238,1112659,1060083,330849,321659,33030,32713,137119,131697,10453,9860,530140,511445,453318,437308,28679,27693,15475,14861,6033,5685,2004,1984,24631,23914,475584,458901,41036,39949,24113,23191,13566,12845,4293,4234
R,7,2015,6,4019207,2050663,1968544,1479317,1413690,310105,302255,32774,31828,105484,101825,6174,6052,116809,112894,1586562,1517492,372857,363621,56738,54594,148148,142567,14473,14088,1527280,1464177,1031800,982721,281406,274330,17364,16938,99397,96108,4152,4055,93161,90025,1117745,1065903,332384,324220,32975,31677,134870,130068,10256,9962,523383,504367,447517,430969,28699,27925,15410,14890,6087,5717,2022,1997,23648,22869,468817,451589,40473,39401,23763,22917,13278,12499,4217,4126
R,7,2015,7,4148360,2117118,2031242,1530061,1460426,320001,312320,34104,32955,109553,105926,6356,6111,117043,113504,1637414,1564537,382772,374256,58031,56141,152295,146671,14943,14085,1575690,1511650,1065305,1015313,290773,284016,18003,17579,103635,100161,4303,4056,93671,90525,1151591,1098687,342055,334459,33666,32578,139295,134044,10608,9930,541428,519592,464756,445113,29228,28304,16101,15376,5918,5765,2053,2055,23372,22979,485823,465850,40717,39797,24365,23563,13000,12627,4335,4155
R,7,2015,8,4167887,2128825,2039062,1545188,1474397,320912,310807,34699,33187,108329,104208,6279,6193,113418,110270,1649254,1575349,381499,370269,58293,56199,149756,143929,14578,14219,1587473,1518515,1080190,1026890,292055,283207,18038,17723,102307,98561,4256,4144,90627,87990,1163748,1107767,341421,331748,33506,32669,136743,131667,10371,10035,541352,520547,464998,447507,28857,27600,16661,15464,6022,5647,2023,2049,22791,22280,485506,467582,40078,38521,24787,23530,13013,12262,4207,4184
R,7,2015,9,4133564,2111678,2021886,1543379,1468874,312026,305026,33978,32741,107350,104467,6145,5966,108800,104812,1643144,1564933,369314,360751,57068,54875,147445,142660,14086,13560,1581621,1512469,1086026,1029593,284581,278342,18039,17569,101563,99110,4140,4029,87272,83826,1166363,1106722,331509,323954,33197,32019,135162,130976,10025,9602,530057,509417,457353,439281,27445,26684,15939,15172,5787,5357,2005,1937,21528,20986,476781,458211,37805,36797,23871,22856,12283,11684,4061,3958
R,7,2015,10,4121289,2103943,2017346,1543129,1470003,308539,299697,33576,32796,108373,107542,6135,5971,104191,101337,1638424,1562522,362671,352925,56302,54714,147072,144641,13740,13305,1584771,1518904,1094270,1039426,281899,273962,17992,17587,102812,102290,4171,4163,83627,81476,1171086,1114067,326233,317681,32939,31972,135320,133532,9803,9648,519172,498442,448859,430577,26640,25735,15584,15209,5561,5252,1964,1808,20564,19861,467338,448455,36438,35244,23363,22742,11752,11109,3937,3657
R,7,2015,11,4130328,2106742,2023586,1552621,1481144,306394,298182,32701,32103,108555,108412,5919,5691,100552,98054,1644606,1570815,357952,349075,54953,53844,146070,144495,13358,12901,1600824,1533652,1113965,1056731,280777,273365,17878,17337,103132,103296,4102,3950,80970,78973,1188354,1129192,323140,315231,32732,31960,134696,133644,9661,9285,505918,489934,438656,424413,25617,24817,14823,14766,5423,5116,1817,1741,19582,19081,456252,441623,34812,33844,22221,21884,11374,10851,3697,3616
R,7,2015,12,4101021,2090780,2010241,1543947,1474470,304602,297101,32416,31474,108171,108000,5859,5668,95785,93528,1631301,1559923,353531,344911,54300,52964,143615,142515,13141,12511,1594677,1528409,1113302,1056088,279513,273079,17624,17029,102918,102896,4053,3970,77267,75347,1184045,1125224,319795,312416,32315,31497,132793,131901,9494,9145,496103,481832,430645,418382,25089,24022,14792,14445,5253,5104,1806,1698,18518,18181,447256,434699,33736,32495,21985,21467,10822,10614,3647,3366
R,7,2015,13,4084306,2082704,2001602,1538738,1469182,310094,301976,32339,31178,103847,103076,5696,5543,91990,90647,1622628,1551630,356980,348762,53944,52779,137517,135704,12641,12326,1592831,1527009,1112806,1056655,285392,278063,17806,17156,98815,98224,3985,3869,74027,73042,1180572,1123405,324027,316613,32263,31739,127050,125599,9237,8989,489873,474593,425932,412527,24702,23913,14533,14022,5032,4852,1711,1674,17963,17605,442056,428225,32953,32149,21681,21040,10467,10105,3404,3337
R,7,2015,14,4185386,2136219,2049167,1575906,1503717,321663,312304,32524,31671,107829,106110,5725,5705,92572,89660,1660069,1585335,368677,358213,54767,53157,141674,138468,12771,12563,1642616,1571903,1146206,1088093,296823,288591,18220,17629,102825,101344,4060,3967,74482,72279,1214086,1154126,335463,326487,33346,32241,131303,128588,9352,9141,493603,477264,429700,415624,24840,23713,14304,14042,5004,4766,1665,1738,18090,17381,445983,431209,33214,31726,21421,20916,10371,9880,3419,3422
R,7,2015,15,4249742,2172989,2076753,1604509,1524626,331894,320909,33508,32186,106131,104540,5957,5620,90990,88872,1687350,1605138,377957,366718,56221,54237,138661,136037,12858,12396,1677473,1600807,1172682,1110274,307044,297008,18957,18080,101125,99773,4235,4003,73430,71669,1239738,1175408,345022,334773,34452,33229,128606,126216,9482,9123,495516,475946,431827,414352,24850,23901,14551,14106,5006,4767,1722,1617,17560,17203,447612,429730,32935,31945,21769,21008,10055,9821,3376,3273
R,7,2015,16,4184296,2139271,2045025,1585609,1507810,324093,313764,32440,31522,102811,100784,5843,5388,88475,85757,1665969,1585516,368533,357511,54790,53482,134426,130929,12902,11987,1658763,1583060,1166759,1105413,299931,290655,18492,17867,97862,96017,4142,3853,71577,69255,1231991,1168339,336699,326938,34018,33137,124473,121213,9521,8880,480508,461965,418850,402397,24162,23109,13948,13655,4949,4767,1701,1535,16898,16502,433978,417177,31834,30573,20772,20345,9953,9716,3381,3107
R,7,2015,17,4194286,2145174,2049112,1588479,1507930,326547,316316,32490,31611,106199,104456,5818,5452,85641,83347,1666023,1583529,369249,358379,54659,53272,136564,133621,12487,11799,1667072,1592970,1170962,1110031,302835,293683,18444,18094,101395,99693,4207,3900,69229,67569,1233826,1171521,338198,328579,33823,33316,126960,124242,9335,8753,478102,456142,417517,397899,23712,22633,14046,13517,4804,4763,1611,1552,16412,15778,432197,412008,31051,29800,20836,19956,9604,9379,3152,3046
R,7,2015,18,4217995,2156041,2061954,1597341,1517754,326373,317236,32382,31145,110988,109029,5751,5393,83206,81397,1672674,1591244,367044,357758,54587,53058,140806,137576,12324,11816,1677276,1607988,1179090,1121299,302733,295053,18302,17763,106164,104345,4122,3888,66865,65640,1239831,1180666,336061,328491,33669,33096,131264,128353,9141,8805,478765,453966,418251,396455,23640,22183,14080,13382,4824,4684,1629,1505,16341,15757,432843,410578,30983,29267,20918,19962,9542,9223,3183,3011
R,7,2015,19,4262584,2184392,2078192,1620149,1529922,327721,318933,32566,30910,116230,113692,5901,5600,81825,79135,1694107,1601323,367027,357673,54966,52802,145754,141804,12426,11986,1703362,1624326,1199013,1132851,304364,296968,18491,17669,111483,108994,4234,4020,65777,63824,1258617,1190589,336594,328813,34000,33018,136420,132680,9274,9004,481030,453866,421136,397071,23357,21965,14075,13241,4747,4698,1667,1580,16048,15311,435490,410734,30433,28860,20966,19784,9334,9124,3152,2982
R,7,2015,20,4363440,2240373,2123067,1654246,1557206,346623,334424,33342,31664,119756,116150,6026,5893,80380,77730,1726385,1626806,384681,372328,56106,53683,148814,143683,12792,12368,1750542,1664110,1225174,1155629,322555,311839,19081,18176,114809,111518,4329,4238,64594,62710,1283188,1211899,353613,342923,35063,33841,139486,134728,9564,9298,489831,458957,429072,401577,24068,22585,14261,13488,4947,4632,1697,1655,15786,15020,443197,414907,31068,29405,21043,19842,9328,8955,3228,3070
R,7,2015,21,4456790,2290006,2166784,1682887,1580573,363327,350648,34158,32556,125430,120228,6183,6082,78021,76697,1752530,1648962,399344,387259,57065,55182,153946,147415,13033,12635,1793718,1704443,1247291,1175985,338950,327698,19794,18906,120660,115545,4508,4446,62515,61863,1303117,1231210,368241,357741,35939,35104,144770,138488,9839,9538,496288,462341,435596,404588,24377,22950,14364,13650,4770,4683,1675,1636,15506,14834,449413,417752,31103,29518,21126,20078,9176,8927,3194,3097
R,7,2015,22,4529472,2331696,2197776,1708129,1599422,375730,359463,35540,33301,130842,125666,6502,6157,74953,73767,1774831,1664946,409534,393849,58280,55925,158431,151998,13140,12606,1831003,1735941,1268928,1194979,350706,336533,20530,19630,126058,120947,4705,4501,60076,59351,1322443,1247758,378065,364486,36560,35812,149577,143303,9927,9545,500693,461835,439201,404443,25024,22930,15010,13671,4784,4719,1797,1656,14877,14416,452388,417188,31469,29363,21720,20113,8854,8695,3213,3061
R,7,2015,23,4652266,2387842,2264424,1749695,1646223,381802,369320,37123,34103,139194,134978,6879,6375,73149,73425,1814343,1710986,413497,402516,60115,56657,166626,162216,13623,13090,1879619,1795632,1304398,1236731,356347,345035,21440,20259,134208,130045,4933,4664,58293,58898,1355901,1288753,381614,371792,37705,36392,157578,153153,10255,9846,508223,468792,445297,409492,25455,24285,15683,13844,4986,4933,1946,1711,14856,14527,458442,422233,31883,30724,22410,20265,9048,9063,3368,3244
R,7,2015,24,4737345,2417937,2319408,1772445,1683461,382855,376619,37171,33723,148470,147054,7618,6813,69378,71738,1832903,1746080,412145,408873,59032,55653,175601,174532,14565,13731,1914670,1856522,1333203,1280987,356630,351453,21251,20066,143124,141721,5574,5022,54888,57273,1380900,1330924,379717,377236,36565,35598,166222,165011,11033,10512,503267,462886,439242,402474,26225,25166,15920,13657,5346,5333,2044,1791,14490,14465,452003,415156,32428,31637,22467,20055,9379,9521,3532,3219
R,7,2015,25,4729564,2407515,2322049,1772548,1686695,373806,373365,36359,32915,152401,154245,7824,7030,64577,67799,1828914,1745957,400343,403117,56810,54034,178109,180229,14317,13534,1909318,1867915,1337073,1291778,348121,348173,20504,19686,147054,149127,5635,5218,50931,53933,1381410,1338813,368850,371703,34806,34555,168942,171311,10722,10378,498197,454134,435475,394917,25685,25192,15855,13229,5347,5118,2189,1812,13646,13866,447504,407144,31493,31414,22004,19479,9167,8918,3595,3156
R,7,2015,26,4544416,2310983,2233433,1709213,1622475,347441,351576,34634,31038,152548,158707,7525,6704,59622,62933,1761209,1677308,371453,378672,53965,50612,176177,183383,13551,12883,1836284,1804290,1294083,1248951,323216,327732,19313,18495,147556,153705,5487,5029,46629,50378,1334666,1292711,341615,349278,32619,32419,167696,174896,10279,9946,474699,429143,415130,373524,24225,23844,15321,12543,4992,5002,2038,1675,12993,12555,426543,384597,29838,29394,21346,18193,8481,8487,3272,2937
R,7,2015,27,4439766,2254603,2185163,1683488,1600299,324474,331084,33873,30349,148962,157102,7480,6623,56326,59706,1732422,1652359,346539,356492,52103,49022,171786,180674,13392,12547,1780991,1761568,1267962,1231107,301382,307959,18506,17790,144219,152380,5349,4962,43573,47370,1305688,1272372,318028,327763,30788,30914,163645,172568,9974,9713,473612,423595,415526,369192,23092,23125,15367,12559,4743,4722,2131,1661,12753,12336,426734,379987,28511,28729,21315,18108,8141,8106,3418,2834
R,7,2015,28,4364669,2214738,2149931,1665833,1580718,309614,319622,32765,29355,146275,156029,7346,6545,52905,57662,1711836,1630996,330272,343865,50332,47911,167570,178711,12826,12183,1748403,1731020,1255516,1215129,287589,297129,17815,17142,141554,151435,5210,4830,40719,45355,1290732,1254559,303000,315839,29665,30065,159690,170866,9569,9314,466335,418911,410317,365589,22025,22493,14950,12213,4721,4594,2136,1715,12186,12307,421104,376437,27272,28026,20667,17846,7880,7845,3257,2869
R,7,2015,29,4383139,2221560,2161579,1679410,1596286,302509,315890,32575,29380,147856,158324,7462,6659,51748,55040,1724310,1643956,322129,338636,50022,47542,168747,180004,13034,12264,1749526,1740762,1263832,1228338,280335,293400,17125,16912,143215,153820,5278,5030,39741,43262,1298170,1265679,294832,310901,28868,29726,160972,172305,9693,9518,472034,420817,415578,367948,22174,22490,15450,12468,4641,4504,2184,1629,12007,11778,426140,378277,27297,27735,21154,17816,7775,7699,3341,2746
R,7,2015,30,4417209,2231463,2185746,1692121,1616221,300096,316399,32138,29357,149698,162732,7349,6627,50061,54410,1735542,1663448,318662,338118,49325,47601,170017,184525,12810,12220,1756318,1760334,1273305,1243979,278083,293730,16794,16878,145111,158247,5139,4992,37886,42508,1305944,1280726,291503,310110,28179,29669,162309,176920,9428,9455,475145,425412,418816,372242,22013,22669,15344,12479,4587,4485,2210,1635,12175,11902,429598,382722,27159,28008,21146,17932,7708,7605,3382,2765
R,7,2015,31,4278233,2152765,2125468,1633639,1571234,284468,304640,31383,28612,148374,162207,6997,6414,47904,52361,1675073,1616560,302090,324970,48080,46560,167916,183471,12234,11950,1694084,1708243,1229423,1205645,263269,282941,16322,16334,143812,157879,4967,4751,36291,40693,1260612,1240735,275976,298134,27451,28884,160371,175968,9086,9163,458681,417225,404216,365589,21199,21699,15061,12278,4562,4328,2030,1663,11613,11668,414461,375825,26114,26836,20629,17676,7545,7503,3148,2787
R,7,2015,32,4343614,2181163,2162451,1659430,1600048,286704,309465,31825,29108,147822,164703,7057,6554,48325,52573,1701280,1645402,304330,329800,48753,47480,167432,185848,12349,12146,1714763,1735755,1247899,1226670,265483,286705,16422,16537,143300,160227,5008,4873,36651,40743,1279398,1261636,278110,301847,27820,29335,159901,178258,9191,9325,466400,426696,411531,373378,21221,22760,15403,12571,4522,4476,2049,1681,11674,11830,421882,383766,26220,27953,20933,18145,7531,7590,3158,2821
R,7,2015,33,4341754,2175631,2166123,1658347,1603811,284840,310317,31154,28474,147301,165747,7113,6447,46876,51327,1698876,1648011,301811,330405,48038,46731,166058,186040,12338,11893,1709435,1735563,1246864,1226150,263567,287858,16076,15879,142730,161139,5025,4719,35173,39818,1277027,1260267,275631,302864,27317,28692,158436,178392,9141,9076,466196,430560,411483,377661,21273,22459,15078,12595,4571,4608,2088,1728,11703,11509,421849,387744,26180,27541,20721,18039,7622,7648,3197,2817
R,7,2015,34,4294838,2148717,2146121,1643478,1591736,281272,308721,30252,28486,140716,160865,6877,6057,46122,50256,1683159,1635110,298039,328531,46972,46397,159149,180444,12013,11387,1689524,1719868,1237524,1217814,260780,286449,15454,16056,136131,156393,4851,4424,34784,38732,1267229,1251035,272731,301070,26686,28550,151696,173060,8898,8719,459193,426253,405954,373922,20492,22272,14798,12430,4585,4472,2026,1633,11338,11524,415930,384075,25308,27461,20286,17847,7453,7384,3115,2668
R,7,2015,35,4379404,2199270,2180134,1677484,1611294,293820,320198,31246,28843,143837,163377,7032,6341,45851,50081,1717025,1654404,310403,339873,48367,46955,161879,182847,12182,11727,1722289,1744843,1255948,1228855,272497,297690,15848,16185,139122,158903,4854,4707,34020,38503,1285022,1261741,284089,312165,27225,28892,154103,175382,8920,9018,476981,435291,421536,382439,21323,22508,15398,12658,4715,4474,2178,1634,11831,11578,432003,392663,26314,27708,21142,18063,7776,7465,3262,2709
R,7,2015,36,4108775,2053297,2055478,1568392,1519749,271310,300619,28761,26649,136471,156220,6201,5779,42162,46462,1604703,1559670,286485,318620,44450,43609,153045,174359,10975,10712,1617989,1647652,1182911,1161732,252056,279438,14914,14758,132262,152046,4319,4218,31527,35460,1209796,1191992,262723,292445,25388,26545,146218,167405,8086,8171,435308,407826,385481,358017,19254,21181,13847,11891,4209,4174,1882,1561,10635,11002,394907,367678,23762,26175,19062,17064,6827,6954,2889,2541
R,7,2015,37,4028403,2010463,2017940,1541958,1498660,261353,290231,27982,26516,132557,152137,6014,5523,40599,44873,1576771,1537043,275717,307434,43296,43278,148739,169694,10388,10193,1578114,1611139,1158097,1140529,242784,269823,14375,14674,128417,147894,4285,4065,30156,34154,1183646,1169489,252816,282180,24586,26335,141933,162793,7721,7824,432349,406801,383861,358131,18569,20408,13607,11842,4140,4243,1729,1458,10443,10719,393125,367554,22901,25254,18710,16943,6806,6901,2667,2369
R,7,2015,38,3987141,1983816,2003325,1521794,1487416,256723,287930,28023,26188,132228,152760,5922,5540,39126,43491,1555461,1524491,270412,304362,43055,42658,147636,169868,10230,10214,1558689,1597031,1144181,1128658,238760,267759,14591,14842,127965,148627,4165,4018,29027,33127,1168865,1156654,248163,279574,24720,26377,140826,163042,7539,7734,425127,406294,377613,358758,17963,20171,13432,11346,4263,4133,1757,1522,10099,10364,386596,367837,22249,24788,18335,16281,6810,6826,2691,2480
R,7,2015,39,3870862,1926578,1944284,1475498,1444095,247083,276724,27068,25306,133827,152175,5501,5248,37601,40736,1507825,1478743,259840,291890,41624,40974,148882,168298,9685,9562,1509508,1544105,1104220,1089866,229695,257143,13929,14006,129780,148106,3946,3841,27938,31143,1127961,1116114,238381,268054,23725,25058,142469,161767,7248,7312,417070,400179,371278,354229,17388,19581,13139,11300,4047,4069,1555,1407,9663,9593,379864,362629,21459,23836,17899,15916,6413,6531,2437,2250
R,7,2015,40,3989839,1989213,2000626,1527790,1490096,253865,283791,27100,25764,138932,156388,5671,5079,35855,39508,1558286,1523643,265920,298169,41247,41054,153293,172175,9723,9189,1567828,1597737,1150675,1131595,237044,265134,13973,14390,134924,152447,4109,3760,27103,30411,1173457,1157148,245532,275469,23647,25214,147189,166002,7380,7073,421385,402889,377115,358501,16821,18657,13127,11374,4008,3941,1562,1319,8752,9097,384829,366495,20388,22700,17600,15840,6104,6173,2343,2116
R,7,2015,41,3865228,1919064,1946164,1474427,1450017,243367,274974,26305,24814,135853,153725,5089,4974,34023,37660,1503350,1481779,254701,288628,39910,39670,149458,168703,8933,8989,1518251,1556827,1114838,1102558,227886,257218,13646,14053,132255,150025,3717,3688,25909,29285,1136630,1126983,235852,267236,23102,24777,143932,162931,6837,6935,400813,389337,359589,347459,15481,17756,12659,10761,3598,3700,1372,1286,8114,8375,366720,354796,18849,21392,16808,14893,5526,5772,2096,2054
R,7,2015,42,3924258,1942311,1981947,1491335,1476226,250220,283412,25941,25145,136092,155099,5035,4894,33688,37171,1519881,1507534,261124,296769,39640,40074,149624,169865,8787,8814,1548851,1596015,1137989,1131586,235099,266027,13757,14400,132520,151317,3701,3673,25785,29012,1159596,1155742,242761,275846,23382,25331,144219,164048,6739,6864,393460,385932,353346,344640,15121,17385,12184,10745,3572,3782,1334,1221,7903,8159,360285,351792,18363,20923,16258,14743,5405,5817,2048,1950
R,7,2015,43,4100708,2032362,2068346,1572569,1553527,259228,292727,26434,25128,135605,154921,4982,4862,33544,37181,1600866,1584834,269909,305780,40541,40592,148827,169395,8773,8825,1642598,1686359,1222218,1212021,244420,275695,14315,14639,131992,151286,3658,3624,25995,29094,1243872,1236246,252110,285232,24505,26053,143419,163863,6742,6870,389764,381987,350351,341506,14808,17032,12119,10489,3613,3635,1324,1238,7549,8087,356994,348588,17799,20548,16036,14539,5408,5532,2031,1955
R,7,2015,44,4335165,2147203,2187962,1679511,1661195,268857,306040,26816,26050,132695,151583,4979,4931,34345,38163,1708569,1693318,279704,319294,41586,42261,146015,166110,8961,9177,1760264,1807925,1331608,1321923,254190,288942,14932,15270,129062,147950,3646,3693,26826,30147,1354073,1347035,261981,298749,25785,27501,140590,160502,6891,7203,386939,380037,347903,339272,14667,17098,11884,10780,3633,3633,1333,1238,7519,8016,354496,346283,17723,20545,15801,14760,5425,5608,2070,1974
