ad_output_bottom,ad_inflation_bottom,as_output_bottom,as_inflation_bottom,ad_output_top,ad_inflation_top
0.792145662647593,0.0132366836307984,1,0.02,0.792145662647593,0.0289579352228788
0.833651405969453,0.0153129759052397,0.997978426509068,0.01995,0.833651405969453,0.0268537393125259
0.875159401525171,0.0171890286997283,0.995959646196144,0.0199,0.875159401525171,0.0249598614070288
0.916754900803171,0.0189761985774688,0.993943656872424,0.01985,0.916754900803171,0.0231621968563189
0.95837779912181,0.0206245983409221,0.99193045634928,0.0198,0.95837779912181,0.0215096986449159
0.970071993101654,0.0210670525880383,0.989920042438194,0.01975,0.970071993101654,0.0210670525880383
0,0,0.98791241295083,0.0197,0,0
0,0,0.985907565698956,0.01965,0,0
0,0,0.983905498494526,0.0196,0,0
0,0,0.981906209149595,0.01955,0,0
0,0,0.979909695476411,0.0195,0,0
0,0,0.977915955287327,0.01945,0,0
0,0,0.975924986394884,0.0194,0,0
0,0,0.97393678661174,0.01935,0,0
0,0,0.971951353750721,0.0193,0,0
0,0,0.969968685624783,0.01925,0,0
0,0,0.967988780047062,0.0192,0,0
0,0,0.966011634830818,0.01915,0,0
0,0,0.964037247789476,0.0191,0,0
0,0,0.962065616736628,0.01905,0,0
0,0,0.960096739485987,0.019,0,0
0,0,0.958130609709506,0.01895,0,0
0,0,0.956167200605885,0.0189,0,0
0,0,0.954206538792644,0.01885,0,0
0,0,0.952248622084075,0.0188,0,0
0,0,0.95029344829468,0.01875,0,0
0,0,0.948341015239072,0.0187,0,0
0,0,0.946391320732051,0.01865,0,0
0,0,0.944444362588551,0.0186,0,0
0,0,0.942500138623707,0.01855,0,0
0,0,0.940558646652764,0.0185,0,0
0,0,0.938619884491178,0.01845,0,0
0,0,0.936683849954525,0.0184,0,0
0,0,0.934750540858574,0.01835,0,0
0,0,0.932819955019238,0.0183,0,0
0,0,0.930892090252618,0.01825,0,0
0,0,0.928966944374945,0.0182,0,0
0,0,0.927044515202648,0.01815,0,0
0,0,0.925124800552313,0.0181,0,0
0,0,0.923207798240685,0.01805,0,0
0,0,0.921293506084693,0.018,0,0
0,0,0.919381921901411,0.01795,0,0
0,0,0.917473043508113,0.0179,0,0
0,0,0.915567650766243,0.01785,0,0
0,0,0.913665430401805,0.0178,0,0
0,0,0.911765907503306,0.01775,0,0
0,0,0.909869079890142,0.0177,0,0
0,0,0.907974945381853,0.01765,0,0
0,0,0.906083501798173,0.0176,0,0
0,0,0.904194746958995,0.01755,0,0
0,0,0.902308678684406,0.0175,0,0
0,0,0.900425294794651,0.01745,0,0
0,0,0.898544593110165,0.0174,0,0
0,0,0.896666571451545,0.01735,0,0
0,0,0.89479122763959,0.0173,0,0
0,0,0.892918559495246,0.01725,0,0
0,0,0.891048564839675,0.0172,0,0
0,0,0.889181241494181,0.01715,0,0
0,0,0.887316587280284,0.0171,0,0
0,0,0.885454600019671,0.01705,0,0
0,0,0.883595277534199,0.017,0,0
0,0,0.881738617645937,0.01695,0,0
0,0,0.879884618177102,0.0169,0,0
0,0,0.878033276950138,0.01685,0,0
0,0,0.876184591787632,0.0168,0,0
0,0,0.874340287301233,0.01675,0,0
0,0,0.872500785621487,0.0167,0,0
0,0,0.87066392790138,0.01665,0,0
0,0,0.868829711968829,0.0166,0,0
0,0,0.86699813565198,0.01655,0,0
0,0,0.865169196779125,0.0165,0,0
0,0,0.86334289317879,0.01645,0,0
0,0,0.86151922267965,0.0164,0,0
0,0,0.859698183110609,0.01635,0,0
0,0,0.857879772300729,0.0163,0,0
0,0,0.856063988079308,0.01625,0,0
0,0,0.854250828275785,0.0162,0,0
0,0,0.852440290719843,0.01615,0,0
0,0,0.850632373241323,0.0161,0,0
0,0,0.848827073670286,0.01605,0,0
0,0,0.847024389836994,0.016,0,0
0,0,0.845224319571871,0.01595,0,0
0,0,0.843426860705586,0.0159,0,0
0,0,0.84163201106897,0.01585,0,0
0,0,0.839839768493083,0.0158,0,0
0,0,0.838050130809151,0.01575,0,0
0,0,0.83626309584864,0.0157,0,0
0,0,0.83447866144319,0.01565,0,0
0,0,0.832696877220436,0.0156,0,0
0,0,0.830917733962863,0.01555,0,0
0,0,0.829141184615777,0.0155,0,0
0,0,0.827367227011749,0.01545,0,0
0,0,0.825595858983588,0.0154,0,0
0,0,0.823827078364269,0.01535,0,0
0,0,0.822060882987021,0.0153,0,0
0,0,0.820297270685234,0.01525,0,0
0,0,0.818536239292549,0.0152,0,0
0,0,0.816777786642775,0.01515,0,0
0,0,0.815021910569972,0.0151,0,0
0,0,0.81326860890839,0.01505,0,0
